Evaluations,Fitness
1,8710067.554195974
2,5209786.654990208
4,612701.1350516456
24,581696.8211014421
37,284682.2014088068
175,246543.41582980973
218,176372.7562979102
584,138023.69749266133
1285,110460.72118802948
1415,107968.28448352114
1550,107628.56525632978
1553,99354.68281540577
1806,93323.37522867831
2114,91830.531567919
2172,91374.55270064923
2260,90031.57541107597
2299,83248.00328229995
2465,82239.852719468
2535,81603.56415710172
2685,81450.85207254504
2896,81352.40255419347
2923,79692.85557368422
3090,77471.8673997225
3560,77444.04611051707
3595,76661.94522013271
3605,76481.87556176522
3621,76415.38117831812
3683,67846.61329584832
3785,67701.49299963379
4131,67459.58827896202
4169,66366.12914688434
4232,66256.83870571147
4374,66054.5011032424
4444,66044.62659129707
4624,65875.59150124987
4844,65711.39230418962
4895,64914.9245062475
4991,64822.11097497641
5010,64636.81523405795
5041,64015.33958261945
5141,62473.15917045353
5225,62283.64063297858
5340,61371.405686470425
5674,60750.05147170335
5716,60696.027927059964
7421,60609.07838943798
7463,60396.64692804445
7519,60329.355089277946
7558,60256.624063971925
7615,60246.83442266671
7634,60147.43208258555
7719,59996.76585350512
7831,59865.32636463003
7991,59838.470139172874
8321,59674.22724253617
8836,59577.88950699474
9145,59527.62338193644
9282,59449.62624529784
9333,59360.774845486616
9441,59352.51337745928
9554,58999.79727175062
9882,58894.69409214757
9887,58887.024261870545
9928,58866.29394027673
10110,58778.616167905995
10678,58654.34213985078
10733,57981.968656960664
11318,57918.853771076574
11431,57863.011116625836
11521,56788.58783217786
11629,55665.68647074167
11935,55044.285364530435
11989,54913.31416679493
12022,53528.03122492377
12759,51778.23061184746
12950,50364.08890777351
12969,50050.649039239855
13009,49886.41113068408
13295,46418.789861982055
14620,45340.364881139
14813,45323.74255637666
