Evaluations,Fitness
1,5997499.429422694
2,1729813.4302857388
4,1694549.2046689033
7,1238644.4608852074
19,1114325.043014336
25,499756.41189331387
94,463302.34336403606
149,443862.6726914194
162,240655.7601802258
286,223674.28057912886
569,198994.25703621042
1024,183335.87000527396
1080,182744.98870133757
1153,170408.14238733385
1626,164479.81151496022
1729,154316.87998316364
1848,140126.63688498316
2044,137946.3587805688
2152,135960.93394895535
2422,125970.04935191084
2548,124811.63759709227
2880,121843.86170674226
2931,121357.17622354641
3074,118939.54363707565
3248,118318.54047702103
3303,117897.66776254622
3331,117790.17980318848
3413,117389.37584652253
3507,114611.6470185327
3717,114590.60950017093
3859,114410.18399232805
4012,113724.72888354477
4109,112629.08877335615
4223,112113.03579598364
4241,112054.95651813291
4296,112014.75148460094
4381,111008.34922957903
4441,110829.65615028287
4442,108679.25152268833
4445,107275.043778371
4542,106889.60894436053
4626,106717.27425657498
4742,105876.26664127983
4898,105430.34850146469
4924,105105.32332590509
4998,105064.78219454394
5022,101936.54180063281
5473,96389.64682647905
5546,96378.46433122804
5660,93097.11964001038
5706,89719.94609381307
6147,89055.57310747221
6299,89015.63333496453
6668,88605.59093162791
6731,86760.49447911035
7090,86697.02297587774
7243,86453.32299694614
7267,85969.89674518273
7518,85518.07515225964
7759,85069.6867047604
7865,85044.80338173191
8000,84396.57369386003
8046,84289.24051384846
8065,84139.85040259302
8114,83425.29382141937
8664,83367.97329981036
8841,82416.06944112947
9048,82101.97634354327
10328,82077.03511040361
10487,81985.91069069291
10704,81908.08097267603
11023,81746.48038468973
11203,81592.33531492806
11560,80753.27726089049
11893,80640.12202141098
11904,80545.87380506538
12997,80540.16141590169
13276,80534.87858253942
13493,80492.08438935698
13506,80411.47599800183
13802,80336.5501104438
13887,80317.62620067
14109,80284.86855408795
14239,80116.11372458289
14471,79819.46340304881
14511,78487.32705289205
14521,77156.45564692699
