Evaluations,Fitness
1,293739.27785672486
2,270694.7340740394
4,264944.3079424358
8,240699.21161542053
20,215583.13406021695
108,179137.6950011061
206,165818.87627478625
207,152934.2606732409
215,147306.0685138992
253,144341.53804384987
265,132901.21807297438
306,122794.12872485253
369,115310.16927040917
427,112182.51186382376
432,107105.80941434247
433,99200.04697396995
505,93569.65743010522
531,86670.67140691134
564,80692.8660352272
650,80544.82026925938
698,78935.56198810175
704,76652.60676701303
738,74824.9488668953
767,70093.7198465935
813,67993.41414004556
860,63759.79539571191
906,61045.32293560454
926,60164.83741335816
932,57674.52173642052
971,56417.47179083627
1014,53112.44560382119
1054,53040.60354313744
1063,51977.30312305442
1109,47889.80517345462
1206,47791.62773144775
1235,45140.316764754454
1240,44290.91677922084
1294,44060.428396651754
1301,43039.345764298756
1315,41977.05309813379
1341,40188.552039346105
1403,39843.61388396979
1406,39285.03515979635
1412,37699.006406107386
1434,33960.22462998513
1485,32206.014446640183
1546,32083.923039609133
1605,31838.63411788691
1610,31322.52302407894
1637,29765.905846295165
1736,27481.115434025513
1766,26503.923527609728
1781,25873.515831774646
1851,25431.242877986755
1866,25341.322290985296
1879,23934.685913464677
1979,22881.588615460485
2006,22799.837066990567
2033,22510.283590745967
2039,22191.849781237855
2074,20864.583870166774
2147,18707.221600644956
2229,17937.74299378562
2350,16041.014023508624
2447,15176.246227388934
2516,14961.276346273766
2547,14519.029658923539
2643,14196.933852872933
2685,14100.097776122251
2713,14051.199807185656
2783,13633.918558099404
2833,13209.290403272558
2934,12522.22985812112
2955,12365.822826482445
3002,11731.1984007561
3078,11622.151097707085
3122,11024.810636740478
3159,10866.44863559889
3203,10762.683519095352
3219,10530.545528715513
3333,10128.242331649919
3477,9650.12039827942
3546,9404.718172023773
3567,9395.375602397366
3586,8809.572516931521
3620,8511.95088783658
3806,8192.68230010116
3878,7993.643836777572
3917,7817.050830844383
3999,7552.444628832249
4120,7334.126464183364
4156,7317.361361264551
4204,6851.701432101705
4216,6746.6853443672735
4245,6643.841965088986
4311,6598.408904505678
4322,6222.442635598856
4422,6043.295867688529
4451,6022.695433625171
4456,5836.672778235026
4516,5765.749128964289
4542,5525.685599063082
4629,5423.413024746365
4669,5406.735790765807
4691,5397.569089052391
4700,5330.469421033001
4707,4686.344619017069
4815,4640.312863384152
4867,4510.24637571868
4929,4494.802306603041
4971,4410.63989972073
4981,4350.418497188859
5006,4163.067244636718
5247,4109.742115044067
5255,4109.091405567142
5443,4107.010764792031
5495,4039.6339213625793
5510,4039.608592274206
5578,3628.74024357803
5708,3566.408989484424
5837,3559.2827593734673
5907,3404.6640816599797
6014,3284.903381201033
6124,3153.167520955265
6153,3087.824366609767
6311,3075.028810418059
6376,3011.0131682704414
6420,2919.899535941796
6502,2746.925373462516
6610,2739.824472439933
6705,2563.626242898813
6815,2490.6658921640756
6897,2484.5255648096254
6959,2431.3209309514014
7093,2431.016308781296
7109,2403.9996442797637
7139,2353.547098969238
7176,2315.910991651627
7304,2294.166163773654
7346,2284.1390486792548
7522,2030.3795212830933
7660,2020.3524061886947
7748,1977.9253615859755
7902,1857.3486013521078
7910,1749.27702457592
8043,1686.8074984053533
8183,1630.6401495782006
8371,1623.6142838116198
8418,1614.0039481550734
8945,1572.2238142235851
8978,1499.2615647057662
9302,1478.722992676474
9322,1420.6625640442712
9607,1368.1343650575498
9704,1363.829375492948
9838,1361.0487664607485
9845,1360.5005651536635
9872,1322.0342974110724
9910,1303.0151686073218
10044,1274.002987024685
10136,1233.7628038547123
10205,1187.299161925938
10536,1177.6844651697218
10543,1143.031037381924
10697,1131.2208232409478
10927,1070.4066163553216
11146,1064.5131323591477
11238,1043.9094543714286
11401,1038.015970375255
11501,1018.7742305976342
11753,1012.22809814832
11801,998.1705526099151
11816,934.1510915466229
12177,885.4294265914086
12722,882.6176619994487
12805,821.4098827015348
13035,812.4644099427853
13213,803.0494787421717
13339,790.3900067427646
13475,774.7247845319112
13529,769.608221859099
13540,765.7610478690513
13553,765.3098533312975
13861,745.0487357301798
13909,740.7503672023784
13949,698.193359908377
14011,695.7310944661631
14217,671.1716083372439
14367,671.0948639562671
14585,665.4771000644498
14715,663.727230373781
14905,658.0327221009869
