Evaluations,Fitness
1,7168924.193000355
2,6730494.225285645
5,6694588.863346507
6,5365332.270914409
10,5250389.506632616
13,5190973.288586594
15,4939199.000285368
17,4826971.309661676
25,4513388.2283589225
41,4285569.616261528
55,4009545.5465623573
101,3375759.755417752
136,3219843.3417619513
209,2923156.7264290103
235,2684787.301665515
308,2591555.011265377
316,2414726.5922627896
374,2265006.975675975
391,2230123.371706783
398,2198685.508723986
401,2177148.047924209
420,2039491.0262774942
461,1867199.4222663431
500,1823620.2587567042
513,1706652.222530454
550,1647266.9935540939
559,1570511.6320275299
572,1297393.1450471575
603,1128745.540924622
777,1002093.8268298665
885,972379.4174063328
920,948087.576173681
940,915582.7423851729
950,886604.1478313945
1001,873412.4808726694
1004,850756.940847044
1050,832616.4521388789
1083,825947.4391593346
1104,773412.1746254103
1214,729693.5880362064
1222,716410.985999164
1315,658630.1703866221
1417,656176.1953401251
1436,642219.0454010668
1502,598075.0717069091
1562,597540.259675996
1602,568593.0874946573
1621,557195.8632314296
1645,549422.8364685283
1706,532196.5714420406
1726,531748.9939203041
1733,525805.7507898873
1756,519029.16098283906
1816,494020.58264400595
1913,489945.0040557959
1924,481749.6750251644
1953,464464.6747472362
2089,460572.93102314754
2118,455304.8826523617
2132,403609.5398534479
2304,360289.191476994
2531,359405.3571314629
2603,352295.3681457906
2612,334272.36810144706
2704,323390.0880161412
2725,310578.9887340627
2802,309110.1537794487
2816,301295.27625587495
2884,276590.8161243882
2906,263392.9298254257
3029,254556.7725882301
3114,247704.82964155904
3142,247276.0458897366
3255,246659.15695498735
3258,246609.37812391712
3284,244163.8206373183
3285,219954.50181201316
3301,219917.5186613124
3379,212158.7891551929
3438,206638.66893330365
3520,202519.33473356895
3577,188967.4623122599
3615,185965.24226681187
3683,183995.2440649647
3786,182122.17937226474
3809,173658.8452029845
3921,168996.5867444855
4002,164228.8144529343
4017,159172.71604346947
4141,154434.21672834837
4152,151161.49441260126
4311,150185.71175070165
4377,149834.65856761753
4405,145546.00409616696
4425,135789.33658234612
4581,132348.898776191
4625,129214.96837843937
4690,128686.70530807148
4721,128434.50840260458
4741,119548.35823006826
4773,112597.03086686484
4850,111816.57089103005
4924,110765.97861855835
4999,109706.56653418823
5008,108759.72946188369
5016,108339.26988046602
5126,107705.23750721081
5135,106843.5680729575
5178,104544.41976841602
5225,103888.77601441836
5318,102066.43240101745
5358,101870.56007056231
5361,101229.67831861897
5394,100772.49209939802
5402,100609.33915537679
5410,99473.91126084185
5444,98774.46281176756
5486,93625.93032834283
5602,91078.19576171221
5674,91015.7275454204
5705,89937.2840331128
5741,89892.70396388228
5810,87892.27964208952
5871,86524.96487139566
5909,86096.3073429307
5912,84247.67168446847
6004,82559.31453596479
6005,82029.00337903338
6012,81874.58348904077
6107,78911.47568172998
6162,77740.44608710759
6270,77006.32886277574
6357,75600.42866778006
6381,74438.44916415309
6403,72519.71464904066
6463,71576.87272026284
6525,69008.9930216402
6632,65989.88316074834
6724,64671.99858087871
6807,64537.87790229622
6839,63853.160135217746
6853,63221.169499030504
6907,61755.335224093404
6945,58221.89820996004
7007,53584.05439878606
7121,50881.06264669826
7163,48928.88201279428
7265,48293.34064711934
7267,47049.80809980007
7435,46839.39856839342
7484,46637.45491236101
7501,46189.946083181574
7607,45430.894382349354
7741,45110.04677672567
7774,44018.273243620955
7873,43679.139483841594
7942,42967.65495810685
8072,42924.248170287035
8100,42419.912597658746
8207,37497.40023318423
8521,36984.831402888274
8608,36421.104508197255
8775,35364.498250422854
8806,35189.85071316078
8844,33853.94992009189
8925,33042.17925057944
9067,31912.2363916305
9111,31827.80867377405
9191,31473.721788863728
9196,30219.82134607623
9262,29516.362480515712
9322,29162.27559560539
9463,28766.68155834414
9513,27659.077595672887
9735,27322.07586098187
9753,26926.481823720616
9934,26465.20146848713
9944,25808.770585700517
10100,25203.269316091446
10413,24816.93968033582
10516,23829.8840591133
10784,23659.53339333995
10887,23297.624119364362
10932,23006.423022118266
11193,22873.344032149536
11272,22859.358227183508
11368,22689.007561410155
11469,22531.531812121877
11659,22429.78637672436
11717,22329.639429653667
11958,22318.620666593666
11959,22172.16368036539
12000,19618.163856407722
12011,19360.54116004875
12105,19032.96658659736
12230,18218.670544500877
12406,18152.250065101438
12446,18104.007116577694
12476,18087.877710722387
12542,17891.095971049483
12638,17397.851723745698
12871,17300.599012618528
12913,16060.968156394789
13144,15819.009612485603
13302,15278.972009430176
13528,14424.077112043382
14090,13983.137073811218
14446,13945.13980367086
14553,13832.133829998502
14618,12974.722123024194
14723,12935.317320311815
14781,12897.580391358488
14785,12123.35417167887
