Evaluations,Fitness
1,21.301316
2,21.187965
7,21.158001
10,21.056562
13,20.935997
20,20.916175
38,20.872238
53,20.754547
147,20.707489
219,20.694822
359,20.532650
431,20.505642
626,20.467488
664,20.448753
700,20.407504
706,20.167598
893,20.026486
918,19.904805
1121,19.858344
1173,19.285619
1479,18.871713
1601,18.841290
1704,18.833232
1763,18.808547
1814,18.685689
1848,18.657195
1920,18.534181
2004,18.370098
2136,18.227774
2173,18.126290
2229,17.836010
2324,17.814161
2378,17.805839
2396,17.740938
2404,17.549624
2620,17.450709
2652,17.359048
2674,17.332761
2676,16.920665
2814,16.883829
2903,16.622036
3010,16.541179
3137,16.436772
3143,16.292205
3206,16.196377
3237,16.171481
3365,16.062035
3415,15.812215
3568,15.701557
3580,15.519805
3751,15.507340
3810,15.304018
3848,15.291232
3933,15.058144
3944,14.862880
4035,14.825789
4123,14.791830
4134,14.487542
4304,14.479518
4332,14.476798
4424,14.466430
4488,14.375360
4604,14.018315
4749,13.825892
4855,13.573399
5130,13.333781
5226,13.144347
5276,13.100886
5462,13.010014
5518,12.886012
5679,12.751751
5711,12.532679
5864,12.498340
5956,12.390078
5960,12.156139
6086,12.146517
6099,12.094272
6111,11.912072
6134,11.877938
6139,11.799416
6214,11.659449
6238,11.595855
6384,11.493198
6387,11.181867
6560,11.139877
6633,11.084091
6671,10.824781
6734,10.722197
6959,10.668038
7027,10.507663
7102,10.373209
7118,10.347790
7247,10.124711
7258,9.935714
7411,9.771396
7487,9.601560
7647,9.397075
7774,9.352345
7805,9.096742
8037,9.046722
8053,8.842259
8183,8.716135
8329,8.598830
8434,8.488142
8489,8.478255
8504,8.271406
8598,8.199139
8672,8.037294
8914,7.768431
8973,7.599825
9131,7.593536
9132,7.491908
9133,7.179220
9477,7.038193
9497,6.814493
9552,6.756742
9591,6.096564
10398,6.048845
10441,6.016597
10456,5.793727
10562,5.635314
11955,5.311534
12587,5.080882
12743,5.067303
12822,5.039965
12969,5.016923
13082,4.927040
13727,4.911290
13893,4.758601
14118,4.699823
14257,4.469407
14995,4.427156
