Evaluations,Fitness
1,2794.386390
3,2785.095026
5,2636.708350
11,2545.014028
13,2457.078778
29,2414.620958
40,2330.478704
42,2231.167798
72,2067.348209
123,1778.523500
209,1690.929161
242,1643.824818
313,1629.979035
443,1479.914144
584,1470.993725
602,1448.555558
641,1247.707733
821,1244.906647
826,1234.361310
901,1154.947911
905,1054.392182
1059,1018.475745
1134,988.464402
1178,916.457421
1233,888.543192
1302,857.069795
1316,824.647201
1321,775.672644
1424,726.081605
1525,705.775981
1527,649.868984
1691,612.674671
1712,605.045494
1729,574.610898
1880,526.138434
1971,523.837271
2004,515.524968
2016,514.373485
2024,495.924419
2104,484.117311
2121,461.074300
2203,456.214274
2214,424.821148
2327,373.589546
2506,373.318878
2607,369.481655
2622,366.931442
2637,346.248625
2754,342.269624
2799,342.139027
2808,335.886009
2862,330.698593
2867,324.127083
2870,321.399998
2913,311.897149
2953,291.304866
3061,291.225065
3069,280.468781
3106,279.407124
3153,265.818681
3209,263.130637
3240,234.385755
3350,219.638718
3450,219.558880
3479,215.921200
3513,210.185983
3573,192.821524
3718,183.566841
3731,183.067908
3775,175.462115
3928,166.786159
3964,166.514905
3977,165.558159
4041,155.369654
4045,153.420141
4108,143.370741
4295,132.012380
4301,118.446151
4456,115.203124
4546,114.187793
4647,108.367811
4807,106.977436
4873,102.783358
4894,100.800582
4954,95.261930
5141,93.158359
5267,92.907336
5333,92.071417
5335,89.063439
5356,88.653951
5390,88.106166
5425,87.499172
5432,77.116136
5571,77.039653
5610,75.194528
5632,74.702845
5684,70.844036
5729,59.564552
6222,57.766236
6340,56.694960
6359,55.334518
6373,53.045009
6487,50.140434
6511,48.736453
6625,48.185170
6688,45.556755
6746,42.415507
6857,42.159936
7115,37.294857
7305,37.246260
7332,36.170538
7339,35.813238
7406,34.392013
7457,33.711264
7568,33.190891
7604,30.999385
7756,25.909826
7859,25.807700
8166,25.607073
8235,23.849361
8257,23.208517
8393,22.713711
8408,22.079428
8463,21.892472
8511,21.331265
8691,20.637876
8711,18.994604
8891,16.604637
9293,15.379268
9547,14.281640
9759,13.876403
9842,13.798939
9954,13.450717
10013,11.317420
10844,10.552513
10853,10.246215
10905,9.935084
10988,9.807547
11031,9.312933
11389,7.640244
11757,7.399476
11945,6.762606
12425,6.706340
12569,6.519148
13077,6.465874
13629,6.455727
13851,6.412461
13907,6.223770
13914,6.170660
13930,5.857103
14386,5.578587
14646,5.205769
