Evaluations,Fitness
1,1514.517362
2,1458.388551
7,1455.869739
9,1367.363633
17,1183.453281
107,1040.295788
216,1025.169584
403,941.691781
633,920.955081
730,914.695527
756,902.903917
782,901.892046
808,861.904883
860,849.907459
876,816.778897
971,780.014233
1167,743.437370
1292,715.737538
1342,709.258337
1474,667.686875
1568,632.454566
1665,632.053114
1793,629.364086
1842,592.219960
1847,590.546465
2035,554.128178
2159,545.698655
2203,528.008480
2461,494.399570
2554,476.420722
2598,444.527328
2659,431.735393
2741,413.012952
2926,392.319451
3096,378.942381
3208,332.882284
3623,320.301438
3832,307.264627
3902,298.563600
4254,296.836754
4300,280.847759
4314,276.632351
4339,268.780735
4448,258.348141
4557,253.009978
5064,243.743906
5377,229.231457
5466,224.902638
5505,215.762633
5867,213.044983
6063,212.583473
6080,211.849919
6117,206.377673
6129,200.930736
6497,192.618590
6641,186.764992
6751,186.485694
7077,180.583473
7271,173.202011
7380,170.452907
7653,161.033711
7833,156.875141
7989,156.141996
8220,155.370860
8243,150.682392
8282,150.109785
8468,146.226355
8954,142.346875
9650,140.430238
9795,139.818733
9852,137.426001
10052,137.068045
10417,135.849691
10698,131.848079
11482,127.656389
11569,127.059539
12020,122.680702
14418,118.564049
