Evaluations,Fitness
1,502443244.834524
2,470991068.645687
3,372186807.427860
4,302484502.545076
6,272178798.824916
48,218408091.075541
258,184441807.557575
361,157314681.609695
518,143005159.370790
711,125925665.727907
765,122002713.102533
805,105307326.837210
947,89438606.653534
1104,88856827.315353
1157,77544313.530935
1262,73854474.299798
1276,68334736.793297
1322,65783159.745521
1504,55846371.629274
1607,54843149.408924
1618,51069444.319296
1716,50595760.358263
1804,50139833.648499
1805,49547332.351301
1891,49003066.369074
1918,47845224.550841
1929,46513992.084986
1981,45662930.590391
2016,42637290.827329
2024,40977064.713665
2132,40800049.022128
2230,39814117.933995
2263,37996677.768285
2399,35559672.791789
2462,34216132.941979
2512,34198025.296260
2564,33576752.659952
2646,31441835.786775
2734,28985771.394257
2845,27474559.205238
2930,26719258.498715
3068,25709885.259514
3123,24341439.381308
3223,23696558.680949
3231,23456191.259607
3246,22854784.915494
3261,22819219.931764
3264,19935478.988256
3374,18902867.976134
3455,18603960.727369
3512,17671555.440160
3610,17548355.923479
3620,16733592.037892
3703,13518057.054878
3915,13340960.747299
4010,13292388.050350
4171,12784659.361445
4178,12488923.192155
4222,10046601.140067
4623,9773033.082496
4625,8961032.262336
4810,8844318.856565
4845,8564635.965488
4896,8417824.470929
4919,7957816.704741
5206,7876784.247071
5217,7778601.616187
5234,7153083.398167
5301,6976202.814434
5419,6771335.042945
5453,6363584.572204
5508,6039227.698757
5670,5312692.126230
5840,4861073.435692
5972,4847549.261752
6137,4504641.731856
6233,4489480.289415
6306,4205743.269111
6342,4060772.942337
6422,3888035.905241
6490,3707349.597418
6590,3495423.674439
6738,3433026.803670
6830,3351768.537461
6842,3054503.008586
6986,2954870.677151
7153,2941123.008916
7203,2609019.641580
7350,2158303.854884
7437,2131862.491980
7671,2012848.811177
7866,1985971.184846
7938,1967847.800359
8057,1922315.201962
8120,1916891.631286
8192,1886928.393493
8317,1783375.103455
8436,1772356.012395
8461,1646418.766151
8649,1549796.175860
8701,1492240.751257
8919,1425624.328855
8973,1405650.976229
9065,1370568.333575
9080,1348369.356378
9094,1342911.860301
9295,1192413.998896
9668,1057226.552632
10413,1023537.508946
10416,991872.048619
10503,985370.435973
10601,924548.275336
10847,899576.561193
11013,812632.209231
11352,749233.523438
12074,736305.049996
12248,707396.579451
12273,698676.568963
12323,669335.188909
12685,651859.904328
12804,638003.104471
12922,568384.298727
13206,555458.047737
13379,540710.304131
13413,524879.763445
13772,491466.909231
13964,475410.944676
14006,470446.459766
14009,448674.092149
14108,395057.219042
14670,385330.330501
14688,380901.755646
14721,339452.117967
