Evaluations,Fitness
1,4948100.285255
5,4282596.395510
82,4258029.640259
84,3987560.918775
92,3437213.569756
114,3433360.464829
404,3318157.278745
449,3250574.246797
468,3016922.790404
515,2968048.443018
565,2437978.858031
608,2122937.421194
887,1952582.448880
975,1899224.785696
994,1720722.681301
1031,1659281.018218
1041,1478697.973637
1257,1275789.132276
1376,1222385.480902
1401,1209401.170752
1418,1109610.722690
1482,1097484.946513
1501,1092937.877974
1549,1071937.540096
1602,1022199.666097
1617,989193.294602
1627,966250.364769
1807,956834.484494
1822,914732.483478
1860,874437.947497
1967,806939.593549
2026,757131.329994
2105,756824.761112
2149,529179.658727
2509,516377.480002
2645,502038.968768
2746,475896.046021
2845,472603.916211
2921,471869.076356
2959,471533.930802
3017,471177.262358
3043,448862.674967
3092,399280.551699
3144,369917.838278
3246,368050.739346
3252,349085.675433
3339,327240.076952
3606,298558.637083
3790,290460.756952
3808,288254.911072
3851,284733.836745
3861,272279.050307
3962,254222.053514
4108,236006.694605
4288,214663.442769
4382,214371.451862
4434,210906.126444
4564,205769.498619
4589,193047.947969
4765,189720.072416
4822,188887.935148
4878,181817.580791
4933,180263.458586
5044,180101.991970
5096,176790.972468
5119,175678.934658
5125,175062.474677
5221,162299.674481
5371,162247.703776
5417,159863.342961
5446,156810.203961
5478,156182.014673
5494,144536.108348
5603,135267.639852
5787,133354.545112
5924,133306.689719
5957,130706.960856
6031,130190.153569
6041,125052.540983
6060,121133.753442
6098,119879.645577
6202,119142.299731
6210,116869.128735
6258,110677.140626
6337,104455.084867
6350,102656.263569
6548,94569.509684
6670,87873.760882
6719,87531.141092
6869,85193.416256
6922,83173.136706
7011,76917.836496
7179,72367.138279
7216,72264.558141
7304,72207.775922
7362,70912.200139
7592,70898.796319
7607,70861.408792
7619,65475.994238
7922,59869.336393
8028,57204.532119
8187,54955.448771
8329,53584.584015
8420,53345.204403
8530,50309.531824
8608,46232.719534
8824,44238.792442
8970,42815.596449
9020,41845.615244
9210,41362.139919
9283,40046.097433
9375,37803.766309
9528,35592.568021
9626,31473.627029
10230,31176.121774
10744,28210.766229
11108,28167.525301
11170,27831.464875
11402,27528.376033
11483,23398.605928
11699,23084.167507
11788,22501.852538
11809,21400.938686
12120,20638.994391
12454,19572.993558
12977,19554.506938
13099,18816.931816
13102,18699.204405
13136,17508.732589
13234,17463.628761
13342,17227.173056
13399,15850.756303
13435,14322.323155
14211,13840.867238
14532,12706.213195
