Evaluations,Fitness
100,21.053808
400,20.982946
500,20.803010
700,20.617284
800,20.504590
900,20.424379
1000,20.318401
1100,20.167120
1200,20.036505
1300,19.984808
1400,19.736937
1500,19.448135
1600,19.359119
1700,19.148010
1800,18.813009
1900,18.627112
2000,18.494497
2100,17.865867
2200,17.563599
2300,17.360297
2400,17.028632
2500,17.025096
2600,16.755636
2700,16.607441
2800,16.419713
2900,16.181309
3000,15.847946
3200,15.764518
3300,15.664833
3400,15.279912
3500,15.122937
3800,14.984366
3900,14.924789
4000,14.734199
4100,14.552291
4300,14.518712
4400,14.372141
4500,14.262389
4600,14.237232
4700,14.229239
4800,14.228467
4900,14.152770
5000,14.126869
5100,14.083446
5200,14.048397
5300,14.009937
5400,13.910946
5500,13.882862
5600,13.852774
5700,13.842093
5800,13.795593
5900,13.702618
6000,13.649901
6100,13.601881
6200,13.575264
6300,13.563735
6400,13.530600
6500,13.495227
6600,13.452550
6700,13.410808
6900,13.407494
7000,13.383690
7100,13.379846
7200,13.361987
7300,13.348336
7400,13.319398
7700,13.304142
7800,13.290137
7900,13.274215
8000,13.245222
8100,13.234105
8200,13.218221
8300,13.210984
8400,13.190745
8500,13.181826
8600,13.181230
8700,13.169807
8800,13.166645
9000,13.098901
9100,13.082091
9200,13.079642
9300,13.039625
9400,13.031663
9500,13.028340
9600,13.012393
9800,13.000478
10100,13.000199
10300,12.999440
10400,12.920233
10500,12.794188
10700,12.793629
10800,12.708846
10900,12.707441
11000,12.706172
11100,12.705840
11200,12.705715
11300,12.704853
11400,12.636486
11600,12.629035
11700,12.625291
11800,12.604368
12100,12.584081
12200,12.579046
12300,12.520039
12500,12.497468
12600,12.452216
12700,12.436603
12800,12.429369
12900,12.406835
13000,12.385592
13100,12.380229
13200,12.371777
13300,12.367278
13400,12.360716
13500,12.357646
13600,12.328186
13700,12.322502
13800,12.308081
13900,12.301402
14000,12.293685
14100,12.288294
14200,12.285752
14300,12.263646
14400,12.195722
14500,12.195142
14600,12.135095
14800,12.074211
14900,12.065233
15000,12.055044
