Evaluations,Fitness
100,20.715618
200,20.650489
400,20.473627
500,20.215861
600,20.174305
700,20.024689
800,19.749208
900,19.610169
1000,19.466033
1100,18.930766
1200,18.784499
1300,18.403531
1400,18.381533
1500,18.036180
1600,17.977497
1700,17.689360
1800,17.503291
1900,16.905781
2000,16.769257
2100,16.491906
2200,16.356898
2300,16.100112
2400,16.059473
2500,15.795830
2600,15.621781
2700,15.531027
2800,15.219109
2900,15.205709
3100,14.972349
3200,14.884716
3300,14.849746
3400,14.682144
3500,14.680408
3600,14.426646
3700,14.391165
3800,14.364074
3900,14.269330
4000,14.223362
4100,14.075512
4200,13.977952
4300,13.880026
4400,13.852428
4500,13.841048
4600,13.768989
4700,13.720234
4800,13.690541
4900,13.601766
5000,13.510456
5100,13.421093
5200,13.416689
5300,13.346190
5500,13.287379
5600,13.220657
5700,13.173771
5800,13.141600
5900,13.117840
6000,13.113580
6100,13.051881
6200,13.043714
6300,13.029700
6400,12.964209
6500,12.950465
6600,12.901405
6700,12.852016
6800,12.826858
6900,12.800726
7000,12.757658
7200,12.694322
7400,12.686666
7500,12.494991
7600,12.477921
7700,12.457387
7800,12.449580
7900,12.404501
8000,12.357379
8100,12.323397
8200,12.309337
8300,12.283435
8400,12.252627
8500,12.221779
8600,12.072078
9000,11.958405
9100,11.856531
9300,11.844728
9500,11.835907
9600,11.828934
9700,11.710571
9900,11.708173
10000,11.693884
10100,11.636237
10200,11.636237
10400,11.618461
10500,11.616595
10600,11.581554
10700,11.559242
10800,11.520750
10900,11.511638
11000,11.486767
11100,11.473426
11200,11.446953
11300,11.369732
11600,11.365928
11700,11.359209
11800,11.345063
11900,11.302010
12000,11.301127
12100,11.293042
12200,11.254030
12300,11.213852
12400,11.211472
12500,11.204178
12600,11.141745
12700,10.945271
13000,10.837382
13100,10.826491
13200,10.825838
13300,10.824451
13500,10.820605
13600,10.818239
13700,10.818105
13800,10.817104
13900,10.816527
14000,10.815308
14200,10.668853
14400,10.668831
14500,10.632783
14600,10.618984
14700,10.613097
14800,10.611733
14900,10.610060
15000,10.608821
