Evaluations,Fitness
100,0.451779
200,0.440398
500,0.399678
700,0.399510
800,0.397984
1000,0.397978
1200,0.397960
1300,0.397958
1400,0.397956
1500,0.397956
1600,0.397955
1800,0.397955
2000,0.397955
2100,0.397955
2300,0.397955
2400,0.397955
2500,0.397955
2600,0.397955
2700,0.397955
2800,0.397955
2900,0.397955
3000,0.397955
3400,0.397955
3500,0.397955
3700,0.397955
3800,0.397955
4000,0.397955
4100,0.397955
4200,0.397955
4300,0.397955
4400,0.397955
4700,0.397955
5600,0.397955
9000,0.397902
9200,0.397902
9300,0.397900
9400,0.397900
9500,0.397900
9600,0.397900
9700,0.397899
9800,0.397899
9900,0.397899
10100,0.397899
10300,0.397899
10600,0.397899
10700,0.397899
10800,0.397899
11000,0.397899
11100,0.397899
11300,0.397899
11600,0.397899
