Evaluations,Fitness
100,1351.822671
200,1172.654587
300,1012.634733
400,986.272697
500,868.589524
600,802.283165
800,781.985250
900,684.006640
1000,637.780646
1100,591.703912
1200,542.247822
1300,490.487928
1400,470.470448
1500,408.242432
1600,403.921437
1700,393.678681
1800,327.462081
2000,318.339604
2100,311.292997
2200,286.757502
2300,277.307526
2500,272.813530
2600,265.197276
2700,255.912000
2800,252.153037
2900,246.304758
3000,244.488586
3100,238.937976
3200,232.270082
3300,228.460485
3400,224.386981
3500,218.146083
3600,213.592340
3800,211.594603
3900,208.647944
4000,204.457499
4200,202.606870
4300,196.504324
4500,193.608945
4600,193.586800
4700,191.681172
4800,188.357835
4900,187.980198
5000,187.265027
5100,186.253154
5200,185.242483
5300,183.488280
5400,182.777166
5500,182.066872
5600,179.647635
5700,177.838619
5800,177.473508
5900,174.049790
6000,171.090555
6100,170.249821
6200,168.605625
6300,168.173104
6400,166.415403
6500,162.872787
6600,162.234506
6700,162.224508
6800,155.730923
7100,150.649674
7200,149.436663
7300,149.435532
7400,147.663865
7600,147.641212
7700,147.117131
7800,146.155086
7900,120.145942
8100,119.229121
8200,118.933553
8400,118.873053
8500,118.261113
8600,117.702754
8800,117.541605
8900,115.770683
9000,115.473529
9100,114.552402
9200,114.493539
9300,114.456817
9400,113.798683
9500,113.793897
9600,113.665649
9700,113.514917
9800,113.420480
9900,113.331681
10000,113.228591
10100,112.874059
10300,112.384082
10400,112.293188
10500,111.415185
10600,110.614229
10800,109.628053
10900,109.185654
11100,108.932131
11200,108.776146
11300,107.159507
11400,107.102585
11500,96.555255
11600,96.218581
11700,95.207126
11800,93.345333
12100,93.135438
12200,87.610914
12300,87.564786
12400,87.414502
12500,87.377089
12600,86.950368
12700,65.956493
12800,65.645195
12900,65.170420
13100,63.130655
13500,63.071188
13700,62.734089
13800,62.674723
13900,62.668230
14000,61.454100
14100,60.431595
14200,60.378688
14300,58.836183
14400,58.727314
14600,58.546726
14700,58.437279
14800,58.417939
14900,58.374225
15000,58.211531
