Evaluations,Fitness
1,-0.361397
2,-1.393624
7,-2.079373
17,-3.057742
26,-3.337164
44,-3.397716
79,-3.555874
146,-3.665920
304,-3.716596
471,-3.852374
604,-3.854390
683,-3.855182
989,-3.856597
1057,-3.856711
1089,-3.856815
1116,-3.857728
1126,-3.857863
1132,-3.858453
1212,-3.859347
1265,-3.859368
1322,-3.859422
1395,-3.859427
1401,-3.859480
1403,-3.859523
1434,-3.859537
1440,-3.859995
1696,-3.860033
1801,-3.860044
1802,-3.860124
2006,-3.860125
2029,-3.860332
2079,-3.860459
2171,-3.860553
2267,-3.861297
2334,-3.861309
2385,-3.861316
2424,-3.861341
2505,-3.861372
2652,-3.861378
2784,-3.861395
2853,-3.861411
3044,-3.862283
3148,-3.862285
3273,-3.862288
3383,-3.862289
3412,-3.862294
3527,-3.862302
3755,-3.862302
3810,-3.862302
3821,-3.862739
3925,-3.862743
4027,-3.862760
4328,-3.862761
4426,-3.862761
4470,-3.862761
4522,-3.862761
4803,-3.862761
4872,-3.862761
5050,-3.862762
5059,-3.862762
5110,-3.862762
5281,-3.862762
5341,-3.862762
5375,-3.862762
5443,-3.862762
5506,-3.862762
5513,-3.862762
5605,-3.862762
5633,-3.862762
5713,-3.862762
5731,-3.862762
5858,-3.862762
5901,-3.862762
6042,-3.862762
6201,-3.862762
6245,-3.862762
6274,-3.862762
6383,-3.862762
6564,-3.862762
6630,-3.862762
6764,-3.862762
6812,-3.862762
6969,-3.862762
6985,-3.862762
7289,-3.862762
7446,-3.862762
7469,-3.862762
7470,-3.862762
7626,-3.862762
7672,-3.862762
7759,-3.862762
7895,-3.862762
8003,-3.862766
8119,-3.862766
8145,-3.862766
8203,-3.862766
8246,-3.862766
8312,-3.862766
8379,-3.862767
8384,-3.862767
8453,-3.862767
8464,-3.862768
8593,-3.862768
8757,-3.862768
8843,-3.862768
8911,-3.862768
8961,-3.862769
9004,-3.862769
9102,-3.862769
9228,-3.862769
9278,-3.862769
9406,-3.862769
9566,-3.862780
9694,-3.862780
9852,-3.862780
9926,-3.862780
9979,-3.862780
10044,-3.862780
10135,-3.862780
10164,-3.862780
10270,-3.862780
10293,-3.862781
10356,-3.862781
10490,-3.862781
10557,-3.862781
10627,-3.862781
10645,-3.862781
10758,-3.862781
10798,-3.862781
10807,-3.862781
10831,-3.862781
10851,-3.862781
10867,-3.862781
11040,-3.862781
11072,-3.862781
11232,-3.862781
11307,-3.862781
11488,-3.862781
11608,-3.862781
11646,-3.862781
11716,-3.862781
11752,-3.862781
11789,-3.862781
11922,-3.862781
12169,-3.862781
12270,-3.862781
12379,-3.862781
12474,-3.862781
12475,-3.862781
12576,-3.862781
12606,-3.862781
12628,-3.862781
12712,-3.862781
12752,-3.862781
13034,-3.862781
13061,-3.862781
13086,-3.862781
13244,-3.862781
13305,-3.862781
13311,-3.862781
13312,-3.862781
13344,-3.862781
13453,-3.862781
13609,-3.862781
13674,-3.862781
14088,-3.862781
14097,-3.862781
14113,-3.862781
14225,-3.862781
14226,-3.862781
14256,-3.862781
14575,-3.862781
14602,-3.862781
