Evaluations,Fitness
1,899297105.657662
3,846541116.297899
5,765710932.934382
8,698179893.492146
25,695322929.294480
80,669884574.606342
88,641088162.280393
132,604191812.115750
168,601381985.249308
225,590137287.673221
242,537281240.764813
252,525306165.461789
308,486170769.859669
312,377140978.327595
409,353617813.317163
437,314910148.146892
554,287431485.629167
710,280303331.149114
726,249308970.424433
761,211967788.185152
872,211747595.459892
922,165819459.891876
989,147635387.367608
1071,136429956.318854
1176,99897906.962204
1249,98947442.225574
1310,98594012.884294
1403,89341397.448992
1418,87673423.502274
1466,86146992.002793
1482,80679122.574176
1548,72797793.100235
1561,71110511.775502
1636,61617409.017861
1748,49891242.058325
1848,42466243.962361
1925,42066189.003440
2019,36563028.681486
2055,31605178.616074
2261,30922499.578578
2302,30523453.754549
2303,30329604.762815
2404,29873357.761366
2426,28600537.204904
2540,27998616.034204
2620,27825227.815065
2669,25255599.225581
2814,25054439.194785
2816,23884226.028253
2823,23701094.754558
2940,23680430.337416
2946,23251122.751494
2966,22857890.822278
2986,21804326.280975
3194,21372518.128311
3244,21046527.249153
3393,20460000.162594
3423,20185350.385984
3506,19940618.789068
3508,19635442.569984
3569,19419427.464718
3605,18937309.536907
3617,18679479.733327
3701,18489064.116549
3837,18025274.628797
3920,18016776.105976
4016,17509941.449601
4023,16937977.903174
4211,16721710.447178
4228,16693036.441722
4319,16622492.684168
4335,16562275.195046
4351,16550021.854239
4483,16529052.647833
4496,16095158.621214
4575,16065908.113906
4590,15726003.986157
4670,15682934.029711
4748,15635907.365383
4782,15469066.563194
4784,15439628.452624
4789,15386255.704496
4838,15315233.834099
4920,15289904.484061
4921,15201450.062883
5033,15176058.735435
5110,14862422.154415
5362,14832132.000994
5403,14800424.665954
5439,14777872.894234
5460,14571380.624321
5501,14566537.231601
5615,14566518.778668
5646,14557465.458629
5657,14516406.594796
5743,14453015.094834
5829,14094111.480413
5930,13993775.525119
6017,13845590.397789
6102,13579523.916275
6208,13280577.823858
6343,13044151.687857
6382,11603901.234480
6769,10695190.664233
6801,10025576.758260
6899,9859774.337494
6909,9839097.475361
7126,9834947.398435
7144,9833590.157851
7271,9800030.196103
7506,9798593.580343
7509,9796560.227766
7523,9779987.996077
7593,9637823.656617
7741,9624737.959843
7782,9606075.564237
7810,9596971.657325
7915,9577658.712695
7938,9541291.820423
7989,9534530.206852
8005,9528217.555756
8099,9526270.411764
8102,9512469.994227
8130,9423060.820345
8206,9421008.110908
8328,9414265.928240
8332,9222253.008260
8381,9199452.242196
8489,9196594.540076
8530,9184562.770671
8554,8943888.979186
8568,8554084.700464
8668,8550919.486557
8696,8546421.637948
8709,8247319.532267
8726,8222384.505147
8763,8182595.292671
8875,7940078.823222
8921,7940078.823222
8924,7898252.123499
9045,7896999.719609
9144,7863007.083213
9145,7833592.366494
9203,7798258.343089
9324,7766785.470345
9475,7760868.654155
9519,7741301.118451
9581,7732381.605451
9609,7727918.676571
9628,7718751.987196
9686,7593238.663025
9807,7584549.594560
10037,7580527.593740
10124,7452373.585316
10357,7450925.972348
10374,7379023.498928
10422,7364989.353575
10537,7362836.527574
10555,7362584.900328
10577,7355198.557746
10612,7352785.276525
10645,7341490.366144
10682,7340710.644334
10713,7340268.037008
10769,7320356.936115
10882,7319451.008911
10957,7318295.967061
11007,7308118.533064
11008,7295469.280257
11180,7295469.280257
11186,7282712.238832
11302,5809137.160030
11497,5802227.648916
11555,5747701.906468
11618,5728572.341897
11735,5727092.438957
11762,5674893.130575
11832,5669276.374524
11908,5668168.214162
11995,5666723.537019
12008,4749241.090833
12107,4695558.092219
12212,4695524.384961
12272,4695126.355878
12354,4660654.874084
12385,4626128.487710
12482,4625263.982985
12627,4624965.769134
12648,4624710.260692
12696,4622724.805764
12711,4621903.894349
12812,4621552.023605
12846,4620643.781618
12869,4589456.626366
12994,4589426.307647
13001,4582714.524370
13099,4579600.760643
13289,4518073.386398
13341,4495941.922466
13439,4494135.376381
13560,3809200.091110
13701,3809163.991353
13722,3787114.158919
13803,3786504.324753
13820,3785881.096984
13906,3783837.500085
13932,3774535.349286
13964,3628920.378837
14065,3619565.977299
14225,3611050.911444
14354,3610551.264877
14447,3609747.970845
14456,3599317.601066
14546,3599133.005547
14619,3595279.939441
14784,3595279.939441
14820,3585464.290299
14828,3583693.564939
14941,3578804.428052
