Evaluations,Fitness
1,497.551944
6,345.904787
9,308.993578
29,180.592348
36,95.921914
122,46.972352
161,22.461826
272,15.756539
322,5.935417
541,5.931345
746,1.005610
990,1.004687
1105,1.002752
1119,1.000379
1175,0.999036
1187,0.998033
1219,0.998033
1326,0.998014
1337,0.998009
1419,0.998009
1421,0.998009
1609,0.998008
1612,0.998008
1636,0.998008
1719,0.998007
2003,0.998007
2169,0.998007
2303,0.998007
2364,0.998007
2481,0.998007
2671,0.998007
2694,0.998007
2790,0.998007
2819,0.998007
2984,0.998007
3378,0.998007
3397,0.998007
3444,0.998007
3609,0.998007
3613,0.998007
3641,0.998007
3672,0.998004
3825,0.998004
3852,0.998004
3923,0.998004
4037,0.998004
4161,0.998004
4295,0.998004
4434,0.998004
4670,0.998004
4717,0.998004
4780,0.998004
4813,0.998004
4987,0.998004
5012,0.998004
5110,0.998004
5282,0.998004
5311,0.998004
5339,0.998004
5403,0.998004
5446,0.998004
5566,0.998004
5693,0.998004
5741,0.998004
5909,0.998004
5925,0.998004
5995,0.998004
6070,0.998004
6099,0.998004
6117,0.998004
6187,0.998004
6243,0.998004
6303,0.998004
6378,0.998004
6416,0.998004
6462,0.998004
6468,0.998004
6527,0.998004
6696,0.998004
6859,0.998004
7083,0.998004
7228,0.998004
9875,0.998004
9985,0.998004
10115,0.998004
10464,0.998004
10707,0.998004
10747,0.998004
10885,0.998004
11024,0.998004
11212,0.998004
