Evaluations,Fitness
1,1217.462011
110,1123.496913
215,1022.965233
414,982.017156
469,981.195062
501,971.607867
506,927.305949
526,926.662374
537,874.685730
677,859.454202
683,813.418290
732,811.035499
811,788.667530
843,774.246646
860,772.852036
894,692.840528
1001,669.692230
1119,665.988856
1128,658.976455
1131,633.601602
1220,632.491378
1239,605.368843
1326,601.255076
1356,578.726017
1412,577.844421
1480,571.401583
1522,567.718176
1540,533.768363
1602,516.287138
1694,454.153210
1908,454.153210
1947,444.391728
1967,438.240383
2006,436.864158
2015,410.133632
2108,402.972171
2198,395.244064
2222,395.028243
2227,390.786444
2304,379.962573
2305,368.288899
2404,354.735109
2406,353.123600
2438,347.774135
2509,340.672844
2523,331.993539
2611,328.361778
2624,322.991214
2633,317.857240
2690,312.604790
2712,293.518277
2812,290.847400
2813,277.745968
2881,274.854138
2931,260.294596
3066,248.607346
3076,247.470911
3205,245.324516
3275,242.926813
3285,223.738000
3418,212.929551
3592,210.960329
3594,208.204552
3623,207.866573
3625,204.919888
3638,203.937795
3644,194.529290
3855,181.034009
3877,177.798829
3946,177.506674
4046,168.835769
4071,168.551177
4203,167.381376
4207,164.863124
4246,164.765418
4289,162.368197
4362,157.535612
4408,155.852593
4525,155.173312
4597,154.277785
4609,149.865461
4794,147.538064
4880,147.239676
4903,146.709209
4959,146.369827
4961,146.343256
4963,145.935910
4971,144.672201
5049,142.643159
5110,142.367712
5180,142.025594
5213,140.947596
5221,139.172031
5306,137.849120
5463,135.874115
5564,135.866058
5596,135.839651
5610,135.559527
5711,135.304643
5743,134.582192
5769,134.077036
5822,133.769845
5923,133.745394
5937,132.783718
5972,132.743183
6067,132.734867
6102,132.496390
6168,132.392548
6173,131.951390
6226,131.684373
6301,131.525018
6326,131.191582
6453,130.996010
6471,130.975209
6501,130.451992
6515,129.941110
6620,129.941110
6631,129.765545
6724,129.463802
6778,128.873823
6848,128.667523
6856,128.034428
7006,127.929422
7106,127.842924
7108,127.569642
7139,127.451940
7244,127.341919
7268,127.287882
7303,127.242160
7360,127.186244
7376,127.013292
7393,127.011895
7449,126.888955
7465,126.750587
7522,126.742421
7526,126.674100
7560,126.669062
7579,126.653141
7586,125.848448
7610,125.848448
7712,125.761437
7743,125.346388
7924,125.179012
8036,125.152866
8057,125.124020
8196,125.124000
8208,125.060914
8240,125.007122
8304,124.992228
8307,124.967435
8316,124.943043
8441,124.942304
8458,124.934421
8474,124.871167
8485,124.824732
8517,124.812240
8588,124.746240
8619,124.600390
8810,124.576696
8835,124.426818
8861,124.345163
8903,124.326541
8904,124.312874
8939,124.310573
8998,124.230266
8999,124.055600
9026,123.891935
9193,123.845267
9216,123.801737
9249,123.769933
9253,123.105718
9527,123.082866
9550,122.989972
9589,121.167986
9653,120.759127
9737,120.721250
9788,120.661002
9802,120.611809
9971,120.602982
10002,120.325662
10052,120.297306
10104,120.277138
10182,120.275639
10187,115.477404
10227,115.434875
10315,115.198957
10326,115.082043
10339,113.861516
10414,112.690007
10416,112.618354
10446,112.483723
10451,112.220900
10494,112.179389
10519,111.898028
10608,111.864136
10791,111.854852
10809,111.812288
10881,111.810635
10932,111.795733
10934,111.687456
11078,111.677772
11145,111.649851
11284,111.610442
11328,111.606324
11506,111.600683
11564,111.598414
11654,111.598122
11705,111.589888
11747,111.589165
11751,111.583840
11768,111.440855
11929,111.421133
12030,110.318508
12175,110.313576
12221,110.144153
12222,110.118321
12238,109.312234
12395,108.065849
12459,108.063447
12486,108.052245
12547,107.886982
12629,107.864836
12740,107.861622
12814,107.859818
12867,107.853495
12942,107.852381
13032,107.852059
13050,107.032576
13196,106.852040
13257,106.845113
13315,106.814336
13369,105.388989
13405,104.821115
13444,104.480939
13566,104.414754
13635,104.373755
13759,103.534531
13814,103.483226
13959,103.450702
14020,103.435618
14083,103.403761
14196,103.401978
14303,103.399794
14339,103.398280
14416,103.391918
14503,103.390833
14528,103.384967
14534,103.382154
14535,103.355140
14726,103.355140
14786,103.351350
14968,103.350746
