Evaluations,Fitness
1,5156051.424236
2,4707965.322618
3,1582001.538988
5,1106085.035212
6,982835.214163
12,626860.109000
51,610033.773356
156,502554.427825
171,407997.119209
432,355252.191631
701,326415.226617
913,326415.226617
1244,238322.911100
1511,238322.911100
1597,174463.786471
1938,152611.280085
2297,152345.171148
2307,151791.245921
2414,150865.401818
2426,149886.069288
2495,148454.127023
2577,147987.755245
2580,146779.825114
2593,145516.747438
2615,144300.208439
2811,142175.778285
2896,139420.904538
3028,139404.624564
3101,139352.676400
3125,139223.510300
3132,139108.298598
3140,138207.327752
3203,138187.986526
3318,137675.131255
3482,137328.499222
3503,137250.731659
3515,137138.822821
3635,135287.008208
3735,135140.403046
3839,135028.667351
3868,134936.259764
3904,134888.962479
3917,134879.012004
3989,134857.066761
4006,134834.275081
4051,134741.979521
4091,134731.765083
4130,134704.441534
4214,134696.751942
4275,134688.697462
4294,134645.721959
4338,134597.753327
4378,134568.364004
4421,134461.885260
4470,134439.763151
4603,134356.838285
4629,134088.311934
4811,133955.075668
4924,133925.068604
4925,133739.469604
5026,133647.759471
5245,133607.281803
5353,131338.158814
5475,131146.724800
5517,131084.093416
5532,131016.443966
5653,130977.767054
5690,130971.390215
5748,130940.112964
5829,130937.652399
5962,130920.691386
6025,130920.354347
6031,130907.284967
6049,130890.508591
6096,130890.164739
6156,130883.667267
6245,130876.239762
6270,130874.648368
6305,130874.551419
6342,130873.478553
6406,130872.587045
6410,130811.166724
6478,130565.768494
6641,130550.458738
6734,130550.392030
6740,130526.481319
6802,130515.623840
6850,130479.584223
6866,130478.576472
6880,130273.828617
6916,129770.034494
7065,129734.009891
7218,129534.620623
7324,128842.658311
7592,128813.748971
7603,128758.289970
7663,128721.457146
7715,128435.025923
7914,128432.469875
7945,128401.295164
7955,128377.614376
8026,128358.821177
8040,127673.288835
8241,127667.997730
8266,127495.300020
8302,127481.095916
8352,127302.129396
8371,127281.464919
8410,127268.518350
8452,127236.557480
8536,127207.980790
8543,126961.888024
8599,126581.082342
8618,126578.617463
8701,126535.508239
8737,126407.368236
8741,124890.455577
8977,123865.369145
9123,123856.543964
9147,123841.325636
9152,123819.066578
9164,123522.428638
9287,123481.938736
9315,123479.098182
9329,123459.634491
9380,123402.315187
9401,123243.568743
9402,123187.280544
9592,123160.965421
9601,123134.966643
9666,123116.930097
9687,123106.406540
9709,123071.336146
9813,123038.633805
9823,122998.804891
9892,122975.914048
9954,122972.871667
9978,122615.247840
10077,122614.843471
10098,122600.126589
10103,122516.116450
10119,122421.940979
10217,122293.353199
10238,121989.668586
10384,121989.668586
10406,121948.195440
10488,121850.826484
10513,121828.540142
10617,121782.669713
10651,121659.987408
10737,121638.985164
10750,121637.442750
10776,121592.825313
10784,121532.308246
11051,121514.342684
11219,121512.639643
11247,121512.292081
11303,121507.017080
11321,121505.198613
11459,121502.727497
11470,121495.217431
11484,121424.075430
11675,121420.710613
11812,121414.979707
11813,121392.653638
12076,121391.223164
12102,121113.899873
12125,120678.970535
12413,120669.295085
12495,120655.455667
12685,120637.851683
12767,120590.819113
12773,120560.919381
12804,120560.919381
12895,120374.511879
12963,120374.504384
13001,120361.149455
13050,120305.267556
13105,120187.182273
13252,120184.894206
13324,120183.098883
13341,120180.519039
13347,120155.873793
13391,120046.678632
13673,120046.678632
13683,120030.964366
13699,119953.250576
13777,119871.642298
13974,119866.302840
14088,119760.390827
14129,119750.894144
14159,118896.375691
14360,118867.495985
14580,118859.750066
14603,118853.997589
14702,118846.800594
14718,118843.655451
14772,116916.529319
14975,116893.053603
14990,116893.033265
