Evaluations,Fitness
100,-0.200730
200,-0.412511
300,-0.898582
400,-0.919070
500,-0.989727
700,-0.993818
800,-1.000699
900,-1.002081
1100,-1.002300
1200,-1.006897
1400,-1.007094
1500,-1.007613
1600,-1.011922
1700,-1.012190
1800,-1.012678
1900,-1.016221
2000,-1.016427
2100,-1.021017
2400,-1.023582
2500,-1.023582
2600,-1.031444
2800,-1.031477
2900,-1.031482
3000,-1.031483
3100,-1.031484
3200,-1.031484
3300,-1.031485
3400,-1.031487
3500,-1.031487
3600,-1.031487
3700,-1.031487
3800,-1.031487
3900,-1.031487
4000,-1.031487
4100,-1.031487
4200,-1.031487
4300,-1.031487
4400,-1.031487
4500,-1.031487
4900,-1.031487
5100,-1.031487
5200,-1.031487
5300,-1.031487
5400,-1.031487
5600,-1.031487
5700,-1.031487
5800,-1.031487
5900,-1.031487
6100,-1.031487
6200,-1.031487
6400,-1.031487
6500,-1.031487
6700,-1.031487
7100,-1.031487
