Evaluations,Fitness
100,5682110.317648
200,5558355.855016
300,5003315.971383
400,4489677.010138
500,4069132.740514
600,3760588.845242
700,3440818.688887
800,2973134.621099
900,2721157.939866
1000,2337539.527503
1100,2031688.195230
1200,1833431.972123
1300,1602583.283893
1500,1362793.965211
1600,1235989.045697
1800,1173785.770707
1900,1060097.062926
2000,851022.148482
2200,720444.557855
2300,697435.631075
2400,596036.522096
2500,538613.695954
2700,519806.560680
2800,518858.777341
2900,460076.512430
3000,451779.465295
3100,429765.102193
3200,399267.517752
3300,360522.684957
3400,354656.082554
3600,332734.338459
3700,305754.329598
3900,294586.266187
4000,285200.439867
4100,275540.760439
4200,258803.772031
4500,254890.760618
4700,250060.097743
4800,247755.561989
4900,246347.949036
5000,245795.849069
5100,243039.065440
5200,241130.122373
5300,238711.249242
5400,237476.908492
5500,234496.926945
5600,233780.782782
5700,232913.215603
5800,232054.288915
5900,231700.328937
6000,230009.888537
6100,217163.547573
6200,216368.453966
6300,211728.839187
6500,208457.945480
6600,206199.851585
6700,201110.166211
6800,201091.169406
6900,200232.863667
7000,199180.862404
7100,192283.111349
7200,189963.609367
7300,189104.951633
7400,187084.220294
7500,184800.815594
7600,183844.568916
7700,183806.013144
7800,182404.346772
7900,180245.525905
8000,179217.151916
8100,175769.700582
8300,169645.556885
8400,165707.873133
8500,165500.266706
8600,165445.238421
8700,164355.899331
8800,164083.746413
9000,163853.166989
9100,163732.164580
9200,163650.894707
9300,163142.398746
9400,162957.289931
9500,162929.952422
9600,162757.115812
9700,162615.372866
9800,161579.179120
9900,161573.097080
10000,158359.967605
10100,158205.591599
10300,158040.278573
10400,157810.329026
10500,157758.397034
10600,157570.752798
10700,157548.263186
10800,157482.060695
10900,157162.716663
11000,157072.495452
11100,156673.048377
11600,150041.428158
11700,149943.275520
11800,149809.656000
11900,149561.829066
12000,149396.573302
12200,142666.849602
12300,142024.677419
12400,141574.706379
12600,141433.002448
12700,141348.365929
12800,134178.670541
13000,126083.255249
13100,124011.923804
13200,118995.873588
13300,117572.328080
13400,117329.902132
13500,115602.192782
13700,113724.172163
13800,112518.014504
13900,110137.780523
14000,109951.479870
14100,109800.373759
14200,109547.420292
14300,109411.059440
14400,108877.950785
14500,108852.033156
14600,108324.378939
14700,106284.263079
14800,105765.149136
14900,105251.782941
15000,102487.780780
