Evaluations,Fitness
100,4326936.993235
200,3990145.305958
300,3936818.094498
400,3229887.604561
500,2777520.999605
700,2728931.304637
800,2300569.064437
900,2108840.034906
1000,1840873.273978
1100,1775453.253712
1200,1422145.681432
1400,1248697.882838
1500,1221521.457668
1600,1103145.851142
1700,1090994.011797
1800,903652.867593
1900,851199.695330
2000,836304.231438
2100,688899.399657
2200,666237.673683
2300,612361.674392
2400,526903.406393
2500,502475.074217
2600,474350.616515
2800,448271.802150
2900,426920.421943
3000,386850.089693
3200,367448.601031
3300,356393.350358
3400,344966.824901
3500,332074.161711
3600,313930.689821
3700,301695.837996
3800,281723.317785
3900,280386.787691
4100,271564.013879
4200,257812.659925
4400,256430.941957
4600,253673.888081
4700,249493.672192
4800,239317.438658
5000,237085.703421
5100,237067.935258
5200,236249.393996
5300,231404.650398
5700,230094.121198
5800,229252.212679
5900,228539.288216
6000,227595.821779
6100,225507.497344
6300,224726.392408
6400,223632.575684
6500,222608.451667
6600,221190.664069
6700,216687.315062
6800,215475.395229
6900,214252.810939
7000,209559.892454
7300,209491.313335
7400,208444.705718
7500,206709.156879
7600,206655.797521
7700,204709.767648
7800,199117.224324
8000,198866.189795
8100,195627.325583
8200,192037.235817
8300,189940.380480
8400,184410.269169
8500,182797.077400
8600,179344.507793
8700,179193.230533
8800,179044.385398
8900,175547.524908
9000,172240.491860
9200,170511.421035
9300,168215.326091
9400,167737.284794
9500,161902.254570
9600,161696.152249
9700,159442.153986
9900,155573.331613
10000,153555.484268
10100,146536.091468
10200,146474.899386
10300,142713.504625
10400,141834.321036
10500,141223.832037
10600,136087.285556
10900,135952.152729
11000,130945.072033
11100,127533.794831
11200,126129.256710
11300,125753.476877
11400,125009.551874
11500,124960.412038
11600,124856.153667
11700,124786.531364
11800,124529.955428
11900,120971.768753
12000,120936.084654
12100,120636.728536
12300,118817.352387
12400,118748.998415
12500,118712.436446
12600,118204.134063
12800,118030.979136
12900,117958.752525
13000,117627.029450
13100,117627.029450
13200,116639.590052
13400,116293.300387
13500,116273.635478
13600,115526.994555
13700,115337.982212
13800,115191.576308
13900,114705.045534
14000,114450.020428
14200,112657.770342
14300,112636.942261
14400,112556.619180
14500,112417.079346
14600,112409.416829
14700,111185.952543
14800,111016.814343
14900,110917.707262
15000,110778.036686
