Evaluations,Fitness
1,1623.693962
2,1592.318054
9,1434.384587
21,1390.265146
88,1252.251239
101,1133.339539
102,1065.436650
105,1031.698869
112,956.099721
200,825.206080
201,760.401912
222,618.569168
301,572.843914
320,536.766698
336,525.778490
371,523.090107
372,444.134241
403,357.656433
497,340.261829
501,324.116703
504,308.714012
506,285.926573
513,278.401760
564,256.588955
596,247.642715
604,207.155099
634,195.484920
680,186.475743
703,168.206662
705,128.754709
822,128.754709
945,128.754709
991,110.793479
996,110.793479
1258,110.793479
1304,110.793479
1486,100.427145
1606,100.427145
2077,100.427145
2078,100.252704
2084,93.162159
2117,92.669624
2195,92.405152
2201,91.612907
2210,91.540022
2293,91.540022
2300,91.508224
2316,91.486396
2359,91.472301
2364,91.428757
2377,89.036559
2400,89.036559
2588,89.036559
2772,88.682533
2788,85.524937
2807,84.623451
2879,84.623451
2919,84.623451
2921,84.620041
2971,83.243486
2976,77.957488
3006,77.329614
3018,77.148106
3028,76.056868
3073,75.636621
3170,75.605490
3224,75.420203
3291,75.420203
3319,75.405664
3366,68.893632
3368,68.893632
3386,68.893632
3472,68.893632
3564,68.528689
3575,68.147273
3598,67.557463
3599,67.244972
3607,67.160340
3624,66.976579
3641,66.975360
3669,66.948123
3672,66.938433
3673,66.833369
3679,66.612388
3724,66.608460
3735,66.558156
3761,65.149371
3766,64.859185
3767,63.043500
3863,63.043500
3871,63.043500
3877,63.004734
3878,60.571095
3892,58.119157
3962,58.104247
3963,58.031413
3965,57.880826
3971,57.783847
3987,57.515594
3995,57.274968
4068,57.255580
4072,57.045965
4076,56.976080
4078,56.951859
4087,56.617816
4159,56.049754
4161,55.238332
4163,54.712035
4182,54.228190
4238,53.563093
4261,53.563093
4263,53.563093
4275,53.511338
4298,52.881259
4368,52.819866
4474,52.800694
4478,52.769098
4554,50.268005
4574,50.268005
4628,50.268005
4671,50.268005
4753,49.410195
4762,48.732158
4763,47.454536
4847,47.265541
4853,47.226910
4855,47.164902
4858,47.086793
4941,47.027255
5002,47.027036
5044,46.991153
5056,46.519313
5160,46.392478
5174,46.177727
5181,45.936356
5259,45.936356
5275,45.928982
5297,45.926184
5313,45.906898
5353,45.891054
5428,45.888510
5436,45.863215
5578,45.851166
5680,45.847305
5704,45.847192
5725,45.815632
5859,45.806408
6252,45.779418
6434,44.172404
6435,41.907049
6437,41.907049
6439,41.907049
6629,41.907049
6634,40.554766
6635,40.554766
6647,40.554766
6686,40.183077
6739,40.094819
6835,40.065202
6875,40.020445
6922,39.974183
6947,39.940863
7065,39.888665
7343,39.882430
7417,39.876964
7425,39.820309
7490,39.223858
7496,39.172372
7525,36.551660
7540,36.551660
7631,36.551660
7732,36.551660
7822,34.451783
7823,34.451783
7853,34.451783
8019,34.424703
8030,33.791399
8123,33.739389
8179,33.612163
8223,33.512600
8238,33.477118
8315,30.746213
8326,30.746213
8348,30.746213
8404,30.746213
8457,30.746213
8528,30.746213
8559,30.746213
8664,30.746213
8711,28.926782
8716,28.926782
8754,28.926782
8819,28.926782
8910,28.512822
8953,28.380944
8961,28.315874
8966,28.215626
9020,28.181918
9032,28.179852
9045,28.179202
9113,28.178905
9117,28.159589
9156,28.112422
9314,28.112422
9318,28.097608
9355,28.076138
9404,26.594836
9417,26.017588
9554,25.913466
9565,25.838654
9604,25.656849
9609,25.160568
9618,25.020064
9639,24.876783
9713,24.792896
9755,24.786851
9789,24.710010
9900,24.063768
9902,24.063768
9906,22.970162
9928,22.885927
9966,22.101827
10001,22.101827
10003,22.101827
10043,21.574964
10120,21.563966
10141,21.516564
10200,21.472326
10295,21.235641
10305,20.299066
10368,20.234953
10400,20.008090
10500,19.854969
10569,19.850816
10692,19.586938
10742,19.247864
10802,19.226741
10816,19.143351
10825,19.055794
10826,17.928348
10898,17.928348
10924,17.865958
10967,17.747532
10987,17.680459
10995,17.302546
11103,17.241885
11235,17.241885
11278,17.149525
11425,17.114202
11593,17.071858
11803,17.064399
11844,17.056406
11893,17.053356
11990,17.052824
12098,17.051370
12169,17.047875
12177,16.851715
12188,16.751206
12245,16.657927
12328,16.609713
12407,16.442956
12460,15.675918
12488,15.675918
12539,15.428157
12574,15.282599
12576,15.064065
12587,14.363496
12675,14.307740
12676,14.235801
12700,14.219443
12798,14.208910
12907,14.204104
12931,14.200346
12974,14.148395
13060,14.137117
13068,12.480595
13070,12.480595
13100,12.480595
13116,12.480595
13183,12.441826
13346,12.261969
13378,12.244019
13632,12.228470
13663,11.395695
13667,10.961503
13815,10.961503
13878,10.958562
13899,10.920152
13904,10.391443
13987,10.391443
14003,10.352964
14043,10.311248
14071,10.286187
14095,10.249599
14177,10.216887
14426,10.212379
14434,10.201629
14460,10.182304
14478,10.169154
14546,10.127838
14556,10.090643
14628,10.034978
14681,9.995242
14775,9.987524
14838,9.987210
14845,9.984215
14867,9.978615
14870,9.977024
