Evaluations,Fitness
1,-0.000000
2,-0.000002
3,-0.014644
9,-0.401231
10,-2.304016
67,-2.364501
101,-2.364501
103,-2.672905
104,-3.403976
105,-3.428276
106,-3.501482
116,-3.582253
118,-3.665633
173,-3.812254
206,-3.836231
246,-3.836564
257,-3.840185
273,-3.843423
288,-3.850826
319,-3.860900
580,-3.861855
951,-3.862238
1004,-3.862411
1005,-3.862526
1101,-3.862699
1208,-3.862723
1262,-3.862739
1305,-3.862774
1471,-3.862776
1801,-3.862780
1936,-3.862781
2020,-3.862781
2028,-3.862781
2085,-3.862782
2119,-3.862782
2300,-3.862782
2437,-3.862782
2464,-3.862782
2795,-3.862782
2810,-3.862782
2904,-3.862782
3007,-3.862782
3025,-3.862782
3104,-3.862782
3113,-3.862782
3214,-3.862782
3288,-3.862782
3304,-3.862782
3339,-3.862782
3384,-3.862782
3385,-3.862782
3438,-3.862782
3503,-3.862782
3559,-3.862782
3599,-3.862782
3603,-3.862782
3657,-3.862782
3969,-3.862782
3988,-3.862782
4010,-3.862782
4160,-3.862782
4289,-3.862782
4334,-3.862782
4388,-3.862782
4439,-3.862782
4461,-3.862782
5108,-3.862782
5399,-3.862782
