Evaluations,Fitness
1,1143205052.298696
2,988239037.327234
3,766141445.367887
9,677958545.168523
25,672094493.216574
73,664637516.457810
85,591669711.839180
99,588874398.073290
101,463364059.255274
112,386413849.453451
141,322739943.608234
200,319311515.541025
202,242580817.507094
234,233328805.155453
241,212706142.619409
262,198564687.132953
293,186530287.188328
295,183094491.766006
302,159751265.759352
303,147609036.933904
304,129976306.349331
311,121462939.735680
351,113107543.720057
401,107154153.053664
402,61827254.056973
440,53595308.784543
455,36320208.670497
502,35840242.314991
504,25776624.487241
601,22512397.680463
607,17565796.570721
626,13343663.285334
696,12900991.034176
705,10603179.018609
801,5591533.428872
912,5245646.629534
945,3613819.490251
951,3601391.863230
996,3212405.996227
1007,2812351.571802
1034,2504606.657993
1048,2392064.919300
1105,1950614.438811
1195,1583042.114619
1213,1159517.927348
1228,953182.450984
1311,941444.715144
1358,929600.988325
1390,748838.049684
1398,711936.987896
1467,588561.150127
1525,573121.159777
1593,531145.510356
1594,510062.104418
1626,448419.977056
1730,384356.914306
1732,373328.155751
1805,360369.084423
1813,355429.339909
1822,308456.676800
1877,306390.608412
1950,278463.489891
2021,251260.720988
2042,242235.948305
2124,210542.926400
2401,209654.465040
2424,203411.423505
2515,194368.435722
2576,192021.036358
2591,189933.350684
2659,188825.205707
2679,184917.793775
2753,181618.555543
2804,175914.757997
2850,171700.655090
2899,168526.809943
2972,167374.527703
3038,166768.789170
3142,166494.607489
3174,161438.704954
3278,160779.948241
3385,160712.814736
3388,159627.731664
3442,158476.194237
3465,155756.015361
3574,153678.189057
3676,153050.491485
3691,152060.467578
3732,149608.695368
3976,149415.575402
3988,148691.877467
4052,148660.392106
4087,147128.398764
4133,146089.673140
4266,145998.063792
4292,145952.769360
4411,144506.508868
4623,142641.142338
4853,142520.660454
5106,142504.112474
5163,142157.784158
5204,141978.055010
5250,141620.130572
5567,141327.923188
5750,141298.398208
5844,141257.989810
5865,141080.578123
5939,134407.215982
6035,133958.742584
6077,133676.703243
6315,133289.080658
6435,123414.233682
6831,109002.044802
6992,90321.111286
6993,81771.990550
7219,73518.636116
7316,70586.144014
7499,65626.640584
7953,65317.284858
8120,64449.472569
8165,64124.969273
8235,63724.975077
8265,63672.569993
8300,63616.691960
8329,63531.521474
8346,62772.440460
8436,61598.804747
8460,60842.760372
8768,60836.923169
8790,60754.513682
8919,60264.845859
9057,60217.030210
9184,60091.927112
9225,59810.935718
9234,58161.400280
9261,56380.759805
9347,54483.895397
9421,54380.248659
9429,53763.230885
9690,53702.740167
9757,53226.608358
10133,52705.936723
10247,52670.142985
10303,52616.481375
10309,52225.867632
10418,52154.316937
10447,52063.873631
10514,52027.335298
10543,51911.257989
10571,51890.105529
10581,51759.007477
10592,48689.008975
10934,48362.639330
11099,47779.980356
11100,44439.732063
11424,43659.620872
11430,43420.355862
11540,43207.291154
11707,42681.700226
11853,42038.055085
12094,41450.720559
12100,41242.597116
12273,41013.878529
12390,40914.755232
12467,40838.888710
12500,40718.790475
12579,40619.400314
12609,40267.865842
12695,39994.787277
12738,39482.318806
12889,39222.322137
13108,39132.405550
13117,38500.369080
13166,36438.586885
13399,35397.791186
13578,34716.980211
13581,34498.992217
13627,34059.448842
13635,33870.483516
13762,33122.211543
13809,30951.978589
14010,29538.062854
14111,29143.540061
14264,28949.603898
14279,28593.590067
14371,27939.917095
14566,27356.029500
14745,27287.361915
14752,26382.079973
14873,26313.747421
14937,25918.732747
