Evaluations,Fitness
1,2154511.140822
2,1649646.449461
5,1589948.375520
6,623858.532419
16,327639.772902
173,260617.922422
237,260422.554477
289,244729.342683
317,209171.423939
351,105476.042543
490,85945.338501
661,50547.809002
921,50547.809002
966,42201.284606
1034,41387.308207
1373,29258.612412
1494,26323.341916
1522,23869.776987
1786,23834.046684
1860,19580.417280
1951,19580.417280
1986,17939.812714
2133,16246.420505
2251,16210.367531
2254,15353.828702
2308,13616.092679
2714,13041.972885
2715,11458.259461
2883,11343.939510
2952,11040.947090
3057,10486.157552
3240,10393.638621
3246,9371.094603
3288,9290.885266
3316,8668.430079
3429,8001.944446
3691,7936.943313
3771,7655.647274
3877,7619.100971
3918,7565.945466
4034,7237.548290
4049,6135.885465
5074,6081.722044
5200,6051.656073
5314,5955.221221
5348,5892.167361
5894,5855.536620
6031,5830.485912
6115,5800.921720
6239,5799.415896
6268,5790.822889
6274,5776.240646
6323,5725.489444
6430,5709.764587
6476,5684.521134
6496,5610.518199
6558,5556.723018
6844,5541.539884
7193,5503.862696
7285,5470.969897
7318,5425.009497
7702,5269.596423
8340,5214.355379
8578,5172.411420
8599,5126.095491
9109,5096.715426
9241,5074.703215
9315,4982.152671
9698,4944.452388
10021,4915.632700
10171,4909.844408
10425,4877.971216
10897,4873.690663
10980,4870.500239
11232,4870.422335
11323,4870.291899
11346,4863.405473
11712,4861.113652
11732,4860.491310
11813,4859.466883
11925,4858.186959
12107,4857.518244
12113,4856.547398
12214,4856.377048
12285,4856.027965
12383,4854.781626
12678,4853.221783
12963,4852.772247
12968,4772.642386
13023,4766.319001
13024,4721.779580
13316,4715.541937
13821,4711.115163
14081,4709.518461
14093,4703.045015
14100,4696.472319
14270,4687.191729
14359,4686.585685
14666,4683.832089
14732,4683.382914
14803,4682.295113
14863,4680.766951
