Evaluations,Fitness
1,3320.032009
3,2616.030219
7,1993.330457
123,1812.703639
127,1307.281722
354,1235.188046
401,1208.792232
404,1036.177592
447,1007.827850
475,960.329302
512,888.648349
550,843.058084
564,761.405159
712,758.905443
722,692.715163
728,640.074703
848,631.071049
865,616.769834
920,585.708319
979,568.683209
1036,568.269366
1041,538.025999
1097,530.481531
1100,511.031639
1146,500.825354
1193,452.673457
1297,452.648506
1451,451.285684
1519,450.985852
1545,427.329094
1616,426.734016
1680,413.085895
1689,408.599356
1691,400.625005
1879,399.816791
1895,396.231133
1938,393.428794
1983,391.120738
2149,385.804645
2181,385.032424
2210,376.497358
2284,368.977746
2372,364.234248
2511,363.596329
2551,360.778227
2594,358.008928
2654,356.692931
2673,354.041213
2691,349.577254
2815,342.598316
2867,331.379820
3138,327.133019
3277,325.346109
3294,320.994210
3433,320.397283
3519,319.328906
3629,317.817958
3690,313.589411
3711,312.846304
3716,307.863628
3841,306.001397
3895,302.669684
3964,292.543877
4076,286.399606
4256,281.522061
4396,280.144553
4472,278.405470
4495,266.045654
4751,264.583295
4890,263.842738
4962,261.838020
5026,260.772048
5053,258.677264
5093,256.778300
5187,256.348970
5215,252.267202
5521,250.421576
5551,247.467692
5738,246.328489
5787,244.563137
5842,239.580624
6166,237.597585
6238,236.839983
6294,236.211652
6327,234.370003
6372,234.254365
6543,232.754862
6682,231.042244
6790,229.819699
6883,228.892561
7122,228.734364
7128,219.857351
7327,211.806443
7680,210.173586
7732,208.141552
8036,204.112487
8062,203.865783
8117,198.423035
8226,198.108469
8354,196.885745
8384,194.161741
8524,192.630062
8726,190.094632
8885,189.809069
8944,189.700634
8992,188.421334
9015,187.814002
9127,187.793839
9203,187.720170
9254,186.876070
9297,185.785705
9307,184.949714
9390,183.368267
9507,182.783775
9618,182.648188
9694,180.311901
9927,179.644110
10000,179.153907
10081,178.696328
10107,178.174432
10189,177.276977
10291,177.175760
10297,176.680497
10299,175.509696
10361,174.768667
10395,172.327900
10517,171.192941
10687,171.185417
10727,171.026288
10753,169.361711
10852,169.309735
10855,169.236097
10869,168.483787
10881,167.642926
11011,166.912447
11050,166.738901
11055,166.122627
11084,164.385298
11187,164.295509
11301,161.093020
11385,158.822576
11478,158.442379
11663,153.599021
11881,153.422584
11978,153.028850
11999,150.694490
12259,149.728652
12347,149.694720
12375,149.024275
12415,149.024275
12474,148.652380
12480,146.475958
12572,145.759198
12591,145.759198
12596,144.101908
12680,144.101908
12815,144.101908
12870,143.303812
12871,141.657127
12882,141.657127
12979,141.657127
13068,141.563765
13091,140.844329
13167,137.384965
13169,137.384965
13211,137.384965
13266,136.383347
13277,135.494877
13292,134.097466
13335,133.886162
13338,133.587251
13344,133.077351
13369,133.077351
13381,132.400295
13463,130.248750
13502,130.248750
13661,127.174903
13663,125.802591
13688,125.802591
13792,125.802591
13817,125.802591
13960,122.526915
13965,122.526915
14027,122.526915
14157,121.055160
14159,121.055160
14174,119.894681
14257,118.329817
14258,118.329817
14406,118.329817
14455,117.243684
14470,117.243684
14483,117.161124
14520,117.017557
14535,117.007773
14569,116.995010
14608,116.993096
14628,116.917730
14654,116.914648
14662,116.874718
14699,116.845598
14702,116.794661
14751,116.596204
14754,116.496537
14768,115.237684
14785,113.733931
14852,113.733931
