Evaluations,Fitness
1,1483.387978
6,1309.345866
15,1207.539453
108,1100.224319
240,1074.076985
255,1069.118062
268,1050.771687
272,939.628817
315,927.068908
408,862.571729
445,860.642682
511,844.429643
522,841.839597
563,827.317224
603,804.026112
615,792.428557
729,763.900539
773,759.221323
839,750.711757
897,731.349396
909,729.134242
1009,718.433416
1042,689.187555
1135,688.970807
1164,683.359138
1172,644.832583
1488,618.198026
1869,614.408396
1908,606.507128
1988,583.478724
2034,577.916070
2168,574.966465
2580,567.095046
2619,564.521213
2681,562.246888
2688,524.627733
3343,522.785687
3413,505.566009
3457,500.103500
3671,493.308409
3688,473.861778
4012,469.868296
4021,466.669835
4090,459.759018
4313,458.042749
4354,450.039643
4500,417.375135
4887,404.966201
5038,402.050771
5365,387.030871
5628,383.932510
5893,377.873391
5945,376.122640
6003,374.308790
6060,369.902087
6166,366.582223
6254,363.259100
6261,356.939732
6375,355.356021
6492,351.946584
6595,350.357644
6645,348.117081
6659,346.468882
6668,346.452882
6726,344.037865
6833,343.164294
6958,342.036277
6963,340.565588
6987,338.388356
7078,336.644027
7117,336.277850
7142,336.242631
7195,333.847964
7213,332.436907
7252,328.352933
7583,327.907174
7621,325.616718
7850,325.119823
7944,324.995156
7963,323.511334
8381,322.189854
8571,321.845157
8721,321.656851
8815,321.379401
8905,320.796241
9077,320.486574
9096,320.377311
9183,320.023228
9448,319.363190
9536,319.309170
9892,319.185191
9952,318.954425
10194,318.935758
10196,299.907556
10716,297.175303
10806,296.175110
10933,295.397392
11180,294.139460
11220,286.646434
11995,286.043142
12387,286.040058
12430,285.938972
12464,285.605450
12748,285.298582
13024,285.080757
13339,285.051425
13602,284.969082
14009,284.966255
14052,284.936258
14083,284.931615
14329,284.917780
14388,284.916135
14437,284.914082
14446,284.910266
14466,284.904380
14580,284.901585
14595,284.891944
14632,284.890926
14685,284.888880
14781,284.882731
14847,284.878271
14913,284.873303
