Evaluations,Fitness
1,10812598.541111
2,10256159.055336
3,8533881.650768
7,5922691.892249
103,5214238.191909
104,4815101.572758
204,4785648.229187
210,4678441.859074
218,3957544.948846
243,3772983.675333
325,3769277.467333
336,3763899.956513
337,3451130.539497
404,2896030.640231
503,2488811.109373
611,2250345.466099
710,2216574.618256
724,2050721.432935
795,1984404.993856
837,1960591.345797
896,1931187.474160
904,1853573.918216
924,1851929.425735
981,1748280.403543
1006,1665636.472434
1125,1604888.835500
1163,1543438.858990
1209,1508922.088913
1273,1441343.819032
1319,1388082.570843
1498,1384489.058869
1562,1379386.487868
1573,1322430.521521
1613,1270119.485920
1760,1249830.903913
1787,1215952.380108
1932,1189687.053926
2002,1181537.388222
2036,1176655.274123
2095,1167053.431124
2187,1163155.217541
2281,1157589.210225
2288,1145146.462361
2391,1136927.768065
2399,1113747.309700
2539,1112067.680257
2582,1096678.316773
2771,1085848.346464
2781,1073403.683365
2883,1073279.482761
2946,1032629.944948
3272,1032442.117864
3293,1029979.429687
3345,1029210.234834
3386,1024199.485713
3402,996019.290124
3578,976399.508751
3654,961567.147001
3671,955298.062569
3773,899996.078810
3966,881161.294193
4346,876771.206000
4382,876764.627310
4392,863415.722993
4452,842234.137740
4589,834456.231986
4816,817916.042040
5049,816758.550945
5066,815237.844341
5071,813764.728965
5091,811132.076078
5156,797538.872763
5337,792942.687880
5447,791838.547689
5468,781129.416934
5607,777507.075851
5610,769091.269111
5648,758364.576532
5681,733850.235824
6089,728790.866359
6158,726088.082868
6177,702949.754629
6368,699593.138546
6396,699110.655575
6411,697103.027584
6419,690764.845952
6634,689783.293337
6656,677192.067555
6835,676215.744618
6845,671529.812824
6862,671060.561688
6993,643506.833447
7291,642309.787725
7321,637231.675715
7330,632398.763165
7538,627075.492286
7559,624622.237364
7599,623244.367046
7675,621757.855140
7691,615745.077612
7725,615724.243034
7776,613733.612042
7831,610024.274709
7859,609283.388610
7931,605613.726719
8025,603468.235542
8046,598736.618870
8088,596058.723111
8118,594970.638320
8159,593915.364690
8223,593548.723262
8238,586325.032342
8342,585104.607494
8413,581626.080957
8526,579109.360113
8537,578378.018665
8560,578260.693652
8613,562965.308859
8901,558991.846337
8926,557360.962356
8941,550539.807712
9068,548661.929675
9234,548287.633589
9315,544665.846872
9404,537423.202787
9457,535840.338123
9547,530120.524702
9559,529954.479349
9603,520967.074123
9800,520563.421635
9911,511719.767307
10042,511080.362638
10054,506430.318095
10070,504812.252746
10098,501323.306562
10110,498593.156848
10219,495568.129840
10250,491126.950111
10260,489833.203187
10324,484726.655062
10481,484683.733890
10571,483705.940130
10588,483381.887531
10599,482687.038595
10602,478639.955247
10660,478621.114593
10681,477288.951565
10716,473265.013786
10759,467174.496567
10967,465196.807293
11000,461059.462200
11019,459831.988213
11089,455274.608388
11125,452024.936089
11203,450037.913756
11341,449439.268711
11405,446996.222117
11595,446084.332272
11605,444972.832749
11614,444285.070191
11683,440762.110136
11765,439737.151979
11850,438253.632028
11887,432272.272711
12034,423117.021005
12494,421409.975652
12535,417577.494694
12980,417039.950283
13035,416088.196382
13180,415439.209017
13193,414627.484304
13267,406716.049692
13348,405919.508700
13366,401247.205634
13674,397929.683410
13806,397346.214793
13810,396608.466155
13882,394959.052970
13892,393166.789396
14035,393077.642839
14151,392929.190525
14178,392090.931533
14270,390729.144989
14356,389933.677201
14407,389825.361074
14431,387157.590187
14525,385895.864479
14556,383861.428243
14660,383617.899060
14727,382392.621796
14735,380908.769678
14784,375885.542011
