Evaluations,Fitness
1,2984.857717
3,2384.379630
4,1068.541540
5,418.234863
6,34.460383
13,18.384465
15,5.082076
28,-0.869242
105,-0.869242
110,-0.950987
223,-0.956900
242,-0.985945
796,-0.989338
965,-0.989693
995,-0.990083
1031,-0.992455
1427,-0.992533
1771,-0.992672
1919,-0.992703
2233,-0.992734
2275,-0.992736
2445,-0.992746
2481,-0.992751
2482,-0.992756
2575,-1.001163
2870,-1.024869
3584,-1.025785
3734,-1.025883
3961,-1.030259
4042,-1.031178
4319,-1.031181
4330,-1.031235
4356,-1.031270
4621,-1.031287
4961,-1.031304
5357,-1.031304
5440,-1.031304
5455,-1.031304
5513,-1.031308
5671,-1.031310
5728,-1.031312
6350,-1.031312
6451,-1.031312
6520,-1.031312
6979,-1.031312
7270,-1.031312
7297,-1.031312
7413,-1.031312
7499,-1.031312
7682,-1.031312
7729,-1.031312
7951,-1.031312
8074,-1.031312
8118,-1.031526
8182,-1.031585
8183,-1.031625
8319,-1.031626
8422,-1.031626
8820,-1.031626
9084,-1.031626
9224,-1.031626
9315,-1.031626
9397,-1.031626
9532,-1.031626
10609,-1.031626
10664,-1.031626
10857,-1.031626
10925,-1.031626
10934,-1.031626
11513,-1.031626
11637,-1.031626
11731,-1.031626
11759,-1.031626
11794,-1.031626
11860,-1.031626
12283,-1.031626
12291,-1.031626
12456,-1.031626
12857,-1.031626
12867,-1.031626
12975,-1.031626
13089,-1.031626
13766,-1.031626
14019,-1.031626
14028,-1.031626
14576,-1.031626
14610,-1.031626
14660,-1.031626
14668,-1.031626
14700,-1.031626
14703,-1.031626
14784,-1.031626
