Evaluations,Fitness
1,21.246173
4,21.221856
6,21.020428
7,20.893207
127,20.848828
219,20.848406
263,20.815913
296,20.787037
315,20.745290
323,20.736233
366,20.732760
410,20.662504
425,20.554621
559,20.529770
561,20.505195
617,20.299967
628,20.257537
706,20.243640
820,20.201044
876,20.149514
882,20.029696
1028,19.876584
1062,19.495140
1132,19.443426
1195,19.238569
1445,18.855862
1620,18.420799
1706,17.672492
2083,17.665743
2128,17.529608
2131,16.892682
2352,16.534705
2415,16.497397
2525,16.304279
2621,16.190064
2705,16.171965
2768,16.165932
2793,15.538328
3034,15.460158
3055,15.458240
3134,15.270157
3342,15.016686
3415,14.945687
3613,14.868790
3622,14.800896
3652,14.242187
3979,14.062885
4012,13.964881
4137,13.793910
4216,13.610513
4379,13.540062
4453,13.383507
4480,13.270059
4714,13.121087
4717,12.746768
4854,12.562285
5013,12.526660
5140,12.409202
5153,12.357041
5280,12.338469
5286,12.199439
5306,12.125790
5309,11.818567
5412,11.688480
5675,11.651145
5708,11.580363
5731,11.448878
5774,11.334209
5918,11.285956
5976,11.185133
5984,11.030197
6034,10.985757
6129,10.588978
6290,10.311493
6401,10.033382
6532,9.952764
6795,9.718741
6846,9.702194
6865,9.655139
6976,9.533071
6980,9.297571
7067,9.275474
7080,9.246685
7298,9.235769
7328,8.935758
7404,8.839930
7480,8.816105
7505,8.751613
7553,8.715392
7574,8.631821
7676,8.094673
7751,7.918859
7903,7.809089
7984,7.421165
8746,7.363151
8814,7.228669
9011,7.159311
9023,7.105529
9102,7.094047
9126,7.072163
9159,6.889204
9275,6.835545
9328,6.790074
9475,6.728741
9488,6.720063
9574,6.554151
9683,6.485817
9791,6.475586
9814,6.439301
9931,6.274891
10170,6.231714
10212,6.100597
10254,5.889890
10333,5.735570
10900,5.705527
10912,5.663661
10945,5.614205
11217,5.593594
11240,5.569797
11302,5.497265
11429,5.477296
11490,5.463931
11507,5.371602
11942,5.337760
12000,5.333895
12250,5.294584
12288,5.121167
12371,4.976998
12782,4.956423
13134,4.937990
13326,4.924956
13713,4.718926
13786,4.711032
13843,4.683082
14333,4.592802
