Evaluations,Fitness
1,6.908240
3,5.994992
10,1.190175
157,1.107545
199,1.023639
275,0.857456
326,0.654515
365,0.584866
502,0.575010
525,0.491826
707,0.466671
937,0.430347
1056,0.412052
1059,0.402454
1509,0.402399
1598,0.398355
1805,0.398242
1932,0.398242
2037,0.398242
2048,0.398110
2302,0.398045
2377,0.398020
2430,0.398019
2455,0.397977
2525,0.397972
2670,0.397972
2802,0.397969
2866,0.397969
2872,0.397963
2909,0.397947
2988,0.397947
3020,0.397942
3161,0.397941
3275,0.397940
3405,0.397938
3457,0.397937
3570,0.397937
3636,0.397937
3741,0.397936
3809,0.397936
3872,0.397936
3961,0.397936
4024,0.397936
4154,0.397936
4280,0.397936
4459,0.397936
4516,0.397936
4606,0.397936
4734,0.397936
4762,0.397936
4905,0.397936
5059,0.397936
5147,0.397936
5150,0.397921
5470,0.397921
5473,0.397921
5553,0.397920
5614,0.397919
5744,0.397919
5765,0.397918
5854,0.397918
5917,0.397916
5960,0.397916
6029,0.397916
6121,0.397916
6146,0.397915
6253,0.397915
6388,0.397915
6410,0.397915
6554,0.397915
6587,0.397915
6603,0.397915
6792,0.397915
6869,0.397915
6965,0.397915
7009,0.397915
7123,0.397915
7188,0.397915
7258,0.397915
7365,0.397915
7399,0.397915
7621,0.397915
7659,0.397915
7770,0.397915
7968,0.397915
7981,0.397915
8033,0.397915
8265,0.397915
8342,0.397915
8504,0.397915
8710,0.397915
8715,0.397915
8780,0.397915
8961,0.397915
8981,0.397915
9014,0.397915
9025,0.397915
9029,0.397915
9220,0.397915
9255,0.397915
9263,0.397915
9302,0.397915
9449,0.397915
9461,0.397915
9468,0.397915
9525,0.397915
9538,0.397915
9653,0.397915
9779,0.397915
9896,0.397915
10074,0.397915
10125,0.397915
10257,0.397915
10308,0.397915
10569,0.397915
10616,0.397915
10715,0.397915
10876,0.397915
11029,0.397915
11364,0.397915
11431,0.397915
11683,0.397915
11768,0.397915
11834,0.397915
