Evaluations,Fitness
1,-1.910546
4,-2.279938
5,-3.236288
39,-3.269881
56,-3.755334
316,-3.787501
410,-3.802545
535,-3.837791
627,-3.840099
818,-3.849337
1009,-3.849644
1041,-3.852537
1208,-3.852657
1328,-3.857483
1539,-3.857541
1603,-3.859186
1699,-3.860464
1966,-3.860511
2000,-3.861619
2109,-3.861658
2120,-3.861759
2229,-3.861769
2233,-3.861781
2249,-3.861911
2286,-3.861923
2320,-3.861986
2509,-3.861987
2527,-3.861987
2565,-3.862015
2610,-3.862025
2651,-3.862029
2662,-3.862056
2728,-3.862068
2913,-3.862073
3025,-3.862373
3180,-3.862373
3266,-3.862415
3331,-3.862417
3380,-3.862436
3397,-3.862487
3414,-3.862487
3426,-3.862514
3456,-3.862536
3481,-3.862540
3499,-3.862550
3621,-3.862552
3623,-3.862572
3902,-3.862580
3905,-3.862580
4187,-3.862593
4204,-3.862594
4206,-3.862594
4380,-3.862595
4386,-3.862600
4407,-3.862613
4504,-3.862648
4606,-3.862648
4637,-3.862648
4854,-3.862677
4929,-3.862677
5035,-3.862680
5154,-3.862680
5183,-3.862680
5227,-3.862741
5341,-3.862741
5412,-3.862741
5452,-3.862743
5585,-3.862744
5615,-3.862745
5637,-3.862745
5866,-3.862745
5995,-3.862745
6118,-3.862746
6181,-3.862746
6252,-3.862746
6379,-3.862746
6480,-3.862746
6489,-3.862746
6711,-3.862746
6833,-3.862746
6899,-3.862781
7204,-3.862781
7210,-3.862781
7291,-3.862781
7305,-3.862781
7312,-3.862782
7437,-3.862782
7696,-3.862782
7738,-3.862782
7785,-3.862782
8054,-3.862782
8147,-3.862782
8243,-3.862782
8258,-3.862782
8330,-3.862782
8364,-3.862782
8368,-3.862782
8449,-3.862782
8489,-3.862782
8543,-3.862782
8606,-3.862782
8692,-3.862782
8733,-3.862782
8763,-3.862782
8831,-3.862782
9084,-3.862782
9114,-3.862782
9185,-3.862782
9222,-3.862782
9405,-3.862782
9449,-3.862782
9517,-3.862782
9553,-3.862782
9584,-3.862782
9621,-3.862782
9958,-3.862782
9998,-3.862782
10044,-3.862782
10079,-3.862782
10161,-3.862782
10244,-3.862782
10261,-3.862782
10470,-3.862782
10484,-3.862782
10595,-3.862782
10615,-3.862782
10646,-3.862782
10696,-3.862782
10813,-3.862782
11007,-3.862782
11027,-3.862782
11039,-3.862782
11201,-3.862782
11294,-3.862782
11403,-3.862782
11445,-3.862782
11483,-3.862782
11575,-3.862782
11647,-3.862782
11866,-3.862782
11888,-3.862782
11895,-3.862782
11907,-3.862782
11988,-3.862782
12038,-3.862782
12108,-3.862782
12319,-3.862782
12378,-3.862782
12441,-3.862782
12519,-3.862782
12576,-3.862782
12747,-3.862782
12768,-3.862782
12882,-3.862782
12958,-3.862782
13005,-3.862782
13033,-3.862782
13229,-3.862782
13536,-3.862782
13711,-3.862782
13812,-3.862782
13892,-3.862782
13897,-3.862782
13956,-3.862782
14006,-3.862782
14021,-3.862782
14211,-3.862782
14275,-3.862782
14317,-3.862782
14523,-3.862782
14637,-3.862782
14657,-3.862782
14753,-3.862782
