Evaluations,Fitness
1,1016.578659
11,972.798624
70,972.455108
72,970.967821
89,964.389377
93,959.820785
109,959.319876
113,948.279951
116,928.975570
124,921.631475
202,916.173426
205,801.421441
346,761.236869
751,753.707552
760,750.921060
812,695.289083
981,679.333492
1052,660.837311
1295,657.899958
1325,627.322496
1439,561.189050
1449,557.348918
1823,552.519751
1884,547.647388
1944,482.676309
2259,473.066230
2326,462.173563
2396,425.097949
2506,389.133350
2826,375.075891
2912,371.941334
3111,371.280484
3135,361.882553
3233,360.354722
3387,352.290986
3472,343.166450
3525,339.356258
3622,337.709287
3784,330.285797
3914,327.184228
3959,317.646947
3975,316.825068
4041,310.202102
4101,280.665884
4480,263.775213
4570,258.737018
4954,258.655843
5051,255.916822
5268,249.158884
5645,218.950075
5979,217.964191
5984,216.157267
6338,197.872436
6803,195.259128
7026,188.267086
7237,188.124770
7304,176.204161
7563,171.733702
7811,170.528036
7864,155.900467
7974,155.430942
8125,153.707686
8895,150.781034
8942,149.752778
9078,147.542968
9303,142.957401
10258,141.939180
10354,135.473509
10502,132.284148
11448,127.603113
12296,126.105098
13061,123.747005
14313,122.379317
14494,122.190450
14524,121.197113
14527,110.994967
14663,109.385061
