Evaluations,Fitness
1,1011977654.846398
2,923280152.508589
3,746424267.767135
10,741687544.110203
28,719116339.648433
46,644157072.192129
107,518455975.272000
245,448167571.369340
407,429442599.505300
418,421543683.486652
426,416470842.245859
456,385810415.157493
534,355035062.598879
584,354276277.035729
642,338630554.193216
651,322887974.242748
689,282143593.169415
701,276164260.849817
751,261589753.246133
822,243135341.095158
828,216466620.286364
881,206122112.760197
1018,191127936.900791
1120,184257154.602050
1137,163136110.841005
1162,139900670.886831
1367,139067454.482799
1384,134548303.050595
1401,129203565.613478
1405,125171267.301345
1427,116999913.743187
1504,112911960.981679
1614,96019613.546476
1622,95150301.476846
1719,72242498.967107
1850,71585588.864211
1920,67249853.930410
2142,65493182.835472
2194,65366437.483815
2217,59069189.752550
2258,58351966.946819
2265,53833494.327328
2310,53121769.301218
2323,49652238.927231
2443,49457132.846310
2479,47176034.465097
2490,40881365.037820
2525,40832927.107609
2600,38337201.146307
2643,37253833.326420
2773,35360146.416622
2787,34391968.002739
2895,33875958.792932
2906,33338754.903352
2921,29024914.038467
3014,28474914.242046
3069,28035707.995890
3197,24556610.286075
3307,23560328.388859
3404,23154774.473750
3418,22371313.300748
3423,21488529.751297
3511,21329706.659453
3518,20744437.377704
3521,19691036.410550
3579,19428321.587847
3604,16814293.617244
3704,15140074.539343
3810,14320636.927762
3898,13753021.577515
3992,13661648.538009
4010,13413817.902822
4049,13304802.369040
4083,13126228.425928
4160,12953566.551731
4172,9632222.625755
4388,9497258.903841
4396,9430754.129292
4422,9236770.843655
4514,9120139.826818
4515,7971683.235254
4523,7517977.022556
4606,7245500.245985
4702,6182184.659419
4960,6025061.651423
5072,5174088.461393
5114,5173708.673590
5191,4905094.743425
5286,4849396.530293
5418,4627583.939727
5510,4577142.626676
5620,4438849.467179
5623,4394004.045362
5725,4340088.843245
5727,4296493.023829
5760,4072058.176041
5834,3961298.416779
5835,3858819.346670
5911,3777957.661137
5977,3592047.592170
6017,3115816.622285
6046,3002198.499160
6239,2994707.613919
6296,2837229.624643
6329,2748306.116038
6377,2376452.856747
6525,2326058.364052
6594,2221519.117717
6607,2186900.694284
6651,2135283.390284
6702,2078677.536989
6873,1897041.270876
6908,1717543.275637
6988,1648887.296613
7110,1589282.437637
7157,1555282.379918
7161,1548967.300995
7209,1511282.165995
7334,1248728.690378
7492,1010732.761560
7637,1000759.726055
7781,956455.253204
7927,916835.396202
8180,882635.586165
8305,844700.983774
8422,815781.387297
8449,792458.166923
8478,729477.028952
8657,726531.508055
8827,542177.543483
9029,516705.240530
9250,511093.006809
9290,502476.869752
9461,495050.312700
9465,475128.586822
9562,414334.960695
9594,403252.169721
9818,397003.559598
9872,375901.428104
9910,358424.198305
10072,322667.846983
10464,297853.403392
10592,290633.777000
10603,282621.335595
10653,269956.602209
10806,267928.704202
10879,250968.139833
11049,241332.754628
11209,202392.487524
11406,200399.369591
11517,197285.859090
11526,196166.131415
11544,194192.083881
11642,185349.232292
11728,164495.258318
12056,163282.028271
12105,162934.086820
12135,144202.900544
12275,133379.626664
12322,115190.519753
12338,114820.290548
12440,111731.641626
12518,111585.152057
12548,102548.992173
12644,99459.022314
12697,99230.474063
12773,98707.093652
12923,98229.893640
12946,91100.313582
13004,86500.793844
13060,80068.184599
13166,79823.228777
13348,75676.962410
13378,64658.539111
13458,61501.969880
13716,58060.135167
13768,54943.206562
14086,53119.112924
14106,52717.813438
14380,52448.458223
14395,51695.577967
14443,46936.450774
14617,46886.378487
14632,42404.671421
14723,41728.789737
14964,34473.059174
