Evaluations,Fitness
1,219200.472785
2,209537.269349
4,200261.133494
5,189751.299512
7,177906.967301
9,172434.638002
18,159990.010537
33,151385.512435
122,146560.088512
126,142216.640972
140,135106.035491
209,121203.935310
331,119641.200617
334,104972.056548
668,101342.917552
676,92284.802551
731,87405.037395
831,84343.485404
949,77987.137087
1062,77081.418642
1105,64312.307349
1335,52296.565420
1504,48602.629545
1632,47355.397233
1696,42859.362959
1723,41603.605271
1803,41488.557811
1822,38579.855243
1857,37417.408053
1918,35509.614902
2004,35121.349554
2006,35059.498385
2030,29455.679211
2289,26170.134266
2400,25460.801691
2459,24454.384161
2512,24361.899390
2519,24345.915660
2531,23357.108024
2684,22114.660122
2754,21658.199063
2764,20247.660764
2946,18898.703518
3005,18541.833666
3061,17500.083027
3121,17376.574366
3138,17236.821166
3213,17073.656390
3227,16517.290922
3465,16190.072976
3472,16121.442616
3538,15649.220978
3554,15074.359786
3717,14850.003052
3731,14126.661734
3736,13879.066523
3801,13872.068180
3942,13499.961718
3984,13447.475482
4007,13365.142996
4017,12291.790418
4058,12124.895475
4086,11551.487879
4152,10949.561071
4312,10492.611794
4361,10373.587596
4406,9989.536649
4506,9816.847764
4565,9207.500793
4644,8776.722442
4739,8409.806453
4805,7947.286641
4871,7792.029063
5016,7161.212131
5144,7115.252441
5182,6848.291197
5231,6702.232723
5300,6605.619555
5329,6394.269465
5411,6378.833763
5416,5917.647817
5483,5469.922533
5540,5281.700378
5628,5164.632661
5746,5104.783212
5757,4673.997794
5830,4658.413647
5943,4549.777723
6021,4510.968893
6039,4377.174111
6081,3900.178043
6102,3736.296834
6249,3667.671202
6314,3524.421780
6412,3520.075543
6422,3477.022299
6437,3466.745731
6501,2986.758369
6506,2899.628746
6636,2772.382860
6819,2620.193165
6909,2323.992830
7196,2155.757563
7447,2056.500547
7759,1977.505507
7818,1865.225118
7965,1533.219089
8282,1464.944795
8380,1363.671198
8451,1354.643918
8517,1337.425479
8549,1285.757048
8615,1216.875543
8906,1085.372712
9241,1024.025478
9421,1015.456150
9708,1007.678535
9773,932.107151
9810,913.635117
9834,912.015973
9939,873.880955
9943,854.040366
9953,831.382587
10027,819.112804
10041,791.563782
10289,693.798562
10406,687.163686
10440,668.514924
10532,607.535071
11184,592.184707
11241,565.065073
11443,522.211239
11604,520.248544
11726,517.783990
11763,508.749282
11994,497.256210
12039,433.983342
12608,353.160455
13652,344.880002
14122,341.830264
14161,331.295431
14417,324.847565
14557,316.429916
14871,302.155334
