Evaluations,Fitness
1,592957
2,16050.3
3,789.861
7,34.6728
14,20.7607
182,8.36406
314,5.53945
478,4.74862
523,4.68282
578,4.28895
586,3.55919
791,3.42706
845,3.39455
902,3.38548
1154,3.08904
1246,3.08255
1351,3.07368
1444,3.07355
1488,3.0462
1522,3.0462
1605,3.04616
1723,3.04585
1814,3.04098
2152,3.04098
2203,3.04085
2347,3.04082
2407,3.0408
2415,3.02935
2450,3.0182
2603,3.01737
2691,3.00719
2748,3.00717
2825,3.00709
2907,3.00707
3082,3.00703
3298,3.00688
3350,3.00679
3398,3.0067
3549,3.00184
3618,3.0018
3714,3.00178
3863,3.00177
4073,3.00175
4112,3.00175
4130,3.00175
4236,3.00175
4240,3.00174
4303,3.00174
4334,3.00174
4355,3.00174
4654,3.00174
4683,3.00174
4713,3.00174
4733,3.00174
4755,3.00174
4839,3.00174
4885,3.00174
5036,3.00174
5046,3.00174
5052,3.00018
5241,3.00018
5353,3.00018
5571,3.00018
5669,3.00018
5750,3.00018
5783,3.00018
5857,3.00018
5923,3.00018
5987,3.00018
5992,3.00018
6029,3.00018
6042,3.00018
6106,3.00018
6197,3.00018
6238,3.00018
6322,3.00018
6339,3.00018
6360,3.00018
6412,3.00018
6550,3.00018
6560,3.00018
6606,3.00018
6744,3.00018
6818,3.00018
6879,3.00018
7246,3.00018
7263,3.00018
7315,3.00018
7341,3.00018
7541,3.00018
7641,3.00018
7761,3.00018
7902,3.00018
7908,3.00018
7969,3.00018
8109,3.00018
8234,3.00018
8243,3.00002
8421,3.00002
8527,3.00002
8654,3.00002
8820,3.00002
8946,3.00002
9002,3.00002
9022,3.00002
9220,3.00002
9324,3.00002
9464,3.00001
9504,3.00001
9923,3.00001
9998,3.00001
10277,3.00001
10438,3.00001
10495,3.00001
10550,3.00001
10688,3.00001
10870,3.00001
10946,3.00001
11075,3.00001
11166,3.00001
11172,3.00001
11238,3.00001
11492,3.00001
11609,3.00001
11704,3.00001
11739,3.00001
11917,3.00001
11967,3.00001
12001,3.00001
12131,3.00001
12301,3.00001
12325,3.00001
12463,3.00001
12639,3.00001
12986,3.00001
13347,3.00001
13349,3.00001
