Evaluations,Fitness
1,2490.09
43,2372.53
51,2307.7
55,2295.04
78,1445.28
356,1428.06
385,1348.26
439,1346.86
501,1317.18
538,1286.17
553,1286.1
602,1265.35
643,1234.65
680,1225.91
745,1165.97
767,1143.96
818,1058.67
877,1037.48
973,993.697
1040,966.312
1049,957.571
1158,874.123
1186,853.809
1210,852.432
1223,838.802
1271,836.421
1278,828.239
1286,825.159
1298,818.615
1304,811.995
1306,772.83
1401,753.624
1404,747.873
1409,734.564
1452,702.927
1513,699.839
1521,672.68
1618,630.345
1708,599.897
1829,587.527
1881,586.993
1928,576.536
1991,561.939
2004,529.442
2047,517.258
2117,497.032
2239,480.85
2272,469.773
2347,463.118
2376,462.558
2408,462.455
2452,453.706
2462,453.455
2508,440.202
2516,426.127
2608,421.843
2609,419.603
2641,419.398
2702,409.732
2710,405.867
2774,405.079
2793,386.431
2886,380.461
2962,379.987
3001,374.314
3011,372.025
3018,351.405
3078,347.139
3108,347.065
3162,339.473
3178,336.784
3235,332.642
3255,327.613
3288,327.542
3340,318.728
3364,307.326
3456,292.071
3541,288.008
3582,281.81
3622,270.856
3644,264.748
3714,239.685
3837,236.866
3844,225.686
4022,219.097
4047,216.379
4103,210.301
4214,209.77
4216,206.263
4263,200.836
4410,200.113
4421,199.523
4455,195.218
4458,187.082
4529,178.089
4633,174.69
4693,172.682
4732,169.394
4751,166.707
4761,154.969
5006,152.624
5061,151.315
5109,150.817
5141,145.987
5230,145.232
5242,138.704
5246,134.06
5362,132.768
5422,131.761
5448,130.661
5504,126.681
5542,125.372
5612,123.009
5621,118.869
5715,112.008
5802,107.765
5967,105.624
5992,104.182
6008,103.199
6016,103.085
6017,102.725
6038,100.857
6126,98.9011
6162,95.3179
6209,89.5408
6328,84.8643
6405,83.8739
6510,83.6589
6572,82.6458
6621,82.223
6633,81.2788
6676,78.0107
6690,77.2192
6701,77.0558
6723,76.2286
6772,75.3295
6803,66.6311
6924,66.2245
7028,63.0961
7222,62.6681
7249,62.2719
7290,62.0344
7309,60.0348
7348,56.1052
7438,54.0681
7458,52.1718
7568,51.5082
7601,50.1275
7607,49.6123
7775,48.4646
7811,47.9418
7847,47.8491
7853,47.3911
7878,44.6912
7911,42.9845
8001,42.7943
8023,39.3596
8166,39.1044
8210,37.6249
8238,35.7479
8440,34.6584
8467,33.4774
8557,33.4425
8602,33.1632
8626,33.0312
8640,32.0662
8706,31.7129
8714,31.021
8722,30.6072
8809,29.5296
8835,29.4929
8917,29.0937
8919,28.0057
8961,26.9521
9015,26.2812
9085,25.5445
9188,25.3978
9229,24.8378
9263,23.5009
9337,22.5784
9530,22.2903
9584,21.9925
9612,21.4999
9641,21.3372
9679,20.5308
9709,20.335
9722,19.9317
9813,19.7975
9833,19.7627
9911,19.445
9968,18.9112
10040,16.9411
10205,16.7275
10297,16.7074
10328,16.1577
10356,15.8556
10403,15.4579
10417,15.1079
10446,14.8852
10498,14.7424
10557,14.2982
10684,14.1921
10699,13.5648
10895,13.5444
10903,13.3142
10921,12.7796
11080,12.7086
11128,12.5213
11135,12.2035
11259,12.111
11285,11.906
11347,11.522
11423,11.2098
11466,10.8371
11558,10.7452
11575,10.7103
11621,10.4374
11645,10.3784
11715,10.0374
11766,9.98346
11792,9.92022
11829,9.91679
11835,9.87658
11839,9.01403
11977,9.00083
12059,8.77491
12134,8.75582
12177,8.54035
12202,7.73611
12374,7.57325
12456,7.00829
12606,6.87167
12721,6.79947
12783,6.66141
12788,6.47466
12833,6.45217
12857,6.43968
12902,6.36206
12928,6.18052
13029,6.15986
13103,6.12599
13119,5.77957
13240,5.71152
13305,5.53551
13390,5.50661
13403,5.1158
13603,5.09034
13620,4.86552
13657,4.6411
13883,4.56089
13934,4.55924
13943,4.28242
14050,4.25317
14104,4.16333
14208,4.0656
14327,3.71647
14446,3.67422
14528,3.4683
14640,3.46777
14718,3.45129
14728,3.29202
14959,3.22415
14993,3.10564
