Evaluations,Fitness
1,1483.793792
4,1378.172739
5,1190.556517
29,1147.931695
136,1126.139431
160,1090.186439
262,1086.563870
271,1034.947565
350,1002.244965
352,982.387418
416,966.944907
442,861.751807
649,854.148216
657,835.704970
698,767.561474
758,683.804566
893,682.549965
1005,640.231171
1031,625.717979
1124,619.614694
1311,611.294760
1327,584.110644
1422,571.152324
1435,569.957217
1506,565.746481
1546,555.913664
1603,555.456656
1606,541.117124
1679,519.040578
1690,507.178020
1767,473.742632
1917,458.760208
1932,441.710302
1993,438.553731
2043,425.092323
2183,415.079485
2217,411.491230
2227,411.083698
2235,399.627947
2336,384.235228
2372,375.200466
2512,360.527206
2516,342.910014
2668,341.154358
2698,339.799582
2703,316.112223
2775,315.072232
2856,309.231483
2928,298.996519
2937,293.777789
3008,267.419306
3143,266.918764
3301,258.389936
3305,253.779048
3385,250.598907
3498,246.337626
3541,238.915518
3544,234.018821
3594,229.875324
3619,228.145490
3625,224.026873
3773,221.700582
3824,220.437498
3846,209.152961
3902,204.669058
3969,203.516511
3984,203.174378
4114,201.823532
4171,185.562680
4281,184.732633
4431,177.610048
4509,167.686173
4673,164.059563
4807,161.926510
4834,159.198293
4956,154.246448
5136,145.918516
5142,144.067936
5520,142.874103
5548,139.415927
5588,139.115146
5634,138.567511
5653,137.822295
5675,137.595131
5831,134.084514
5893,133.262775
5919,132.938348
5946,132.405823
6003,132.361267
6034,132.117607
6074,124.850654
6108,124.102920
6344,122.755494
6402,121.032590
6551,119.387317
6604,116.442518
6747,115.412165
6859,114.984265
7023,110.344603
7274,107.518781
7474,105.938405
7491,105.536357
7575,104.188314
7594,103.262305
7806,100.167057
8023,100.072462
8060,99.818349
8108,97.562727
8348,96.220994
8366,96.164670
8372,94.081206
8657,92.438657
8670,90.920618
8782,90.673448
8825,89.945962
8966,89.852349
9069,89.352806
9122,87.310920
9303,86.969854
9341,86.810123
9442,86.650877
9503,86.602903
9526,86.201629
9589,86.147896
9596,85.794543
9624,85.358461
9685,84.997405
9855,83.694608
9900,83.581631
9915,83.474983
10105,83.400157
10166,81.988346
10530,81.171207
10708,81.038798
10734,80.929204
10749,80.728319
10867,80.627849
10874,80.347263
10901,80.251411
11002,79.869221
11064,78.713696
11088,78.061126
11351,77.292496
11491,75.140588
11526,74.644498
11640,74.376119
11817,74.290945
11922,74.075245
12009,73.646966
12132,73.285523
12381,72.798516
12419,72.520033
12501,72.035458
12771,71.914988
12899,71.904400
12911,71.308676
12932,70.181408
13204,69.956927
13228,69.448094
13404,69.199392
13440,68.328628
13467,68.050917
13602,66.674626
13714,66.626232
13829,66.084523
14026,66.047529
14109,65.950098
14118,65.265385
14267,65.203477
14459,64.848781
14701,64.531602
14802,64.453113
14840,64.381019
14898,64.360044
14981,64.197130
