Evaluations,Fitness
1,1134758518.949612
2,675377940.747529
24,668387224.335074
31,647912324.145465
33,490043482.668459
125,470184441.680526
147,446208918.191429
277,413207546.210651
340,410356936.645506
345,305216090.338863
580,300744079.831502
583,293032737.572639
601,257889400.405190
646,225650691.116960
737,220170039.156520
776,199313408.219515
790,184544874.324150
850,155486061.742469
923,144795040.768520
952,135526559.283656
1045,117317688.097763
1123,109283190.088667
1206,94375538.897126
1365,80142615.862624
1393,71472760.026215
1405,67125254.104872
1496,60401690.256276
1611,57575408.080432
1632,52907915.018289
1714,50423623.751765
1726,45432364.648872
1804,43465686.266933
1813,39932044.996311
1860,34383630.621883
1906,32154324.690343
2028,30330240.425191
2158,28161037.899746
2224,24597089.330508
2360,24404441.572745
2388,21987356.193080
2461,20447571.366442
2517,19387011.857682
2586,19368502.135834
2603,17945545.315507
2663,17377822.321781
2769,16568734.958893
2811,16542199.767282
2821,15876395.966706
2840,15179497.550676
2892,14484757.898905
2918,14163711.725596
2963,13957026.994908
3044,13440721.786768
3045,11131185.624920
3244,10277734.309377
3337,9933728.256042
3433,9156171.077222
3494,8356991.648751
3510,7622026.879197
3712,7280191.844752
3731,7208595.118310
3836,6961055.634879
3853,6347888.816744
3944,6232388.965307
3987,6096629.109537
3997,5459926.153867
4104,5100655.566570
4204,5031292.275588
4220,4773101.800876
4252,4288937.295332
4344,4234157.293410
4353,3715426.834641
4505,3643475.442638
4520,3385905.649381
4638,3292091.538135
4703,3279245.557940
4708,2904798.638625
4759,2904372.092375
4802,2835405.543620
4874,2764688.601690
4880,2606956.927070
4922,2585719.705323
4966,2519144.214907
5018,2465152.487691
5117,2372356.305096
5119,2062002.058319
5184,2021586.471127
5211,1991570.109528
5238,1983810.550447
5278,1963769.669273
5321,1873784.270312
5325,1764284.660036
5426,1599650.001763
5517,1498226.501161
5569,1441249.621881
5647,1438200.849181
5742,1340394.183871
5813,1313617.104800
5852,1309480.213602
5931,1257732.105995
5961,1154178.731527
6005,1140727.977062
6102,1139050.101809
6106,1014967.646574
6245,964349.748410
6323,942714.927635
6338,873793.727874
6370,851861.296367
6405,795705.817887
6561,771973.671984
6574,714797.651313
6709,701643.162060
6745,642928.339988
6862,632976.607501
6970,615205.660686
7005,585463.380947
7010,521077.493230
7140,510223.681604
7184,484937.540495
7335,476501.561036
7364,442364.510645
7430,434106.005581
7468,418824.325817
7518,378349.116396
7690,368316.409698
7756,363819.208630
7812,320581.233261
7882,302497.823792
7920,252497.576990
8218,233373.133324
8309,222101.552933
8359,209844.689872
8402,192240.331307
8506,170719.408885
8547,146588.071913
8641,145410.347500
8775,129637.869371
8846,128116.891968
8924,123542.395622
8952,115338.919980
9079,114654.984177
9088,107214.265734
9106,105627.920223
9119,104199.875835
9135,88666.592979
9251,86146.751686
9291,84315.379804
9356,80381.248927
9360,72981.177140
9449,68542.499923
9492,58858.885165
9690,55828.871878
9764,52945.380529
9876,50846.845893
10045,44538.523949
10100,42504.860627
10225,39676.540129
10391,38941.165290
10413,38596.731631
10427,38135.219688
10514,36396.190239
10548,35634.473020
10608,32765.052419
10685,30022.191946
10721,29468.999542
10821,26316.730552
10890,25218.656504
10914,23805.115407
11046,22236.368152
11235,18548.378630
11478,18474.686988
11514,14628.179666
11845,14623.421467
11852,14454.276523
11932,13856.182476
11956,13456.330017
12066,13369.106940
12103,13086.207731
12140,13047.927283
12169,12837.931033
12227,12657.440271
12323,12390.620758
12344,11856.703542
12358,11274.202358
12427,11118.778690
12536,10204.647559
12671,9443.474678
12730,9227.139373
12875,8937.059219
12915,8768.423419
13042,8560.647709
13068,8361.410743
13115,8006.580517
13193,7964.789645
13197,7789.393059
13219,7626.883221
13303,7338.585891
13431,6814.616429
13560,6801.465540
13637,6583.684418
13706,6510.338681
13751,6421.572537
13803,6379.478773
13834,6316.626003
13967,6280.395256
13986,6269.645742
14020,6001.875700
14077,5804.397149
14308,5603.402917
14409,5596.660385
14422,5526.962297
14519,5244.195533
14588,5201.579486
14609,4680.482603
