Evaluations,Fitness
1,500
2,499.937
3,499.457
5,496.493
9,491.051
10,212.956
30,132.474
60,19.2462
203,13.1339
401,11.6471
430,7.74092
494,5.65433
577,5.55498
579,5.2062
637,4.95919
684,1.80788
862,1.3955
942,1.01423
1019,0.998004
1271,0.998004
1375,0.998004
1604,0.998004
1616,0.998004
1883,0.998004
2069,0.998004
2192,0.998004
2299,0.998004
2445,0.998004
2573,0.998004
2575,0.998004
2644,0.998004
2704,0.998004
3053,0.998004
3088,0.998004
3146,0.998004
3170,0.998004
3185,0.998004
3429,0.998004
3572,0.998004
4171,0.998004
