Evaluations,Fitness
1,1294.87
61,1254.8
64,1243.66
210,1223.79
213,1168.34
217,1102.67
349,1097.24
351,1096.75
354,1037.14
536,968.575
603,943.453
630,934.207
710,891.083
809,886.585
828,859.593
843,842.668
950,797.388
966,791.3
977,714.033
1045,710.226
1203,700.061
1249,668.946
1265,648.383
1418,631.623
1422,563.4
1665,553.684
1711,548.091
1723,518.032
1805,481.873
1935,473.409
2022,449.853
2030,446.036
2135,426.512
2144,422.747
2256,386.976
2340,374.753
2442,363.506
2552,363.083
2563,349.668
2625,344.164
2705,329.624
2772,320.662
2801,320.517
2831,311.037
2908,289.865
2975,275.523
3136,275.428
3226,264.233
3348,261.098
3366,254.974
3443,240.006
3525,236.258
3581,230.649
3606,218.73
3629,204.782
3994,190.365
4025,179.654
4206,172.612
4367,172.12
4427,170.111
4439,160.796
4518,160.43
4543,153.275
4743,152.032
4814,149.601
4826,147.198
4855,141.298
4927,141.282
5006,140.127
5025,135.061
5198,134.668
5306,130.905
5357,127.733
5507,126.176
5521,124.853
5538,124.695
5565,124.199
5624,122.209
5644,121.666
5758,120.476
5790,119.054
5827,113.983
5883,113.054
6046,110.312
6246,108.141
6326,107.798
6343,106.476
6409,104.344
6514,99.8085
6627,95.6807
6802,94.1759
6909,90.7647
7053,90.1517
7334,90.0156
7356,88.5522
7365,88.0438
7426,85.9001
7531,85.5285
7673,85.0677
7759,84.9254
7801,82.9479
7864,82.771
7927,81.7111
8174,81.1955
8201,79.8918
8276,79.1571
8384,76.889
8436,74.8086
8549,74.7789
8777,74.3049
8836,73.2742
8863,71.6591
8940,71.3963
8989,66.4596
9463,65.0037
9556,61.5831
9842,60.9063
9914,60.7739
9995,60.4549
10102,59.8028
10341,59.1835
10393,57.9795
10609,56.0904
11014,55.3428
11202,54.8792
11213,54.5276
11299,53.8495
11403,53.8322
11443,53.7433
11464,51.855
11719,51.8083
11779,50.7328
12081,50.2436
12103,49.5747
12411,49.1837
12542,48.798
12555,48.1127
12607,47.1979
12781,46.6113
13068,46.141
13300,46.0818
13423,46.0456
13428,45.8219
13734,45.4208
13791,44.781
14095,44.722
14353,44.2659
14694,44.2104
14768,44.1592
14793,44.0978
14830,43.8914
14909,43.4307
