Evaluations,Fitness
1,1.55471e+10
2,1.78742e+09
4,9.30822e+08
69,7.36691e+08
125,5.41101e+08
182,4.65452e+08
286,4.63422e+08
311,3.23541e+08
447,3.1419e+08
513,3.0529e+08
711,2.6241e+08
784,2.41942e+08
899,2.03403e+08
1258,1.77498e+08
1567,1.70284e+08
1592,1.67321e+08
2027,1.67248e+08
2076,1.66427e+08
2114,1.664e+08
2117,1.6209e+08
2243,1.60594e+08
2251,1.54767e+08
2281,1.52083e+08
2282,1.21626e+08
2514,1.19881e+08
2757,1.19586e+08
2862,1.19583e+08
2907,1.19237e+08
2973,1.19077e+08
3039,1.18907e+08
3128,1.182e+08
3206,1.17664e+08
3275,1.17608e+08
3290,1.15828e+08
3461,1.14354e+08
3563,1.14298e+08
3602,1.14052e+08
3659,1.13372e+08
3690,1.13255e+08
3704,1.11778e+08
3751,1.11092e+08
3819,1.11042e+08
3867,1.09278e+08
3900,1.0841e+08
4018,1.07957e+08
4047,1.07857e+08
4134,1.06738e+08
4214,1.06567e+08
4267,1.03927e+08
4393,1.02318e+08
4594,1.02142e+08
4666,1.01905e+08
4686,1.01591e+08
4719,1.00228e+08
4881,9.74733e+07
4892,9.73839e+07
4927,9.71634e+07
4963,9.70017e+07
5023,9.62475e+07
5124,9.54783e+07
5162,9.49358e+07
5220,9.35992e+07
5404,9.27991e+07
5501,9.12366e+07
5521,9.0487e+07
5639,9.02887e+07
5688,9.02696e+07
5705,8.8278e+07
5827,8.70238e+07
5850,8.67e+07
5984,8.39292e+07
6081,8.34378e+07
6324,8.33669e+07
6342,8.11838e+07
6454,8.11429e+07
6570,8.08994e+07
6612,8.01887e+07
6637,7.98231e+07
6806,7.9767e+07
6861,7.95643e+07
6977,7.95318e+07
6984,7.89683e+07
7057,7.76925e+07
7120,7.75296e+07
7124,7.72285e+07
7129,7.6998e+07
7211,7.66366e+07
7249,7.65232e+07
7346,7.60592e+07
7416,7.55378e+07
7449,7.53459e+07
7478,7.43264e+07
7552,7.34316e+07
7579,7.32867e+07
7621,7.19729e+07
7685,7.17255e+07
7779,7.15883e+07
7780,7.13916e+07
7815,7.11973e+07
7838,7.09871e+07
7981,6.95062e+07
8031,6.89573e+07
8118,6.74517e+07
8224,6.68603e+07
8456,6.66422e+07
8511,6.65575e+07
8521,6.60658e+07
8547,6.55893e+07
8604,6.5346e+07
8649,6.45494e+07
8823,6.43772e+07
8873,6.38608e+07
8884,6.26734e+07
9044,6.25832e+07
9125,6.13151e+07
9237,6.09004e+07
9255,6.08345e+07
9380,5.95659e+07
9561,5.93321e+07
9593,5.91215e+07
9669,5.84171e+07
9757,5.82734e+07
9841,5.80922e+07
9915,5.67647e+07
10160,5.6742e+07
10216,5.59864e+07
10265,5.5536e+07
10385,5.52515e+07
10493,5.46103e+07
10687,5.43904e+07
10713,5.43903e+07
10804,5.41392e+07
10902,5.37226e+07
11067,5.28121e+07
11112,5.25528e+07
11277,5.24096e+07
11374,5.13868e+07
11628,5.12357e+07
11678,5.12158e+07
11698,5.07472e+07
11753,5.05468e+07
11817,5.0401e+07
11901,4.95044e+07
11976,4.8558e+07
12231,4.68642e+07
12523,4.58845e+07
13075,4.57088e+07
13160,4.54666e+07
13237,4.50161e+07
13319,4.47962e+07
13410,4.47347e+07
13429,4.43299e+07
13578,4.4061e+07
13775,4.38134e+07
13937,4.3638e+07
13989,4.34285e+07
14105,4.33897e+07
14142,4.33031e+07
14182,4.22294e+07
14239,4.22195e+07
14411,4.21447e+07
14488,4.06265e+07
14675,4.04836e+07
14934,4.03958e+07
14955,4.03746e+07
