Evaluations,Fitness
1,193425
6,188542
7,186388
8,185325
10,172509
11,161703
52,150737
83,150164
210,150151
212,136727
312,127737
381,126475
407,101604
555,96548.4
672,96041.3
701,95683.2
708,91331.6
723,83705.5
802,79182.9
836,71116.4
925,67600.4
952,59364
1017,56416.5
1116,56014
1133,53243
1219,52752.6
1237,49194.4
1243,47727
1314,45955.3
1319,44545.2
1411,40269.8
1433,39971.3
1463,38570.4
1509,35496.9
1558,34286.6
1656,33484.5
1696,32161.4
1766,32093.7
1808,31894.7
1811,31691.2
1825,31546.8
1847,30577
1851,29267.9
1901,24830.6
1973,24530.3
2029,24520.4
2034,24228.5
2056,23009.8
2067,18375.4
2310,17945.7
2369,17105.3
2377,17080.8
2402,16940.1
2431,15447.5
2512,14418.4
2674,13753.1
2679,12781.6
2707,12132.4
2734,11945.3
2856,11791.9
2908,11579.9
2955,11488.9
2969,11408.5
3004,11329.3
3006,11210.2
3025,10459.3
3120,10111.2
3130,9867.09
3131,9709.97
3192,9705.19
3210,9493.24
3293,9467.4
3302,9032.01
3343,8735.76
3427,8569.47
3530,7207.66
3621,6664.42
3828,6636.34
3884,6615.16
3914,6519.84
4003,6116
4019,5982
4102,5974.41
4144,5915.08
4196,5786.77
4226,5733.16
4242,5541.31
4322,5403.48
4347,5299.05
4420,5287.95
4431,5217.15
4441,4974.27
4523,4700.73
4554,4693.47
4603,4688.33
4610,4520.28
4699,4384.46
4736,3983.29
4906,3980.1
4919,3978.38
4938,3876.99
4978,3733.22
5012,3598.51
5112,3386.41
5221,3173.53
5285,3003.65
5351,2914.53
5515,2705.95
5575,2625.18
5651,2492.4
5747,2405.26
5823,2394.88
5861,2293.82
6001,2062.03
6134,1996.49
6203,1971.79
6216,1946.1
6228,1941
6259,1919.14
6307,1789.62
6319,1753.66
6385,1728.36
6437,1641.38
6447,1603.35
6501,1471.02
6553,1463.69
6697,1461.69
6711,1454.25
6715,1289.74
6759,1223
6810,1167.63
6951,1148.17
6986,1131.93
7122,997.584
7206,985.883
7254,983.941
7311,944.613
7338,913.774
7403,874.361
7450,858.425
7488,854.673
7502,839.179
7545,747.36
7795,698.535
7817,691.269
7871,687.006
8001,671.339
8044,523.992
8259,511.661
8330,494.532
8480,479.875
8510,478.221
8519,425.455
8720,371.792
8815,365.677
8827,359.199
8849,351.771
8912,349.871
9037,336.547
9048,326.058
9055,309.734
9128,296.873
9253,294.156
9261,292.859
9265,292.536
9285,291.836
9305,250.572
9662,225.877
9758,222.757
9833,217.147
9982,214.872
10015,212.312
10053,208.685
10116,190.817
10277,184.115
10347,156.294
10506,154.814
10634,149.907
10707,140.86
10728,116.414
11014,110.679
11113,103.306
11302,99.6603
11502,96.8254
11538,94.4961
11736,93.0561
11806,86.8677
11991,85.8964
12015,83.4634
12043,81.4874
12046,76.4933
12125,76.488
12213,68.0626
12356,63.5862
12535,60.7794
12749,55.1253
12985,52.2043
13234,48.9326
13328,47.7253
13471,44.9808
13689,43.0983
13715,41.5721
13727,41.3578
14030,41.2558
14089,41.1282
14130,40.5986
14182,40.3178
14221,39.7797
14364,39.6279
14401,39.0924
14407,36.4306
14463,33.4782
14657,30.1028
