Evaluations,Fitness
1,252466386.47107258
2,219969223.89673224
5,204197530.01311803
9,180018125.9298535
44,155561013.59320933
51,151345862.8723197
55,147980367.96899056
133,146004473.46923077
209,140760324.5332746
221,127524838.55047005
308,124940945.93016654
401,116460632.59446782
406,110575958.48570368
432,94206864.82859679
521,88218950.84780702
620,82539240.07751961
658,76126531.69633149
740,73438624.89002906
793,70578912.43950601
809,66928338.97985805
842,51877533.967337884
1003,48262870.291236706
1072,47538977.754462115
1079,46855623.968381755
1112,44282668.60643711
1119,29976024.550605226
1377,29211618.345301762
1404,28575912.257102393
1467,25579445.58735128
1512,25112533.039271727
1531,23273221.992855504
1706,20659500.022562213
1740,19562632.404164616
1808,18944482.07495258
1875,17702622.116915777
2005,14533455.17272125
2201,13434300.585434502
2210,12960256.154239556
2316,10557555.856557647
2604,9392741.00091253
2621,9302847.975957435
2705,8681331.366639532
2915,8271191.944910593
3044,7970819.188594713
3121,7893506.975561086
3141,7682105.88562098
3167,7515853.741309219
3226,7291149.588508461
3252,7056694.218986621
3403,7023344.009255271
3419,6963073.00648823
3434,6945081.446890936
3436,6776861.682104264
3457,6742287.462525097
3507,6672019.526303507
3522,6636793.6631433945
3546,6355814.64745661
3614,6340226.021035731
3640,5805792.374233202
3769,5775309.04260752
3786,5681338.472184488
3846,5665526.250484131
3906,5616090.671756898
4008,5566722.993604248
4019,5535269.199672986
4047,5508577.727546134
4066,5428965.9579570005
4114,5340129.338320051
4153,5325527.770408334
4162,5241796.698452623
4211,5180900.543473057
4212,5157003.529809471
4218,5148094.534810691
4275,5078891.914555762
4329,5023803.261996105
4375,5019753.10101696
4414,4895180.7118456755
4483,4868470.044563915
4516,4816394.608310979
4551,4722252.748924808
4605,4697124.356197561
4632,4664056.426562452
4705,4652996.837914183
4711,4647359.555634352
4725,4582888.760321508
4838,4577654.477635598
4853,4409760.203269457
5005,4341339.545825521
5108,4294357.501870939
5136,4207951.626673786
5236,4189770.6674900213
5327,4111013.7419180446
5518,4105942.248775328
5526,4096533.684972762
5538,4032908.076578568
5618,3981842.9896488464
5703,3969673.133856572
5709,3966583.672057635
5774,3936706.9352732855
5801,3916087.958953992
5884,3915176.994069297
5905,3888786.1423530257
5938,3884799.0712273535
5949,3875428.374030863
5961,3852204.4311422985
5974,3848891.4228298343
6036,3838435.6619141703
6039,3823183.347833103
6117,3794474.7949810578
6125,3756894.961697076
6191,3751898.803730316
6201,3744525.2909371704
6216,3742434.4501207503
6226,3738922.1901561874
6232,3728320.1818493125
6287,3724358.963203893
6305,3706829.1018307838
6343,3691424.5164011917
6374,3679679.728238634
6403,3662938.594993771
6430,3306779.9386165286
6514,3181120.651838962
6662,3133089.416877211
6719,3126485.4393981346
6841,3105074.036263632
6906,3041975.095152324
7071,3036470.736255639
7079,3010923.5412242943
7140,2996553.047398804
7156,2973061.9601031044
7170,2953376.849501185
7286,2945113.8263110328
7303,2585171.779103769
7511,2552035.8001773935
7645,2539609.714818874
7720,2525665.177313515
7762,2521513.1124742054
7782,2501013.9522697935
7883,2496748.9482314484
8036,2490768.256762454
8066,2480081.7998180497
8110,2473189.5831079953
8226,2472447.383673479
8250,2463009.6031587417
8324,2461944.164264645
8363,2461701.4020340703
8438,2457054.475950359
8444,2455801.5945428293
8458,2455606.6049596583
8509,2455325.269278394
8518,2454690.356315785
8545,2453643.0776042715
8604,2449573.648776166
8609,2446404.058432214
8690,2446110.1414510654
8710,2445115.406915556
8711,2444897.800948031
8736,2436758.128637385
8835,2433085.491904334
8890,2226194.6631403198
8923,2203642.1795528047
9019,2183945.6760401567
9178,2182798.264176231
9255,2159425.775672817
9303,2130516.3628154914
9392,2119110.9708683654
9472,2117259.689875483
9536,2108748.1141946213
9674,2057194.363160584
9719,1969716.3701696973
9827,1959957.8876939062
9865,1950766.7983096603
9916,1947593.3132807917
9923,1947290.8172686996
10007,1943988.9220280237
10014,1940598.3672598395
10044,1939478.7966082708
10115,1938054.7537300757
10125,1937146.6449925848
10179,1929532.3130147832
10277,1925580.0996540033
10389,1924473.6198363008
10417,1919500.1623976834
10434,1914321.0357791872
