Evaluations,Fitness
1,[456.31060897]
3,[22.61754919]
113,[15.96315723]
137,[7.38612394]
272,[6.90599267]
325,[6.4732626]
349,[5.93475493]
450,[5.92912441]
560,[5.75741298]
623,[4.16933992]
674,[3.02720109]
710,[2.01178986]
713,[2.00924211]
809,[1.20070625]
877,[0.99891916]
1097,[0.99875499]
1171,[0.99848185]
1188,[0.99848162]
1314,[0.99843231]
1408,[0.99842923]
1414,[0.99828862]
1513,[0.99824583]
1584,[0.99812707]
1644,[0.99807505]
1748,[0.99805234]
1948,[0.99805118]
1949,[0.9980493]
2016,[0.99802876]
2190,[0.9980286]
2203,[0.99802804]
2332,[0.99802002]
2382,[0.9980188]
2417,[0.99801108]
2522,[0.99801033]
2592,[0.99801014]
2602,[0.99800994]
2613,[0.99800926]
2618,[0.99800885]
2756,[0.99800872]
2819,[0.99800709]
2850,[0.99800633]
2908,[0.99800629]
2958,[0.99800534]
3004,[0.99800498]
3054,[0.99800494]
3127,[0.99800489]
3139,[0.99800483]
3161,[0.99800475]
3177,[0.99800465]
3221,[0.99800437]
3406,[0.99800427]
3475,[0.99800423]
3480,[0.99800416]
3584,[0.99800405]
3646,[0.99800405]
3656,[0.99800402]
3702,[0.99800399]
3792,[0.99800398]
3801,[0.9980039]
3959,[0.9980039]
4061,[0.99800389]
4080,[0.99800389]
4107,[0.99800389]
4220,[0.99800389]
4233,[0.99800388]
4322,[0.99800387]
4372,[0.99800387]
4447,[0.99800386]
4595,[0.99800385]
4700,[0.99800385]
4740,[0.99800385]
4762,[0.99800385]
4810,[0.99800385]
4819,[0.99800384]
4979,[0.99800384]
5078,[0.99800384]
5109,[0.99800384]
5244,[0.99800384]
5294,[0.99800384]
5315,[0.99800384]
5331,[0.99800384]
5422,[0.99800384]
5463,[0.99800384]
5510,[0.99800384]
5518,[0.99800384]
5525,[0.99800384]
5547,[0.99800384]
5770,[0.99800384]
5815,[0.99800384]
5867,[0.99800384]
5988,[0.99800384]
6197,[0.99800384]
6254,[0.99800384]
6303,[0.99800384]
6335,[0.99800384]
6524,[0.99800384]
6562,[0.99800384]
6627,[0.99800384]
6709,[0.99800384]
6912,[0.99800384]
6918,[0.99800384]
6976,[0.99800384]
7097,[0.99800384]
7160,[0.99800384]
7208,[0.99800384]
7212,[0.99800384]
7236,[0.99800384]
7313,[0.99800384]
7402,[0.99800384]
7422,[0.99800384]
7486,[0.99800384]
7508,[0.99800384]
7512,[0.99800384]
7607,[0.99800384]
7626,[0.99800384]
7702,[0.99800384]
7830,[0.99800384]
7865,[0.99800384]
8038,[0.99800384]
8283,[0.99800384]
8339,[0.99800384]
8891,[0.99800384]
