Evaluations,Fitness
1,2.11295746e+01
4,2.09049380e+01
11,2.08107177e+01
34,2.07947692e+01
35,2.07308007e+01
36,2.06220402e+01
43,2.05228691e+01
110,2.04873575e+01
114,2.04682292e+01
122,2.03304354e+01
140,2.02752879e+01
164,2.02410963e+01
199,2.01412968e+01
207,2.01132162e+01
216,2.00382924e+01
219,1.97289527e+01
221,1.96835048e+01
280,1.95956324e+01
293,1.94328525e+01
301,1.90533554e+01
312,1.84294180e+01
352,1.82150765e+01
383,1.69824014e+01
455,1.66847184e+01
473,1.66459022e+01
475,1.61516212e+01
497,1.59454848e+01
529,1.46834080e+01
572,1.40544499e+01
591,1.40342333e+01
600,1.32006642e+01
613,1.29521172e+01
693,1.28321782e+01
700,1.28274902e+01
702,1.26984733e+01
703,1.16405483e+01
739,1.12840744e+01
764,1.10509346e+01
811,1.09993203e+01
812,1.08049244e+01
814,1.07631564e+01
815,1.01727332e+01
842,9.82412634e+00
860,9.73801477e+00
873,9.61138823e+00
884,7.77763764e+00
966,7.72671255e+00
985,7.54903086e+00
1007,7.18725451e+00
1022,6.51458286e+00
1053,6.43948588e+00
1054,6.40054906e+00
1056,5.94433992e+00
1086,5.53155556e+00
1168,5.51882386e+00
1175,5.29242553e+00
1185,5.25424723e+00
1196,5.08652015e+00
1229,4.53013893e+00
1268,4.29879818e+00
1300,4.26693124e+00
1315,4.16913661e+00
1321,3.89597375e+00
1351,3.54450230e+00
1386,3.43483176e+00
1423,3.39450984e+00
1430,3.11530052e+00
1482,2.99568577e+00
1484,2.95091739e+00
1502,2.87079537e+00
1504,2.79871648e+00
1508,2.68265994e+00
1535,2.56023948e+00
1561,2.55763492e+00
1564,2.47350000e+00
1565,2.28740184e+00
1576,2.21772920e+00
1591,2.17535542e+00
1604,2.05105890e+00
1616,2.03982878e+00
1624,2.03172199e+00
1646,1.99111943e+00
1647,1.97669649e+00
1650,1.96194572e+00
1656,1.94605147e+00
1657,1.91730515e+00
1660,1.89238160e+00
1662,1.81048362e+00
1675,1.80032815e+00
1685,1.48230861e+00
1716,1.44517070e+00
1735,1.37574881e+00
1742,1.26167889e+00
1762,1.18417843e+00
1785,1.09473319e+00
1805,1.08107434e+00
1806,9.76297317e-01
1836,9.04579155e-01
1882,8.55412360e-01
1891,8.50168456e-01
1895,7.57654305e-01
1912,7.32546640e-01
1930,6.90572948e-01
1940,6.70664898e-01
1951,6.02780279e-01
1981,6.02240081e-01
1987,5.81832580e-01
1991,5.67845087e-01
1997,5.39756957e-01
2000,5.28731275e-01
2003,5.20017893e-01
2015,5.05638714e-01
2028,4.87396700e-01
2036,4.60852195e-01
2042,4.36503110e-01
2054,3.93233007e-01
2070,3.68163065e-01
2083,3.56477321e-01
2099,3.53405847e-01
2107,3.51980174e-01
2108,3.42735846e-01
2120,3.24333924e-01
2124,2.75978581e-01
2133,2.59881376e-01
2163,2.39706868e-01
2185,2.28301328e-01
2192,2.00320619e-01
2204,1.89908188e-01
2222,1.87095365e-01
