Evaluations,Fitness
1,1616.183488
2,1544.600770
32,1004.001060
62,1000.284354
67,907.033184
114,896.082826
121,809.138944
129,794.043777
154,730.422531
159,567.407486
219,480.999681
221,440.724939
267,322.912734
297,304.664328
319,267.639358
349,261.551419
370,258.466487
374,244.189202
398,244.187880
404,227.045940
430,210.872492
446,189.523931
488,177.298352
506,173.775208
510,169.061858
511,164.185351
538,140.546706
577,130.345959
602,128.807809
617,127.792736
618,119.958249
632,106.322510
640,79.403812
692,75.513991
694,69.206403
707,66.574814
722,58.559522
755,39.264763
815,39.019316
826,36.155348
847,34.220086
851,33.579024
871,33.422332
878,30.076670
889,27.650911
900,24.634059
908,21.412631
940,19.885340
970,17.446119
1021,16.305116
1026,14.982078
1054,10.687894
1087,9.587434
1124,9.075718
1152,8.944218
1160,7.971044
1192,7.832392
1195,7.472123
1211,6.707350
1240,6.469034
1241,6.029172
1253,4.987003
1277,4.596079
1307,4.241128
1332,4.222272
1353,4.046421
1355,3.591637
1387,3.363253
1388,2.625190
1412,2.556093
1442,2.508801
1447,2.438453
1459,2.122111
1471,1.944127
1507,1.695064
1538,1.524048
1571,1.465725
1575,1.439599
1579,1.422969
1599,1.421641
1602,1.366951
1608,1.332835
1625,1.244717
1638,1.227559
1665,1.201319
1687,1.195048
1693,1.180820
1696,1.177995
1721,1.170139
1722,1.145118
1743,1.112769
1773,1.111758
1779,1.095877
1801,1.095294
1821,1.087017
1862,1.075185
1864,1.069972
1875,1.065625
1903,1.064532
1905,1.062874
1922,1.047500
1933,1.042746
1967,1.036213
1983,1.014901
2011,1.013082
2027,0.943303
2071,0.831519
2114,0.830966
2138,0.783695
2139,0.755385
2162,0.701815
2198,0.671379
2199,0.661966
2203,0.631911
2221,0.619398
2227,0.554533
2255,0.547642
2258,0.490579
2293,0.475252
2312,0.453649
2315,0.419769
2334,0.398034
2347,0.355925
2373,0.350620
2375,0.321848
2393,0.316432
2404,0.263063
2433,0.256681
2437,0.241993
2444,0.225349
2461,0.197017
2466,0.195355
2482,0.148520
2529,0.128592
2551,0.120645
2559,0.101608
2584,0.091057
2603,0.088848
2612,0.074748
2620,0.072199
2627,0.070278
2638,0.060769
2644,0.055765
2652,0.055653
2657,0.049451
2672,0.043589
2684,0.042215
2701,0.038800
2717,0.035095
2732,0.028240
2761,0.028108
2764,0.027259
2770,0.027100
2780,0.024910
2782,0.023721
2791,0.018184
2823,0.017289
2829,0.013488
2868,0.011038
2872,0.010652
2910,0.010088
2920,0.009002
2950,0.007875
2962,0.007546
2973,0.007067
2980,0.006369
2984,0.005850
3017,0.005801
3023,0.005778
3033,0.005559
3040,0.004343
3054,0.004339
3066,0.004215
3074,0.004182
3087,0.004132
3091,0.003930
3093,0.003639
3111,0.003491
3118,0.003476
3122,0.003165
3132,0.002881
3153,0.002673
3155,0.002505
3162,0.002176
3187,0.002136
3197,0.001922
3206,0.001597
3227,0.001568
3247,0.001314
3255,0.001303
3279,0.001227
3294,0.001046
3305,0.000898
3334,0.000860
3344,0.000746
3366,0.000631
3387,0.000577
3392,0.000449
3425,0.000395
3453,0.000323
3464,0.000323
3468,0.000296
3483,0.000263
3512,0.000247
3513,0.000226
3545,0.000219
3548,0.000217
3557,0.000192
3571,0.000190
3574,0.000189
3577,0.000180
3578,0.000159
3583,0.000152
3607,0.000139
3629,0.000132
3635,0.000124
3637,0.000109
3666,0.000109
3670,0.000101
3691,0.000099
3693,0.000083
3704,0.000077
3739,0.000065
3753,0.000057
3782,0.000055
3783,0.000052
3786,0.000043
3818,0.000040
3823,0.000039
3824,0.000039
3827,0.000032
3845,0.000029
3885,0.000024
3900,0.000021
3908,0.000019
3934,0.000019
3936,0.000018
3950,0.000017
3961,0.000016
3964,0.000014
3965,0.000013
3990,0.000013
3999,0.000012
4003,0.000011
4023,0.000010
4032,0.000010
4039,0.000007
4079,0.000007
4080,0.000007
4091,0.000005
4108,0.000005
4110,0.000005
4118,0.000005
4120,0.000005
4134,0.000004
4141,0.000004
4146,0.000004
4150,0.000003
4151,0.000003
4155,0.000003
4180,0.000003
4212,0.000002
4218,0.000002
4232,0.000002
4266,0.000002
4285,0.000002
4286,0.000001
4297,0.000001
4309,0.000001
4323,0.000001
4324,0.000001
4325,0.000001
4335,0.000001
4351,0.000001
4354,0.000001
4372,0.000001
4389,0.000001
4409,0.000001
4429,0.000001
4441,0.000001
4450,0.000000
4474,0.000000
4475,0.000000
4491,0.000000
4501,0.000000
4511,0.000000
4535,0.000000
4547,0.000000
4556,0.000000
4567,0.000000
4581,0.000000
4594,0.000000
4621,0.000000
4624,0.000000
4625,0.000000
4664,0.000000
4669,0.000000
4687,0.000000
4691,0.000000
4696,0.000000
4711,0.000000
4733,0.000000
4745,0.000000
4753,0.000000
4772,0.000000
4776,0.000000
4803,0.000000
4804,0.000000
4808,0.000000
4844,0.000000
4852,0.000000
4861,0.000000
4880,0.000000
4893,0.000000
4896,0.000000
4901,0.000000
4904,0.000000
4923,0.000000
4924,0.000000
4926,0.000000
4928,0.000000
4931,0.000000
4952,0.000000
4953,0.000000
4981,0.000000
4988,0.000000
5016,0.000000
5020,0.000000
5024,0.000000
5028,0.000000
5048,0.000000
5054,0.000000
5073,0.000000
5087,0.000000
5105,0.000000
5133,0.000000
5146,0.000000
5156,0.000000
5158,0.000000
5161,0.000000
5166,0.000000
5183,0.000000
5192,0.000000
5197,0.000000
5223,0.000000
5243,0.000000
5251,0.000000
5289,0.000000
5290,0.000000
5291,0.000000
5297,0.000000
5311,0.000000
5330,0.000000
5332,0.000000
5343,0.000000
5346,0.000000
5350,0.000000
5371,0.000000
5381,0.000000
5402,0.000000
5431,0.000000
5433,0.000000
5435,0.000000
5445,0.000000
5473,0.000000
5501,0.000000
5503,0.000000
5517,0.000000
5524,0.000000
5527,0.000000
5530,0.000000
5536,0.000000
5554,0.000000
5582,0.000000
5611,0.000000
5642,0.000000
5644,0.000000
5665,0.000000
5702,0.000000
5732,0.000000
5743,0.000000
5744,0.000000
5763,0.000000
5785,0.000000
5792,0.000000
5823,0.000000
5852,0.000000
5855,0.000000
5858,0.000000
5860,0.000000
5893,0.000000
5918,0.000000
5941,0.000000
5944,0.000000
5946,0.000000
5969,0.000000
5973,0.000000
5974,0.000000
5981,0.000000
6001,0.000000
6018,0.000000
6043,0.000000
6062,0.000000
6064,0.000000
6066,0.000000
6096,0.000000
6111,0.000000
6129,0.000000
6152,0.000000
6154,0.000000
6164,0.000000
6167,0.000000
6172,0.000000
6187,0.000000
6189,0.000000
6191,0.000000
6192,0.000000
6202,0.000000
6242,0.000000
6245,0.000000
6268,0.000000
6273,0.000000
6288,0.000000
6301,0.000000
6305,0.000000
6320,0.000000
6336,0.000000
6339,0.000000
6353,0.000000
6364,0.000000
6393,0.000000
6400,0.000000
6412,0.000000
6428,0.000000
6434,0.000000
6435,0.000000
6451,0.000000
