Evaluations,Fitness
1,-5.88092328e-01
2,-9.97118756e-01
4,-1.60890825e+00
5,-1.62034347e+00
15,-2.20150713e+00
16,-3.57173180e+00
76,-3.78366570e+00
230,-3.80180201e+00
257,-3.81858666e+00
327,-3.83928384e+00
1035,-3.85162150e+00
3944,-3.85501070e+00
8525,-3.85554169e+00
9552,-3.85632357e+00
11876,-3.85654736e+00
13794,-3.85655740e+00
13850,-3.85661850e+00
14058,-3.85663227e+00
14436,-3.85665727e+00
14523,-3.85665913e+00
14660,-3.85666260e+00
14828,-3.85667249e+00
14854,-3.85667675e+00
14905,-3.85668111e+00
14947,-3.85669204e+00
