Evaluations,Fitness
1,1.20452672e+03
2,1.10755331e+03
4,9.61110676e+02
32,9.41528032e+02
43,8.80671768e+02
51,8.46136731e+02
70,8.41269336e+02
71,8.39728508e+02
111,8.13579821e+02
118,8.00327701e+02
202,7.93997291e+02
206,7.77522102e+02
226,7.51443130e+02
250,6.58322183e+02
389,6.48410133e+02
447,6.32895051e+02
479,6.03362441e+02
568,6.01152096e+02
601,5.54581913e+02
666,5.46815767e+02
783,5.14075116e+02
802,5.05328351e+02
881,4.59036966e+02
911,4.53571496e+02
956,4.52199128e+02
998,4.37211263e+02
1089,4.17165794e+02
1147,4.12848585e+02
1160,3.96814390e+02
1185,3.89279651e+02
1198,3.73720581e+02
1230,3.49373589e+02
1298,3.47591804e+02
1356,3.34021366e+02
1373,3.07460319e+02
1480,2.92737425e+02
1489,2.92727479e+02
1551,2.88991510e+02
1636,2.85007644e+02
1662,2.57216346e+02
1664,2.49637293e+02
1683,2.39211726e+02
1710,2.21352271e+02
1728,2.09702603e+02
1825,2.05809511e+02
1832,2.03662668e+02
1853,2.02308200e+02
1874,1.93463717e+02
1892,1.88455397e+02
1898,1.85182341e+02
1910,1.82479902e+02
1913,1.62021873e+02
1934,1.56259352e+02
1940,1.54045072e+02
1941,1.51921165e+02
1959,1.51281733e+02
1961,1.47791827e+02
1983,1.38074292e+02
2003,1.32517636e+02
2051,1.28071301e+02
2054,1.13219861e+02
2060,1.13172999e+02
2118,1.06115594e+02
2182,9.84908220e+01
2183,7.54741838e+01
2287,7.40811281e+01
2325,5.99746772e+01
2365,5.95663324e+01
2384,5.72553881e+01
2449,4.29995645e+01
2503,3.77531854e+01
2519,3.27779350e+01
2669,2.49201419e+01
2705,2.46991120e+01
2845,2.35005735e+01
2863,2.06402040e+01
3007,1.92600960e+01
3028,1.77177763e+01
3061,1.75446974e+01
3234,1.27249971e+01
3305,1.10069333e+01
3342,9.39990868e+00
3369,8.79836197e+00
3402,8.73204827e+00
3426,8.25922357e+00
3438,8.23556449e+00
3476,7.59143444e+00
3550,5.58533560e+00
3571,4.11877085e+00
3601,3.97292062e+00
3605,3.77373780e+00
3615,3.18702794e+00
3621,3.08743019e+00
3631,2.56691492e+00
3633,2.35607010e+00
3657,2.15652523e+00
3661,1.92061027e+00
3694,1.48535585e+00
3719,1.42563230e+00
3727,1.20387886e+00
3738,1.08492738e+00
3751,1.06650610e+00
3753,8.11564569e-01
3773,7.01739717e-01
3789,6.23164559e-01
3811,5.74634753e-01
3819,5.74133566e-01
3821,5.41945255e-01
3846,3.81460700e-01
3873,3.64602112e-01
3875,3.54971807e-01
3886,3.52385905e-01
3907,3.11627603e-01
3911,2.96764462e-01
3932,2.31535078e-01
3951,2.08226918e-01
3968,1.99601729e-01
3993,1.77906490e-01
4005,1.71331039e-01
4018,1.45881558e-01
4039,1.45790660e-01
4051,1.23996161e-01
4060,1.20112682e-01
4072,1.06502658e-01
4073,1.00121308e-01
4095,9.16604197e-02
4103,8.33561351e-02
4131,7.92091229e-02
4144,7.24245762e-02
4146,5.98694708e-02
4173,5.50380478e-02
4202,5.23424345e-02
4204,4.32427833e-02
4233,3.77361807e-02
4235,3.70185267e-02
4261,3.21601424e-02
4265,2.58906005e-02
4292,2.04755923e-02
4322,1.99639689e-02
4324,1.80886929e-02
4325,1.79345406e-02
4341,1.54493759e-02
4352,1.34004883e-02
4360,1.26662186e-02
4362,1.26195803e-02
4369,1.24785171e-02
4382,1.19569986e-02
4392,1.06012794e-02
4395,1.04875113e-02
4411,1.02387133e-02
4416,8.22159005e-03
4426,7.54671069e-03
4440,7.52971911e-03
4454,7.08472011e-03
4460,6.99923417e-03
4461,6.06703986e-03
4473,4.83363877e-03
4502,4.01501555e-03
4521,3.94060806e-03
4533,3.56074381e-03
4545,3.12003246e-03
4563,3.07597133e-03
4570,2.64116100e-03
4576,2.47744288e-03
4590,2.11131695e-03
4602,1.82011406e-03
4627,1.76426912e-03
4657,1.47854328e-03
4666,1.33425574e-03
4681,1.22285621e-03
4686,1.11767216e-03
4711,1.06031253e-03
4724,1.03360978e-03
4732,8.78459283e-04
4758,7.99831973e-04
4771,5.89092881e-04
4808,5.03141672e-04
4831,4.93197291e-04
4833,3.52851638e-04
4841,3.51959955e-04
4861,3.28953135e-04
4871,3.19837857e-04
4879,2.78939054e-04
4894,2.75688336e-04
4898,2.53701485e-04
4904,1.93195642e-04
4951,1.68034601e-04
4953,1.47468778e-04
4981,1.39536724e-04
5013,1.20628410e-04
5014,1.20439420e-04
5028,1.18555022e-04
5042,1.11597347e-04
5055,1.02135241e-04
5073,9.70249847e-05
5074,8.97723179e-05
5088,8.21939045e-05
5103,7.81244067e-05
5107,7.53110203e-05
5134,7.09530364e-05
5135,6.58397046e-05
5153,5.87381611e-05
5169,5.68326140e-05
5173,5.24411532e-05
5200,4.98920499e-05
5222,4.90363179e-05
5225,3.81715677e-05
5228,3.47474086e-05
5269,3.35532518e-05
5272,3.15796683e-05
5283,2.67185098e-05
5311,2.52724360e-05
5315,2.43254310e-05
5342,2.25115591e-05
5365,2.21536623e-05
5384,2.18507033e-05
5385,2.16914419e-05
5388,2.07397388e-05
5396,1.93879000e-05
5407,1.72277433e-05
5413,1.70805151e-05
5436,1.62969644e-05
5439,1.45191165e-05
5466,1.29433147e-05
5467,1.24301203e-05
5508,1.17772631e-05
5514,1.14971519e-05
5526,1.11892450e-05
5530,1.05077855e-05
5541,1.00713205e-05
5552,1.00326838e-05
5555,8.38965354e-06
5593,8.33661636e-06
5597,7.83604287e-06
5617,7.23989297e-06
5627,7.01230715e-06
5643,6.45955379e-06
5644,5.92143408e-06
5650,5.73938246e-06
5663,5.55252552e-06
5685,5.04819286e-06
5691,4.53035477e-06
5708,4.36114135e-06
5737,4.34871163e-06
5738,4.26988595e-06
5742,4.13836506e-06
5745,4.02589899e-06
5748,3.85294629e-06
5757,3.74084289e-06
5786,3.66387235e-06
5791,3.29406362e-06
5810,3.26577560e-06
5813,3.23546033e-06
5825,3.01777891e-06
5827,2.99321960e-06
5835,2.79723383e-06
5853,2.67252892e-06
5858,2.58235946e-06
5859,2.30229898e-06
5883,2.17263630e-06
5889,2.11159374e-06
5904,2.01189323e-06
5911,1.96991368e-06
5916,1.87902981e-06
5926,1.78240339e-06
5944,1.73628314e-06
5947,1.54999930e-06
5971,1.44464991e-06
5980,1.41203009e-06
6002,1.36483231e-06
6014,1.31069623e-06
6029,1.28227464e-06
6030,1.25981524e-06
6036,1.23584107e-06
6037,1.12397925e-06
6050,1.11124757e-06
6061,1.02502236e-06
6071,8.15067096e-07
6095,7.96115160e-07
6100,7.68289055e-07
6122,7.55443011e-07
6123,7.20023763e-07
6138,6.79255209e-07
6156,6.64034133e-07
6161,6.58509407e-07
6184,6.45591854e-07
6185,6.22819925e-07
6188,5.94115477e-07
6190,5.80633014e-07
6191,5.76558818e-07
6206,5.54028588e-07
6212,5.52679694e-07
6225,4.53691200e-07
6248,4.14419901e-07
6273,3.98531142e-07
6277,3.73801981e-07
6287,3.65427013e-07
6289,3.30930561e-07
6302,3.29647946e-07
6304,3.29176146e-07
6306,3.14202907e-07
6315,3.11610052e-07
6319,3.08713652e-07
6333,2.94325787e-07
6336,2.90016487e-07
6341,2.79541609e-07
6348,2.76219453e-07
6358,2.54973088e-07
6369,2.43138743e-07
6379,2.40777126e-07
6392,2.36713731e-07
6394,2.35726702e-07
6395,2.27452347e-07
6402,2.24894166e-07
6423,2.19281219e-07
6426,2.04161552e-07
6452,1.92781044e-07
6468,1.76681510e-07
6471,1.75469495e-07
6484,1.75443347e-07
6488,1.57827344e-07
6543,1.31804086e-07
6573,1.16413958e-07
6583,1.05565960e-07
6607,1.02472086e-07
6610,1.01007799e-07
6624,9.67426104e-08
6632,9.34924174e-08
6634,9.20506409e-08
6636,8.53078745e-08
6662,8.35470928e-08
6664,8.33356353e-08
6678,8.09711764e-08
6680,7.53695986e-08
6697,6.91499054e-08
6724,6.60722890e-08
6744,6.25877874e-08
6749,6.03771468e-08
6755,5.76104640e-08
6758,5.58967486e-08
6781,5.55918405e-08
6782,5.49694050e-08
6790,5.38711902e-08
6811,5.11397502e-08
6820,4.80292783e-08
6834,4.72447255e-08
6842,4.68110102e-08
6852,4.45822934e-08
6853,4.34858975e-08
6862,3.89939032e-08
6877,3.85725798e-08
6897,3.68338533e-08
6903,3.65615733e-08
6917,3.54907570e-08
6922,3.42739668e-08
6935,3.15769739e-08
6950,2.92369577e-08
6951,2.82836936e-08
6969,2.62027697e-08
6993,2.51520760e-08
6995,2.50437324e-08
7008,2.43345539e-08
7025,2.17439720e-08
7046,2.14371312e-08
7058,1.84314786e-08
7085,1.72323098e-08
7100,1.72009322e-08
7109,1.70369958e-08
7112,1.70116436e-08
7116,1.58217972e-08
7130,1.55416728e-08
7143,1.45314516e-08
7169,1.39846179e-08
7173,1.35745495e-08
7180,1.29874707e-08
7196,1.24193775e-08
7203,1.19379138e-08
7205,1.03254933e-08
7233,1.02115791e-08
7235,9.45237844e-09
7261,9.37666300e-09
7264,9.04822173e-09
7270,8.62655725e-09
7287,8.56562110e-09
7299,8.42760528e-09
7314,8.06244316e-09
7322,7.73752618e-09
7328,7.15590431e-09
7348,7.05790626e-09
7363,7.01322733e-09
7364,6.59042598e-09
7365,6.50163656e-09
7368,6.31143848e-09
7385,6.14591045e-09
7389,5.08453013e-09
7413,4.71072781e-09
7419,4.47948878e-09
7441,4.21039204e-09
7461,4.20311608e-09
7474,3.98654265e-09
7477,3.70823727e-09
7501,3.28111582e-09
7534,3.25769633e-09
7540,3.18937055e-09
7543,2.97757197e-09
7562,2.94096481e-09
7569,2.93880476e-09
7576,2.88741830e-09
7602,2.81431767e-09
7604,2.77509571e-09
7605,2.70119926e-09
7612,2.68630629e-09
7617,2.68471467e-09
7621,2.57318788e-09
7626,2.47791831e-09
7672,2.35581865e-09
7673,2.27532837e-09
7682,2.16698481e-09
7712,2.08899564e-09
7715,2.07830908e-09
7742,1.91732852e-09
7779,1.86344096e-09
7786,1.79727522e-09
7794,1.72099135e-09
7801,1.63640834e-09
7818,1.58070179e-09
7831,1.47906576e-09
7863,1.40403245e-09
7892,1.38413725e-09
7894,1.23338850e-09
7936,1.19007382e-09
7939,1.16460797e-09
7951,1.10321707e-09
7960,1.08366294e-09
7973,1.02818376e-09
7984,9.93168214e-10
7995,9.85551196e-10
7998,9.60199031e-10
8015,9.43714440e-10
8016,9.14383236e-10
8027,9.13814802e-10
8032,8.93464858e-10
8042,8.35598257e-10
8052,8.27185431e-10
8056,7.80573828e-10
8076,7.13725967e-10
8102,6.82916834e-10
8105,6.77005119e-10
8118,5.98561201e-10
8143,5.87647264e-10
8156,5.80257620e-10
8165,5.70935299e-10
8166,5.69912117e-10
8170,5.47288437e-10
8194,5.11249709e-10
8210,5.05337994e-10
8212,5.02836883e-10
8229,4.82714313e-10
8252,4.60204319e-10
8258,4.48721948e-10
8276,4.40536496e-10
8286,4.38603820e-10
8287,4.23142410e-10
8322,3.82556209e-10
8341,3.76985554e-10
8350,3.36740413e-10
8373,3.32534000e-10
8395,3.20255822e-10
8401,3.14457793e-10
8405,3.01952241e-10
8406,2.95699465e-10
8431,2.76941137e-10
8441,2.69665179e-10
8443,2.60001798e-10
8491,2.51816346e-10
8497,2.33058017e-10
8521,2.21234586e-10
8524,2.17482921e-10
8540,2.17255547e-10
8554,2.06568984e-10
8575,2.01680450e-10
8583,1.96791916e-10
8586,1.80648385e-10
8587,1.80193638e-10
8613,1.75077730e-10
8617,1.67347025e-10
8649,1.66664904e-10
8650,1.54273039e-10
8671,1.45746526e-10
8674,1.40744305e-10
8709,1.37902134e-10
8718,1.35855771e-10
8719,1.35059963e-10
8729,1.31876732e-10
8731,1.31080924e-10
8737,1.30967237e-10
8742,1.25396582e-10
8759,1.23804966e-10
8764,1.19712240e-10
8788,1.17324817e-10
8797,1.16187948e-10
8798,1.15505827e-10
8811,1.11754161e-10
8820,1.06183506e-10
8850,1.05956133e-10
8853,1.02659214e-10
8856,1.01181286e-10
8862,1.00044417e-10
8869,9.95896698e-11
8880,9.54969437e-11
8881,9.41327016e-11
