Evaluations,Fitness
1,1.02448100e+09
6,6.09820456e+08
66,6.05697854e+08
71,5.87175738e+08
73,4.99858421e+08
85,4.73645747e+08
138,3.11660216e+08
157,2.76715598e+08
181,2.68067099e+08
199,2.61383907e+08
211,2.59691361e+08
231,2.34168725e+08
260,2.21966596e+08
266,1.19490365e+08
333,1.09746022e+08
334,9.04358504e+07
345,6.53636638e+07
410,5.43850355e+07
417,5.23049187e+07
418,4.17436396e+07
456,3.77902348e+07
532,2.76874322e+07
561,2.30798794e+07
692,2.06433208e+07
758,1.88063211e+07
771,1.59525309e+07
797,1.19234393e+07
826,1.07931535e+07
835,8.25868779e+06
879,8.24441963e+06
968,7.68313344e+06
987,6.76611819e+06
1021,6.20781079e+06
1027,5.90521356e+06
1058,5.26786028e+06
1083,4.65157537e+06
1099,3.89147056e+06
1100,3.64618188e+06
1130,2.31454942e+06
1131,2.21472727e+06
1143,2.01345248e+06
1160,1.18059775e+06
1183,1.13142784e+06
1204,8.84889301e+05
1233,7.89587447e+05
1291,7.65860786e+05
1294,5.67977115e+05
1376,4.22751174e+05
1380,3.20488048e+05
1391,3.07386438e+05
1421,2.99035308e+05
1435,2.92981302e+05
1448,2.62373168e+05
1476,2.29456821e+05
1508,1.64633284e+05
1519,1.40160154e+05
1530,1.33693025e+05
1562,1.16972543e+05
1576,1.05696807e+05
1600,1.04719620e+05
1604,8.56903096e+04
1626,6.51238904e+04
1636,6.37179143e+04
1656,3.39815577e+04
1682,3.12779008e+04
1698,2.58436129e+04
1719,2.19294617e+04
1743,2.04751574e+04
1761,1.62622219e+04
1839,1.25243780e+04
1876,1.04794366e+04
1936,1.01731275e+04
1949,7.96727542e+03
1956,7.00679881e+03
1981,6.20249491e+03
1988,3.99088266e+03
2025,3.75354655e+03
2047,3.10315680e+03
2048,1.99674182e+03
2084,1.84329190e+03
2101,1.49852878e+03
2109,1.45977245e+03
2151,1.19716492e+03
2162,1.15402262e+03
2164,1.14353208e+03
2191,1.07534990e+03
2199,1.03348272e+03
2213,9.69379154e+02
2233,8.09742333e+02
2237,7.25597807e+02
2259,6.07180866e+02
2282,4.94381779e+02
2289,3.61673343e+02
2365,3.45863231e+02
2374,2.79502054e+02
2402,2.60828186e+02
2420,2.41928486e+02
2432,2.28902008e+02
2433,2.05268634e+02
2453,2.04505237e+02
2457,1.98531970e+02
2461,1.92556326e+02
2463,1.77560850e+02
2465,1.60390969e+02
2494,1.41177756e+02
2496,1.28084857e+02
2525,1.26639600e+02
2528,1.25833043e+02
2537,1.21300663e+02
2566,1.12689720e+02
2581,1.10166513e+02
2613,1.08712547e+02
2622,1.07458500e+02
2632,1.05228738e+02
2643,1.00276959e+02
2646,9.57056237e+01
2654,8.77182398e+01
2703,8.47631109e+01
2716,8.30874815e+01
2731,8.19564366e+01
2735,8.00356761e+01
2760,7.89261342e+01
