Evaluations,Fitness
1,1.98894465e+08
5,1.94026931e+08
9,1.58387556e+08
39,1.48891663e+08
41,1.31948678e+08
60,1.16333511e+08
96,9.82415308e+07
123,8.46790237e+07
136,7.47456384e+07
151,6.61124684e+07
166,6.49117588e+07
186,5.59060223e+07
212,5.48910505e+07
223,4.15146894e+07
262,3.99080229e+07
272,3.44349150e+07
282,3.24153006e+07
293,2.97266781e+07
336,2.46816014e+07
351,2.37384909e+07
365,1.81929663e+07
421,1.75594265e+07
429,1.65733592e+07
446,1.57045165e+07
462,1.43541376e+07
473,1.34223232e+07
487,9.96316894e+06
526,7.93472837e+06
564,7.40382983e+06
591,6.18347866e+06
621,6.06433956e+06
633,5.00278458e+06
667,4.33279196e+06
697,3.36550899e+06
698,3.26898761e+06
742,2.97129402e+06
764,2.43444387e+06
788,2.33129740e+06
794,2.18558962e+06
813,1.90975148e+06
818,1.59255617e+06
856,1.52798688e+06
877,1.37598143e+06
892,1.26749637e+06
897,1.26019539e+06
902,1.15921416e+06
916,1.15697134e+06
956,8.93604969e+05
990,7.48505469e+05
1022,7.32190414e+05
1036,6.88753182e+05
1043,6.40570378e+05
1058,5.43326162e+05
1066,5.36513020e+05
1112,5.08202029e+05
1115,4.42508872e+05
1135,4.37826197e+05
1140,4.02443467e+05
1141,2.96620231e+05
1197,2.94921010e+05
1201,2.89166760e+05
1206,2.37705649e+05
1207,2.12601823e+05
1217,1.57422819e+05
1237,1.40480755e+05
1262,1.40313978e+05
1264,1.20845599e+05
1291,1.12468799e+05
1292,1.03046451e+05
1318,8.52407252e+04
1324,8.07194679e+04
1336,6.88956302e+04
1351,6.33197871e+04
1359,5.80415855e+04
1362,5.72893940e+04
1366,4.82025629e+04
1378,4.57400310e+04
1407,4.04858114e+04
1424,3.43066302e+04
1435,3.37018274e+04
1444,3.30618904e+04
1451,2.79820457e+04
1465,2.66003239e+04
1474,2.61207910e+04
1491,2.59796771e+04
1505,2.39108535e+04
1510,2.27956364e+04
1535,2.20243866e+04
1540,2.10452910e+04
1543,1.77934692e+04
1563,1.72854623e+04
1588,1.53537833e+04
1641,1.37122428e+04
1643,1.08492337e+04
1674,9.60182676e+03
1717,8.25307021e+03
1733,7.93053278e+03
1743,7.14442506e+03
1753,6.80148894e+03
1763,6.59549909e+03
1804,5.76942060e+03
1815,3.62317538e+03
1851,3.46108041e+03
1867,3.00377495e+03
1881,2.76972946e+03
1898,2.49977090e+03
1915,2.08653227e+03
1938,2.08404847e+03
1945,1.87837399e+03
1983,1.84065503e+03
1996,1.14534974e+03
2017,1.08258857e+03
2027,1.08200877e+03
2042,1.03457267e+03
2048,7.34515446e+02
2077,6.84095467e+02
2103,5.29313628e+02
2129,3.59019241e+02
2147,3.02896505e+02
2161,2.86567024e+02
2185,2.52021566e+02
2192,2.01462071e+02
2200,1.73382705e+02
2256,1.61747861e+02
2267,1.53520634e+02
2284,1.02033694e+02
2321,9.95411868e+01
2327,9.81595744e+01
2343,9.55375534e+01
2351,9.35755229e+01
2354,9.26033322e+01
2366,8.66237076e+01
2381,7.04122643e+01
2394,6.75082127e+01
2424,6.35342382e+01
2446,6.11577346e+01
2453,6.06934968e+01
2460,5.92899252e+01
2468,5.76342028e+01
2474,5.50974946e+01
2483,4.87742202e+01
2495,4.40918333e+01
2505,3.93287407e+01
2527,3.77187989e+01
2540,3.64780778e+01
2541,3.56947403e+01
2544,3.07889320e+01
2563,2.72065095e+01
2574,2.68725884e+01
2576,2.23691627e+01
2596,2.18783445e+01
2597,1.94114799e+01
2603,1.92650378e+01
2616,1.79484180e+01
2626,1.61559878e+01
2645,1.56595278e+01
2653,1.54207664e+01
2657,1.51860689e+01
2661,1.45896211e+01
2665,1.14598460e+01
2675,9.60825501e+00
2704,9.16348454e+00
2705,8.43252998e+00
2710,8.23579783e+00
2734,7.75331359e+00
2758,6.09581140e+00
2767,4.58071254e+00
2822,3.99896122e+00
2824,3.85896222e+00
2837,3.62725725e+00
2848,3.27417525e+00
2851,2.25620657e+00
2914,2.05404184e+00
2917,1.91112362e+00
2941,1.40742643e+00
2973,1.25360028e+00
2984,1.19736849e+00
2992,1.05768682e+00
3001,9.56378337e-01
3035,9.40968829e-01
3037,9.30646975e-01
3052,7.98454189e-01
3061,7.00665061e-01
3084,6.23637454e-01
3092,6.00850891e-01
3095,5.88370982e-01
3102,5.49355261e-01
3109,4.88485602e-01
3127,4.41284399e-01
3146,4.14582804e-01
3165,3.95030481e-01
3181,3.93013727e-01
3182,3.90772778e-01
3183,3.80152137e-01
3184,2.75509045e-01
3213,2.65156058e-01
3214,2.41202357e-01
3254,2.27144800e-01
3261,2.13529933e-01
3294,1.91437325e-01
3303,1.73010894e-01
3308,1.47964339e-01
3325,1.45705162e-01
3334,1.28044798e-01
3362,1.27522867e-01
3375,1.09522765e-01
3389,1.00479679e-01
3391,8.73237550e-02
3401,8.04981749e-02
3421,7.11243373e-02
3424,6.73809582e-02
3440,5.26804840e-02
3457,5.04477337e-02
3461,4.86871403e-02
3468,4.62202419e-02
3485,4.38710644e-02
3491,4.04388519e-02
3495,3.34254250e-02
3544,2.69445745e-02
3552,2.65121767e-02
3571,2.25012347e-02
3578,1.87967572e-02
3602,1.55830454e-02
3632,1.55233440e-02
3633,1.44280706e-02
3642,1.28516413e-02
3661,1.26487275e-02
3672,1.10288761e-02
3700,1.07972258e-02
3703,1.04830787e-02
3716,9.98669637e-03
3719,9.97889759e-03
3721,9.62615414e-03
3723,7.75834382e-03
3751,5.55368190e-03
3785,5.38858076e-03
3792,4.27543776e-03
3834,4.10608554e-03
3838,4.02251198e-03
3843,3.11230607e-03
3877,3.03562269e-03
3884,2.83288320e-03
3887,2.60745019e-03
3926,2.41637294e-03
3933,2.32249620e-03
3935,2.28021385e-03
3938,2.25569266e-03
3964,2.13994411e-03
3966,2.13508900e-03
3973,1.77395994e-03
3995,1.65679570e-03
4002,1.52450586e-03
4004,1.48084363e-03
4027,1.38892857e-03
4036,1.25137826e-03
4052,1.19405669e-03
4069,1.01337208e-03
4086,1.00739404e-03
4091,8.84030562e-04
4112,8.54064162e-04
