Evaluations,Fitness
1,1462.519598
4,1436.420950
8,1429.998645
9,1292.087607
10,1105.480734
69,1065.448436
94,1056.754284
97,1018.311241
146,992.467216
160,967.676624
184,947.656304
212,846.242258
280,824.728676
310,811.393005
364,802.689931
374,705.733511
782,700.430162
812,699.101995
947,673.190365
1020,669.975970
1125,668.298277
1140,629.510128
1275,607.850815
1523,604.702468
1641,585.933098
1665,575.563617
1843,555.265696
2576,535.919743
2789,534.713107
3717,530.100986
4220,500.467974
4568,485.951236
5945,469.888296
7499,460.869965
7739,438.148837
8921,430.522749
9114,429.157421
9591,396.535774
9868,388.631751
10792,385.483443
11286,380.402099
11329,371.226950
12041,370.515998
12224,368.916738
12271,349.409179
12471,347.974437
12583,347.794573
12931,340.322055
13155,331.989500
13190,328.611646
13295,326.265847
13317,317.025217
13459,315.384402
13602,312.669031
13681,312.395390
13702,306.008654
13760,303.562000
13954,303.420765
14050,302.931698
14060,301.492111
14081,297.626453
14187,296.187437
14195,296.131012
14235,295.293009
14276,294.299893
14288,293.569521
14344,291.247876
14383,288.037984
14498,287.086763
14530,285.765799
14655,285.648727
14671,285.490427
14676,284.974691
14680,284.320919
14795,284.289401
14803,283.897606
14827,283.812324
14833,283.786907
14836,283.743142
14852,283.516470
14871,283.255265
14884,283.071837
14912,282.594865
14941,282.499506
14951,282.360216
14979,282.341969
14980,282.233745
