Evaluations,Fitness
1,8682755.564068
6,6658608.575452
14,6527709.985667
31,5624004.910373
68,5148626.679624
72,4409585.803268
94,4303270.829953
131,3776028.002455
136,3056290.952055
171,2777502.461082
220,2433344.592094
230,2186480.606370
274,1989511.365112
288,1631501.921412
375,1398591.615897
399,1317874.015392
513,1298811.209154
530,1164077.714356
663,1028053.521670
753,915493.587005
818,829783.179309
902,790056.651692
1019,779205.735661
1129,731651.503994
1304,657451.548803
2014,638474.915981
2353,634938.782221
3210,631360.176121
3280,603302.303561
3383,580962.161890
3672,567394.312184
3698,532553.435223
3737,524198.855802
3863,520007.324947
3881,497840.346751
4008,483850.612145
4087,465412.979466
4095,445489.815956
4120,423644.729970
4428,422046.177492
5104,408631.000595
5234,383670.226122
5278,352397.485217
5643,351897.315657
5787,350202.303770
6582,341077.678196
6779,339025.153584
7227,338986.121464
7233,335982.835273
7246,331042.053290
7280,328311.160077
7364,299127.482225
7595,296284.347053
7617,274682.813184
7959,273641.513460
7988,269201.113337
8997,267728.354893
9041,261487.222380
9160,260157.758861
9341,248043.242230
9377,244110.701773
9487,237705.965118
10391,234664.592052
10575,232884.403017
10646,229408.379831
10928,228616.505615
11088,227704.183890
11302,224605.075408
11585,221645.665669
11593,219456.424202
11971,217448.948166
12108,216929.553572
12152,213471.329033
12222,212121.726440
12445,211743.855495
12485,210889.859380
12589,210852.053011
12617,210002.341807
12739,208475.277864
12868,208193.574126
12896,207652.275528
12945,204839.683563
13381,204264.915592
13422,204161.360551
13474,204160.327346
13636,202119.489412
13693,202051.159213
13772,201823.897655
13896,201511.621392
13976,200898.950384
13985,200676.885575
14097,200371.845966
14206,200316.206519
14274,200246.207129
14291,199516.312547
14317,199472.317786
14349,199423.782715
14401,199363.976322
14414,199334.390906
14421,199265.057474
14435,198983.263737
14504,198830.531008
14535,198624.336171
14542,198556.570367
14566,198340.868384
14600,198204.435675
14613,198023.886550
14689,197957.183455
14701,197917.587389
14708,197834.860116
14731,197792.379688
14737,197765.786286
14746,197708.865373
14748,197625.786143
14784,197532.066351
14798,197492.403636
14823,197452.634325
14826,197445.131897
14845,197439.805618
14849,197438.907660
14862,197366.785504
14886,197366.119950
14887,197328.284995
14894,197292.477685
14941,197278.098271
14942,197272.063338
14945,197252.576019
14956,197247.998664
14971,197247.133365
14979,197230.116681
14986,197220.555758
