Evaluations,Fitness
1,2.06244285e+05
3,2.00838675e+05
4,1.89524985e+05
11,1.88276541e+05
12,1.76025097e+05
14,1.70046646e+05
15,1.64014987e+05
23,1.37444368e+05
53,1.26862367e+05
83,1.17074824e+05
100,1.12695055e+05
101,1.01307151e+05
158,1.00605508e+05
161,8.65099873e+04
182,8.60835070e+04
192,8.02663544e+04
195,7.66577428e+04
215,5.59487801e+04
266,5.43254446e+04
276,4.64044283e+04
283,4.42472386e+04
313,4.28662791e+04
320,3.27158979e+04
361,3.23423859e+04
391,2.81839479e+04
422,2.40674290e+04
435,2.03151071e+04
483,1.85206124e+04
513,1.45510015e+04
549,1.24039642e+04
581,1.19048057e+04
582,1.05210238e+04
608,9.50834413e+03
674,8.54413310e+03
675,7.40744283e+03
705,7.37929637e+03
727,7.31547576e+03
734,5.08544238e+03
765,4.87024582e+03
776,4.22030409e+03
784,3.47979309e+03
819,3.20486685e+03
855,3.12253479e+03
869,3.01876300e+03
871,2.30200211e+03
934,2.29526098e+03
937,2.18592216e+03
960,2.12825924e+03
969,1.99118733e+03
994,1.74564728e+03
1016,1.63536146e+03
1017,1.42956746e+03
1054,1.41124397e+03
1058,1.30723673e+03
1064,1.25684257e+03
1088,1.07393762e+03
1118,7.94280091e+02
1132,7.66552575e+02
1148,7.25668819e+02
1153,6.61777026e+02
1174,5.99213776e+02
1180,3.56536843e+02
1219,3.48679406e+02
1237,3.00975376e+02
1238,2.68921624e+02
1241,2.31677813e+02
1299,1.76498553e+02
1331,1.71641252e+02
1356,1.53857183e+02
1360,1.37217491e+02
1363,1.29704959e+02
1380,1.22423558e+02
1386,1.16274170e+02
1406,9.78225402e+01
1445,8.59088968e+01
1476,7.26742740e+01
1504,5.94495319e+01
1536,5.62213140e+01
1561,4.77203422e+01
1563,4.50159362e+01
1576,4.43638329e+01
1625,4.04118046e+01
1633,3.55186527e+01
1644,3.52235584e+01
1661,3.51229287e+01
1674,3.00785627e+01
1681,2.74494871e+01
1685,2.63667860e+01
1717,2.58031963e+01
1719,2.52861202e+01
1724,2.26172598e+01
1742,2.00221574e+01
1743,1.90640408e+01
1774,1.81400602e+01
1776,1.44387071e+01
1798,1.21607404e+01
1806,1.21037596e+01
1832,9.31386012e+00
1862,7.75223907e+00
1892,6.33424269e+00
1931,5.65977982e+00
1932,5.08379678e+00
1962,4.76313613e+00
1963,4.50139816e+00
1984,4.21076740e+00
1985,4.01430309e+00
1994,3.64849969e+00
2010,3.06119299e+00
2029,3.02560489e+00
2043,2.72202925e+00
2058,2.56489414e+00
2073,2.40834883e+00
2079,2.27671738e+00
2106,1.85461696e+00
2114,1.79058455e+00
2142,1.59384350e+00
2173,1.51484614e+00
2176,1.31944102e+00
2193,1.29235465e+00
2196,1.28090247e+00
2207,1.22710494e+00
2221,8.53101467e-01
2264,8.45109319e-01
2282,8.22738606e-01
2291,8.01040894e-01
2292,6.56703993e-01
2313,5.56033485e-01
2323,5.51221065e-01
2326,4.92373985e-01
2344,4.63077045e-01
2367,4.43437540e-01
2369,4.19080218e-01
2373,3.96428056e-01
2375,3.75653317e-01
2382,3.43737741e-01
2387,3.14436091e-01
2401,2.89852058e-01
2407,2.50158063e-01
2416,2.47871494e-01
2431,2.27484876e-01
2452,1.84593218e-01
2470,1.69370643e-01
2478,1.53989987e-01
2504,1.51459716e-01
2507,1.41317387e-01
2510,1.11744129e-01
2529,1.04072431e-01
2552,9.50133710e-02
2569,9.42956817e-02
2570,9.40752117e-02
2583,9.24206551e-02
2585,8.82851884e-02
2599,8.82566007e-02
2612,8.61314269e-02
2634,6.75589287e-02
2642,6.18588844e-02
2672,5.43599289e-02
2692,4.87667490e-02
2701,4.60773182e-02
2721,3.66066965e-02
2751,3.27849430e-02
2762,3.03424397e-02
2786,2.88315172e-02
2793,2.47680693e-02
2797,2.47630246e-02
2821,2.20761271e-02
2822,1.89070821e-02
2823,1.85684696e-02
2849,1.77224350e-02
2854,1.73457548e-02
2874,1.72608195e-02
2878,1.71083213e-02
2880,1.12974760e-02
2921,9.64538802e-03
2926,9.25505035e-03
2945,8.74786969e-03
2946,8.29733789e-03
2951,8.17965774e-03
2960,7.76021060e-03
2970,7.41654129e-03
2989,6.90118136e-03
3000,6.49454911e-03
3001,5.29064559e-03
3038,4.76016731e-03
3043,4.57832133e-03
3055,4.53636215e-03
3057,4.19247399e-03
3077,3.49286881e-03
3091,3.07130824e-03
3123,2.73947117e-03
3156,2.49500080e-03
3161,2.48702781e-03
3163,2.03182289e-03
3176,1.93360788e-03
3181,1.45772431e-03
3211,1.30282631e-03
3218,1.16634829e-03
3241,1.15298998e-03
3248,1.09507323e-03
3253,1.02019730e-03
3260,9.37617031e-04
3275,8.09689017e-04
3289,7.90275758e-04
3296,7.73756686e-04
3304,6.26094987e-04
3328,5.28283567e-04
3345,4.39177188e-04
3364,4.30972807e-04
3379,4.12552473e-04
3400,3.93759200e-04
3401,3.17954475e-04
3411,2.81259292e-04
3452,2.73819647e-04
3453,2.59983074e-04
3461,2.50025310e-04
3468,2.45624785e-04
3486,2.01400836e-04
3505,2.00628698e-04
3520,1.83748486e-04
3530,1.67717287e-04
3549,1.29915488e-04
3550,1.23710150e-04
3588,1.06275751e-04
3602,7.14931266e-05
3646,6.45957783e-05
3661,6.22202473e-05
3667,5.89325150e-05
3672,5.60986671e-05
3674,5.54731808e-05
3683,5.18722959e-05
3692,3.16913269e-05
3723,3.01720290e-05
3769,2.84291143e-05
3770,2.41087524e-05
3783,2.26483168e-05
3796,2.23580850e-05
3816,1.87170650e-05
3834,1.49372640e-05
3859,1.25045786e-05
3901,1.23428886e-05
3903,1.17874705e-05
3919,1.03905850e-05
3945,9.55979837e-06
3961,9.32512418e-06
3963,8.37354698e-06
3980,8.31197856e-06
3997,8.27976822e-06
3998,7.73107117e-06
4000,7.65303405e-06
4013,7.64314241e-06
4017,7.09243985e-06
4029,6.61051969e-06
4030,6.49953744e-06
4041,4.89457874e-06
4090,4.54999410e-06
4097,4.38719754e-06
4114,4.26300607e-06
4117,4.26074335e-06
4120,4.05372119e-06
4139,3.52595466e-06
4146,3.26504836e-06
4172,2.97088169e-06
4174,2.56787432e-06
4182,2.56679694e-06
4195,2.54257639e-06
4206,2.33250291e-06
4210,2.13332392e-06
4219,1.94119047e-06
4241,1.66599166e-06
4263,1.56370465e-06
4272,1.50508351e-06
4297,1.34298998e-06
4306,1.30423645e-06
4320,1.22371970e-06
4336,1.05797201e-06
4339,1.05546028e-06
4344,1.03701278e-06
4359,1.00443690e-06
4369,8.02763833e-07
4403,7.48973398e-07
4413,7.42151479e-07
4418,7.03054467e-07
4419,6.98212222e-07
4425,6.17911884e-07
4448,5.53466873e-07
4472,4.53838157e-07
4474,3.72251725e-07
4514,2.94483784e-07
4531,2.66516395e-07
4561,2.63808173e-07
4569,2.54682165e-07
4572,2.45963218e-07
4592,2.19237808e-07
4608,2.14408819e-07
4625,1.89936145e-07
4629,1.78623639e-07
4646,1.68045220e-07
4651,1.54301869e-07
4653,1.32328074e-07
4661,1.30721095e-07
4682,1.19562044e-07
4686,1.11064071e-07
4692,1.03986783e-07
4702,1.02209812e-07
4715,9.45106173e-08
4724,8.64001860e-08
4744,7.92034606e-08
