Evaluations,Fitness
1,1096.527740
5,1038.560090
9,913.257479
35,888.953187
93,806.831131
113,797.873884
151,792.433769
180,775.944570
285,724.904851
338,711.220348
402,693.177415
424,637.036317
569,635.915074
577,620.435559
584,586.832819
610,539.119501
699,530.463412
742,526.317736
767,508.445382
789,494.547568
873,492.163350
902,484.668573
904,453.262636
937,411.752812
987,411.741850
992,394.404074
1039,355.981293
1188,313.881024
1203,312.095521
1257,306.605271
1306,295.434909
1335,264.556943
1404,245.108851
1578,238.122835
1593,223.865638
1611,215.195357
1652,199.446902
1653,175.229108
1755,152.391943
1851,151.249542
1876,140.678006
1918,139.061660
1936,128.036629
2026,117.886331
2044,117.365919
2073,106.134596
2081,98.780709
2093,94.050805
2121,88.484938
2130,71.096081
2186,62.518004
2192,53.382421
2295,49.021301
2333,48.964614
2344,36.860728
2498,33.650171
2513,31.293692
2535,29.769982
2555,27.196142
2582,26.616716
2589,24.238611
2630,21.833653
2638,18.080725
2690,17.334159
2726,16.553986
2745,15.846554
2762,11.270621
2797,10.418198
2805,9.682040
2820,8.723355
2822,8.376395
2828,7.802764
2835,7.380931
2856,6.611260
2857,6.497957
2865,6.396045
2874,4.885697
2881,4.458728
2887,3.781176
2916,3.251855
2941,3.197227
2953,2.982943
2957,2.729259
2978,2.459967
2999,2.340317
3002,2.094119
3011,1.871643
3028,1.593644
3034,1.539546
3046,1.389393
3050,1.323781
3062,0.952849
3096,0.806844
3111,0.741588
3121,0.697746
3147,0.668776
3151,0.659686
3156,0.614883
3158,0.570916
3186,0.443294
3223,0.373619
3233,0.282423
3241,0.277481
3251,0.220995
3287,0.171355
3303,0.155211
3308,0.102440
3337,0.101595
3363,0.096620
3366,0.085188
3378,0.078618
3391,0.063941
3411,0.061264
3423,0.052008
3452,0.048662
3463,0.039295
3482,0.039245
3483,0.034708
3499,0.032472
3505,0.027911
3511,0.026485
3513,0.022561
3542,0.022160
3544,0.022045
3548,0.020641
3556,0.019384
3571,0.019197
3587,0.018842
3592,0.017681
3605,0.016941
3614,0.016380
3622,0.015206
3627,0.014428
3628,0.013862
3631,0.012504
3655,0.012194
3658,0.011548
3661,0.011077
3663,0.010437
3666,0.010426
3668,0.010030
3685,0.010018
3697,0.009440
3700,0.009400
3702,0.007928
3708,0.007372
3721,0.007204
3722,0.007135
3723,0.006665
3730,0.005853
3752,0.005294
3778,0.004850
3789,0.004475
3803,0.004242
3812,0.003694
3829,0.003306
3844,0.003102
3849,0.002992
3852,0.002983
3860,0.002896
3869,0.002632
3874,0.002299
3895,0.002111
3901,0.001778
3929,0.001549
3933,0.001511
3951,0.001427
3961,0.001241
3975,0.001232
3989,0.001189
3992,0.001118
3993,0.001033
4009,0.001030
4025,0.001008
4027,0.000877
4054,0.000804
4057,0.000736
4076,0.000684
4080,0.000648
4081,0.000543
4108,0.000505
4112,0.000484
4116,0.000481
4118,0.000475
4139,0.000455
4141,0.000434
4145,0.000373
4171,0.000316
4201,0.000307
4215,0.000303
4236,0.000293
4237,0.000268
4262,0.000232
4275,0.000207
4293,0.000195
4296,0.000193
4309,0.000186
4326,0.000182
4335,0.000162
4352,0.000148
4359,0.000143
4367,0.000125
4384,0.000125
4391,0.000120
4399,0.000117
4412,0.000100
4435,0.000097
4448,0.000078
4473,0.000072
4477,0.000071
4490,0.000069
4491,0.000066
4507,0.000058
4519,0.000050
4540,0.000049
4543,0.000045
4549,0.000045
4557,0.000041
4561,0.000039
4564,0.000035
4595,0.000030
4603,0.000029
4616,0.000027
4623,0.000025
4627,0.000023
4652,0.000018
4681,0.000016
4703,0.000014
4711,0.000013
4742,0.000012
4750,0.000012
4754,0.000011
4775,0.000009
4802,0.000008
4811,0.000007
4836,0.000006
4853,0.000006
4864,0.000006
4865,0.000006
4867,0.000005
4874,0.000005
4882,0.000005
4891,0.000004
4904,0.000004
4922,0.000004
4924,0.000004
4934,0.000004
4955,0.000003
4958,0.000003
4985,0.000003
4988,0.000003
5011,0.000003
5013,0.000003
5016,0.000002
5028,0.000002
5033,0.000002
5034,0.000002
5041,0.000002
5047,0.000002
5051,0.000002
5059,0.000001
5072,0.000001
5086,0.000001
5101,0.000001
5104,0.000001
5133,0.000001
5146,0.000001
5154,0.000001
5155,0.000001
5162,0.000001
5164,0.000001
5183,0.000001
5191,0.000001
5192,0.000001
5194,0.000001
5217,0.000001
5221,0.000000
5222,0.000000
5228,0.000000
5251,0.000000
5254,0.000000
5263,0.000000
5281,0.000000
5282,0.000000
5312,0.000000
5322,0.000000
5341,0.000000
5351,0.000000
5379,0.000000
5401,0.000000
5449,0.000000
5450,0.000000
5460,0.000000
5461,0.000000
5475,0.000000
5490,0.000000
5491,0.000000
5492,0.000000
5511,0.000000
5512,0.000000
5520,0.000000
5537,0.000000
5551,0.000000
5564,0.000000
5592,0.000000
5593,0.000000
5594,0.000000
5612,0.000000
5631,0.000000
5642,0.000000
5672,0.000000
5673,0.000000
5702,0.000000
5709,0.000000
5712,0.000000
5718,0.000000
5744,0.000000
5755,0.000000
5761,0.000000
5792,0.000000
5794,0.000000
5821,0.000000
5824,0.000000
5825,0.000000
5826,0.000000
5833,0.000000
5848,0.000000
5876,0.000000
5886,0.000000
5887,0.000000
5891,0.000000
5913,0.000000
5949,0.000000
5951,0.000000
5961,0.000000
5976,0.000000
5983,0.000000
5986,0.000000
5987,0.000000
5991,0.000000
6001,0.000000
6004,0.000000
6010,0.000000
6015,0.000000
6020,0.000000
6033,0.000000
6041,0.000000
6047,0.000000
6054,0.000000
6063,0.000000
6084,0.000000
6098,0.000000
6118,0.000000
6122,0.000000
6130,0.000000
6131,0.000000
6146,0.000000
6148,0.000000
6153,0.000000
6167,0.000000
6168,0.000000
6182,0.000000
6185,0.000000
6196,0.000000
6217,0.000000
6219,0.000000
6233,0.000000
6237,0.000000
6242,0.000000
6247,0.000000
6248,0.000000
6263,0.000000
6271,0.000000
6272,0.000000
6279,0.000000
6305,0.000000
6325,0.000000
6331,0.000000
6350,0.000000
6352,0.000000
6361,0.000000
6379,0.000000
6392,0.000000
6393,0.000000
6421,0.000000
6428,0.000000
6441,0.000000
6451,0.000000
6455,0.000000
6457,0.000000
6458,0.000000
6466,0.000000
6467,0.000000
6482,0.000000
6488,0.000000
6497,0.000000
6501,0.000000
6511,0.000000
6535,0.000000
6540,0.000000
6549,0.000000
6554,0.000000
6574,0.000000
6577,0.000000
6581,0.000000
6608,0.000000
6623,0.000000
6652,0.000000
6661,0.000000
6664,0.000000
6665,0.000000
6691,0.000000
6695,0.000000
6699,0.000000
6712,0.000000
6724,0.000000
6727,0.000000
6744,0.000000
6748,0.000000
6753,0.000000
6782,0.000000
6791,0.000000
6799,0.000000
6804,0.000000
6812,0.000000
6826,0.000000
6847,0.000000
6853,0.000000
6875,0.000000
6876,0.000000
6903,0.000000
6905,0.000000
6932,0.000000
6941,0.000000
6967,0.000000
6970,0.000000
6988,0.000000
6992,0.000000
7025,0.000000
7027,0.000000
7052,0.000000
7054,0.000000
7055,0.000000
7063,0.000000
7081,0.000000
7089,0.000000
7093,0.000000
7104,0.000000
7109,0.000000
7114,0.000000
7134,0.000000
7143,0.000000
7155,0.000000
7171,0.000000
7198,0.000000
7202,0.000000
7232,0.000000
7239,0.000000
7263,0.000000
7294,0.000000
7295,0.000000
7300,0.000000
7313,0.000000
7325,0.000000
7326,0.000000
7330,0.000000
7331,0.000000
7332,0.000000
7354,0.000000
7355,0.000000
7358,0.000000
7383,0.000000
7416,0.000000
7417,0.000000
7418,0.000000
7423,0.000000
7446,0.000000
7465,0.000000
7474,0.000000
7483,0.000000
7485,0.000000
7493,0.000000
7502,0.000000
7509,0.000000
7516,0.000000
7532,0.000000
7536,0.000000
7564,0.000000
7594,0.000000
7595,0.000000
7600,0.000000
7622,0.000000
7633,0.000000
7652,0.000000
7670,0.000000
7682,0.000000
7713,0.000000
7718,0.000000
7736,0.000000
7751,0.000000
7756,0.000000
7785,0.000000
7804,0.000000
7805,0.000000
7831,0.000000
7853,0.000000
7869,0.000000
7888,0.000000
7904,0.000000
7923,0.000000
7931,0.000000
7957,0.000000
7972,0.000000
7989,0.000000
8055,0.000000
8092,0.000000
8104,0.000000
8118,0.000000
8131,0.000000
8191,0.000000
8198,0.000000
8236,0.000000
8275,0.000000
8289,0.000000
8316,0.000000
8365,0.000000
8426,0.000000
8466,0.000000
8528,0.000000
8641,0.000000
8685,0.000000
8748,0.000000
8848,0.000000
9192,0.000000
