Evaluations,Fitness
1,21.418842
8,21.319194
9,20.983896
86,20.951292
98,20.922116
113,20.908625
123,20.885126
130,20.806075
134,20.801347
139,20.735526
171,20.715326
183,20.535736
202,20.330371
212,20.010103
216,19.733659
243,19.424200
271,19.198585
331,18.889980
350,18.834172
384,18.460491
393,18.039258
506,17.869052
515,17.335511
543,17.312723
601,17.253283
617,16.992594
641,16.735890
735,16.567059
873,16.482532
1018,16.244502
1082,16.009970
1231,15.981194
1234,15.351103
1323,15.124096
3054,14.882598
3065,14.876739
3086,14.818956
3281,14.774310
4673,14.662980
4957,14.274874
5328,14.205023
5362,14.160286
5370,14.115069
5544,13.705631
5655,13.514198
5754,13.469143
6201,13.461015
6667,13.452548
6882,13.421038
6889,13.399415
6920,13.382361
7265,13.214179
7296,13.174350
7331,12.982280
8165,12.937417
8764,12.919092
8856,12.698899
10258,12.670086
10331,12.665760
10555,12.659453
10558,12.579122
10603,12.572654
10621,12.538005
10689,12.506295
10714,12.491885
10725,12.433619
10781,12.419423
10931,12.388736
11118,12.340603
11556,12.319294
11591,12.222695
11713,12.156120
11931,12.062807
12899,12.033589
13352,11.992059
13741,11.966029
13856,11.924614
14011,11.865091
14511,11.824078
14581,11.818309
14597,11.773739
14689,11.762227
14704,11.761687
14717,11.747409
14721,11.746667
14722,11.716905
14736,11.709891
14747,11.709126
14759,11.699615
14772,11.679537
14780,11.652689
14799,11.645367
14802,11.634142
14828,11.626801
14830,11.606542
14857,11.575167
14881,11.528211
14915,11.527123
14939,11.523174
14944,11.513992
14972,11.512492
14973,11.509848
14974,11.509063
14978,11.507816
14980,11.502187
