Evaluations,Fitness
1,401494.657611
2,339701.665212
3,316944.888968
4,299178.126622
5,282321.249033
8,250011.992843
20,246947.856225
29,231667.842533
33,197620.325759
61,162589.155556
93,153071.301616
96,149423.060677
100,148363.360921
105,131629.071831
121,131339.510883
126,105958.324324
159,101819.441997
182,96952.269584
191,92049.680523
247,86729.062343
278,83629.450519
284,81154.055063
289,78949.870001
301,77244.610125
320,76520.100744
324,74298.926101
332,64718.299325
343,62708.279744
407,61504.277325
431,60500.429547
438,58247.825271
459,51068.104703
500,47728.002106
513,45971.982580
556,45709.460482
570,44286.403568
582,42550.181262
691,36246.075210
1202,33366.913941
1291,32016.533559
1354,30337.830674
1542,29801.374431
1651,28479.784427
1953,24741.512647
2491,24563.913558
3460,24484.667757
3693,24471.120390
3770,23633.782979
5085,23002.168270
5144,22416.882372
5678,22369.822187
5780,21316.504247
6513,20997.036618
6836,20603.338246
6872,20593.058549
7048,19824.658069
7651,19777.727818
7690,19754.507450
7702,19672.568322
7931,19583.951444
7959,19212.475180
8072,18852.606703
8231,18560.359130
8502,18340.279729
8535,18170.305743
8749,17879.705860
8891,17803.811556
8943,17712.545586
8991,17166.215960
9565,16899.163954
9601,16845.375300
10355,16638.617107
10793,16633.289744
10865,16567.624200
10943,16365.499055
11010,16276.708297
11239,16247.611565
11373,16026.397902
11559,15976.051955
11622,15881.472202
11991,15788.106710
12031,15775.881237
12372,15747.158161
12394,15739.175824
12417,15732.974401
12453,15656.447530
12573,15648.566802
12636,15646.692059
12688,15508.332727
13060,15484.419118
13287,15452.766662
13296,15448.968894
13317,15437.987541
13340,15432.552325
13410,15431.507658
13450,15424.453372
13496,15399.628110
13620,15364.424298
13729,15340.390131
13755,15338.710566
13771,15335.456090
13838,15317.474830
13870,15299.559874
13953,15290.253301
13963,15288.166834
14006,15287.380002
14051,15277.695030
14073,15271.277495
14079,15268.050141
14113,15258.593444
14191,15250.337152
14259,15243.944584
14372,15234.199169
14409,15234.088414
14414,15226.082413
14447,15217.972049
14461,15211.513163
14498,15210.394218
14526,15207.405860
14527,15206.535558
14554,15204.373854
14564,15202.577513
14583,15197.108978
14598,15189.509723
14626,15188.543861
14644,15186.319799
14645,15184.473454
14671,15181.972942
14707,15180.686601
14708,15180.419694
14732,15175.067230
14761,15174.480175
14789,15173.869874
14793,15173.146858
14799,15172.277824
14805,15169.725814
14823,15168.141594
14852,15166.089720
14881,15164.922918
14892,15164.561258
14900,15163.875707
14911,15162.668945
14931,15162.611978
14937,15162.093508
14947,15161.918441
14954,15161.587612
14969,15161.416451
14971,15161.215119
14972,15161.107945
14986,15161.077121
