Evaluations,Fitness
1,266350.0432242062
7,253903.99765044224
13,207707.32958012962
43,163460.39701959785
67,161157.22729623818
71,129463.58115884935
98,121335.510668717
148,85966.00951796457
208,81895.55255003963
238,76218.95399446345
261,64836.3273335562
290,62298.46894896797
308,55426.84043486677
315,53166.375513492356
320,51326.24136892023
347,48829.21358243988
373,48559.4020125463
398,45839.010889647114
442,41205.185860186335
515,41149.003875475544
538,39995.90324656506
588,39119.39400285789
615,37675.50979136903
650,36036.070943362654
719,33704.11579874908
747,30677.366806719503
763,30197.583879739457
793,29598.043128853573
1143,27398.30082612459
1228,26305.392171537635
1637,25085.15371210403
1779,24264.937247951286
3374,24190.634739514233
3532,23868.747114999158
3688,23115.91488722197
3733,21997.597004736992
4066,21377.82084962032
4406,20894.38804235399
5027,20653.00634484742
5323,20325.16017392271
5550,19992.544504371803
5747,19542.426557757466
6196,18872.074199357143
6409,18831.11707704798
6416,18712.472246276408
6971,18127.317814995047
7540,18021.36167381929
8031,17765.78709927113
8504,17586.921688124556
8675,17501.37499189737
8728,17358.291161380337
8739,17049.683295507744
8883,16732.15783525119
8964,16684.770404829753
9196,16081.310600072446
9396,15917.204645563874
9709,15916.16607512439
9857,15909.812238366107
9938,15650.130473002384
10059,15487.683385612956
10080,15402.531233621105
10211,15346.087504841022
10364,15208.538242694352
10620,15065.75518277533
10896,14945.17909287427
11064,14935.352683743025
11192,14873.277929352056
11282,14761.806264543953
11429,14725.122137742901
11435,14585.796159448744
11500,14451.922329753404
11777,14373.307824190999
11956,14370.522268809604
11996,14350.152288602043
12024,14213.067820455237
12036,14206.246663129177
12067,14167.706048192478
12082,14116.664353037357
12092,14116.43896675661
12127,14056.311365784723
12140,14017.572110342222
12197,13962.285668398077
12202,13950.754072090027
12223,13934.585572353903
12241,13814.69304523105
12346,13795.695921328625
12423,13741.803514000654
12430,13697.66911397384
12765,13621.50341733881
12916,13616.446669154322
12946,13571.533854009247
12961,13559.695639317702
13017,13556.561114114753
13021,13531.70639139616
13054,13512.551002991075
13083,13480.142981881943
13093,13444.62977407388
13135,13416.552530210238
13214,13362.440163165937
13248,13339.997528247053
13359,13311.166079306358
13420,13289.8647368959
13456,13277.463813269671
13584,13230.722919511289
13711,13227.819600180388
13732,13224.760680843996
13735,13223.810683050819
13766,13220.643025281863
13799,13205.068207386188
13804,13199.217620453903
13941,13171.90325748134
13975,13171.546753970288
14028,13163.452435457619
14082,13159.38109353603
14106,13154.17296853899
14194,13143.822786597497
14204,13143.185732829097
14229,13140.364261492112
14256,13139.718958881269
14261,13135.223586620164
14281,13134.012453046298
14287,13134.00025132193
14311,13128.022643639906
14321,13126.264454623639
14335,13119.195599314726
14349,13116.27073203554
14372,13106.132299230261
14408,13102.696442594965
14431,13102.202345773843
14471,13094.409101703623
14516,13094.39915522475
14526,13093.315288699747
14538,13090.99462195269
14555,13089.868398698496
14578,13083.75924272708
14581,13082.975187983542
14585,13081.836516708738
14616,13081.10299833133
14647,13079.107792639228
14649,13077.972438329607
14650,13075.260165565865
14671,13074.467791752537
14677,13073.009965877998
14682,13071.784837006408
14693,13071.782006985954
14701,13066.733659708687
14702,13066.394339734336
14732,13062.815375776874
14764,13062.375415216427
14770,13059.66365648764
14791,13059.522219258635
14793,13055.677326480425
14817,13052.076252597164
14840,13051.868748445362
14859,13050.979741438177
14880,13049.338409562108
14883,13046.722755524628
14912,13046.062080124608
14922,13044.166059215342
14947,13043.860170568587
14956,13042.339779107277
14986,13041.85752587022
