Evaluations,Fitness
1,2202.4803253652835
2,107.74305350080607
4,6.977211383522075
8,2.2294934343131043
48,0.17089077305777645
59,-0.7450286903086565
92,-0.9559967737914868
170,-0.9803109852540385
222,-1.0185634560054853
305,-1.030659558314817
312,-1.0307501591066512
350,-1.031025239748066
393,-1.0312043560805682
1083,-1.0314886969357093
2336,-1.0314932428344434
2907,-1.0315226380991964
3654,-1.031626094673518
6062,-1.031626226625364
9539,-1.0316282982423446
11728,-1.0316283590905297
13199,-1.0316283604745151
14765,-1.0316284260166606
14995,-1.0316284409661334
