Evaluations,Fitness
1,391389.6347876738
2,308758.87513711816
3,290106.10381581035
11,287124.0823703092
14,233295.33041398943
34,224085.88662307736
35,194854.39043966276
50,189964.65915536231
70,180387.99852573228
84,162327.4695282547
93,130514.78950573254
114,130232.20720121781
124,111401.91159319496
153,99270.5664077979
169,90276.56425806519
209,85568.79532379983
240,71773.36426218152
259,70123.95942426792
298,59166.709321713766
344,48078.5104979121
473,45925.044044677044
529,45424.384731620754
553,43923.7493105106
589,43816.00863479426
613,38492.37725317356
720,33545.842346004894
1017,31888.084904609295
1474,29994.983940884245
1593,28781.65033319118
1994,26545.259040907247
2607,26438.46422462204
2735,25967.261911269554
2758,25813.271255815805
2787,24596.336777928696
3475,24369.894950266756
4645,24322.95568500789
6161,23536.270670331338
6702,23140.038984760497
6712,23095.011814289046
7198,21627.719294320283
8157,18829.513846546914
14380,18401.610632669916
14552,18282.73022132247
