Evaluations,Fitness
1,5826327.347920257
5,5305031.963958444
7,4979048.941564067
8,4790706.436465214
12,4250088.852188301
32,3183282.113370096
62,3137787.399575041
95,3098745.6841838392
121,2985357.1749073346
122,2770906.703546874
124,2680786.430704391
151,2601790.7954873885
165,2534514.7890911247
172,2145217.5215289444
210,1951487.4274188098
212,1789919.488125308
232,1541009.5904046975
242,1375012.2175600026
272,1287345.1521112958
292,1087480.310496421
308,942951.9181083329
333,892367.6705664473
336,773760.5048621288
363,707499.29025428
423,647435.5584367902
436,640295.1974103429
439,584599.8916637513
460,549168.0038744172
469,508064.4491212369
480,488536.1728097308
482,456590.5153069755
503,351069.8011917328
545,319091.04887542734
564,307109.83947783563
603,292560.3753690744
615,256916.27294291853
637,230131.38896213865
662,193187.05084978387
669,169751.52693826068
703,153895.84674646365
715,139836.49425548484
757,111118.72923432497
835,105501.19836160332
837,101220.72417584297
861,95660.99893333238
868,91885.62078511037
891,88586.66704574879
898,88267.4861248417
907,66486.69695359016
947,64677.87807253892
970,64437.57784033206
977,55068.266380980596
1007,49306.2060721081
1024,48713.47979267343
1034,47720.75877097639
1067,40786.21995821876
1089,33053.36067738095
1119,31082.751519679317
1160,27561.227371189456
1163,27186.085506889583
1179,25577.991651626864
1187,22138.99807145978
1206,20917.138447866477
1234,20271.261600247402
1242,16760.23904166138
1249,15467.828593401036
1260,15017.684130366304
1280,12772.735150729592
1297,12448.903410449153
1298,11598.122331429287
1304,10712.222545752978
1307,9945.202371253696
1328,8487.686147781125
1357,7142.887940521377
1381,6862.771404955284
1415,5587.653431072585
1447,5382.048768484619
1474,5029.455576468688
1484,4711.1624548136
1507,4202.072614605668
1534,3913.578335774122
1617,3247.762950654047
1621,2766.10508663742
1654,2452.5951497371025
1659,2278.0026285282197
1717,1814.353067601165
1777,1516.245291441413
1841,1162.934016457353
1865,1104.8195333018873
1909,1100.2002579851326
1911,1066.1658444714385
1926,783.1148142907056
1997,704.1956347277652
2003,685.4956198780211
2017,599.342098681501
2031,556.6816121526455
2040,538.1035773959638
2042,510.4041805005928
2043,502.31647133623534
2069,439.54071544921896
2102,436.71618504380547
2121,436.0255392554091
2132,357.50743204585035
2147,357.13366975015015
2172,279.91369998461306
2184,273.90553342289166
2198,258.2707745421382
2227,249.72797037983068
2238,249.0472570835381
2244,211.92514957387476
2265,203.0896238359512
2274,191.04171344563002
2293,168.94270382596426
2310,149.35985740366064
2330,123.78854720141457
2364,120.22733897122093
2373,110.11135508596645
2412,87.49800894881959
2433,74.99694294916728
2461,69.60575419459822
2493,63.69232129818872
2507,47.79288881791055
