Evaluations,Fitness
1,-0.1939857874496836
2,-0.4254311229738556
4,-0.4456944304488869
5,-0.7207772233882199
6,-2.3268694109813945
8,-2.6576210931912287
15,-3.6052252595592877
94,-3.7095835952160847
390,-3.749345224150767
602,-3.7695977257049913
659,-3.8476454408357874
956,-3.848055011432332
1029,-3.854106079773714
4411,-3.8547579708337247
4511,-3.856956438879718
6725,-3.8589075489939932
8732,-3.86111159496501
8879,-3.861129479557937
10095,-3.8611511801273375
10638,-3.861842122873548
10716,-3.8622227393592494
11508,-3.8626367438806026
13610,-3.8627442067531863
14860,-3.862755356562069
14896,-3.8627554429831825
