Evaluations,Fitness
30,1237.398917
60,1161.955466
90,1032.112543
120,875.140699
240,864.237696
270,798.305126
300,777.975862
390,718.602147
690,685.548948
720,628.640138
1230,627.245525
1440,617.294392
1740,611.514707
1800,611.471867
1950,563.743343
4800,559.817239
4860,555.962397
4890,540.240227
5760,539.752568
7320,537.616198
8340,534.510491
8460,527.394858
8760,519.453386
9390,513.602061
10260,512.317474
11280,510.987035
11430,508.019082
11640,505.400229
11670,505.094626
11760,503.527963
11820,502.718865
12210,499.244541
12330,498.691265
12420,495.714748
12780,493.844446
12870,492.662954
12900,490.885986
12960,486.669145
13260,486.247312
13290,482.984895
13470,479.887522
13860,479.642710
13890,479.188729
13980,478.503028
14100,478.110280
14130,477.825128
14340,477.701977
14370,477.291973
14430,476.682589
14520,476.664271
14550,476.330106
14580,476.162448
14640,476.059915
14670,475.888110
14700,475.683338
14730,475.535584
14760,475.381226
14790,475.163946
14820,475.048915
14880,474.993098
14910,474.927699
14940,474.917498
14970,474.856235
15000,474.820928
