Evaluations,Fitness
1,903371431.640402
4,842231662.418465
7,826063222.203831
15,621161666.639064
46,579067321.967016
67,542624792.834183
76,497150466.702539
77,383619940.868190
151,324162726.593050
177,319526858.376921
189,297427539.965008
197,295230545.423112
207,237755194.781123
229,212505933.496218
243,135863702.791020
319,117966373.232705
333,66206333.920223
351,37433506.482467
529,28186039.389738
613,26354353.562619
616,17321068.909382
655,15924553.096007
726,14427820.452155
741,13371120.465906
745,13188388.076830
756,9593234.091565
791,8069685.294305
811,5660641.210390
853,4581156.106527
896,3848235.834008
898,3611614.943477
911,3268440.035070
925,2291080.414576
945,1667448.043937
966,703805.431273
991,689134.458746
1029,584087.241430
1056,488889.842919
1069,309332.014993
1088,192804.152048
1122,188086.740592
1148,183519.936583
1166,163406.732558
1181,153137.898508
1187,105193.121164
1201,90798.909234
1211,79713.855640
1217,71112.647415
1265,39529.913402
1322,25918.421769
1360,19196.308109
1387,19195.965571
1390,19169.320386
1397,16389.242346
1425,14238.193243
1442,12484.435545
1463,9297.599136
1521,8144.623534
1523,6205.544399
1573,4813.428689
1591,4803.448610
1597,3849.325525
1614,3682.045284
1625,3588.832283
1627,2569.891060
1683,2422.321685
1713,1872.763760
1730,1791.871789
1749,1649.068148
1753,1400.672271
1776,1092.423620
1806,1049.326742
1813,982.776574
1823,865.478753
1853,833.552021
1865,663.337114
1870,634.786661
1881,579.299158
1906,483.398471
1921,469.560372
1924,441.327534
1934,416.000346
1954,381.531903
1964,360.922537
1981,338.648216
1987,323.204763
2021,299.824330
2023,297.792362
2048,278.797111
2051,259.624256
2072,252.263985
2079,247.561345
2087,216.616910
2112,206.665366
2116,203.469469
2118,188.183252
2123,181.344913
2125,179.182121
2137,177.612852
2143,176.500596
2154,150.758253
2156,150.592732
2166,149.491458
2174,138.148423
2184,124.181043
2233,118.479158
2239,116.840167
2248,114.944875
2253,113.368071
2260,111.843025
2276,105.620045
2288,101.472081
2291,97.935749
2310,93.239757
2318,92.716867
2320,89.622461
2338,88.922231
2353,88.048866
2356,86.095629
2373,84.268042
2376,78.070334
2405,75.003199
2415,72.408725
2447,72.002516
2464,71.356444
2474,69.601032
2497,69.594586
2499,68.310973
2508,65.328047
2528,64.730465
2538,64.392592
2556,63.978095
2560,63.222842
2568,62.471613
2617,62.064539
2619,61.237905
2646,61.084597
2650,60.979264
2671,60.386538
2702,60.228645
2733,60.102546
2734,59.972930
2762,59.552628
2792,59.454616
2794,59.444471
2797,59.407498
2804,59.306941
2826,59.254166
2844,59.225600
2852,59.218450
2856,59.069938
2889,59.051120
2907,58.991651
2916,58.965945
2948,58.942773
2950,58.924461
2952,58.911416
2980,58.863197
3003,58.839172
3005,58.825774
3033,58.805178
3066,58.765928
3088,58.762450
3108,58.741093
3168,58.735827
3172,58.728125
3175,58.726140
3205,58.721109
3227,58.717826
3235,58.711745
3317,58.710340
3352,58.696262
3393,58.691249
3446,58.686970
3457,58.686919
3503,58.685829
3509,58.682067
3523,58.676023
3617,58.670003
3647,58.668173
3780,58.662835
4042,58.658093
4269,58.657637
4325,58.656729
4467,58.655812
4514,58.653042
4576,58.649342
4745,58.648036
4765,58.647020
4780,58.638737
4962,58.638029
4964,58.638019
4969,58.636032
4978,58.628292
5166,58.624735
5406,58.623798
5919,58.614558
6249,58.612279
6512,58.612141
6514,58.611788
6515,58.611581
6819,58.609373
7049,58.607134
7308,58.602141
7812,58.601546
7885,58.601370
7919,58.599983
7952,58.598603
8007,58.598546
8028,58.597415
8314,58.597330
8344,58.594515
8346,58.593728
8361,58.592981
8383,58.592956
8428,58.592468
8435,58.592006
8452,58.590827
8511,58.589215
8702,58.588718
8755,58.588061
8931,58.587693
8991,58.587625
9056,58.587056
9071,58.586059
9111,58.585254
9316,58.585118
9612,58.584922
9623,58.583574
9647,58.583226
9743,58.583208
9961,58.582418
10022,58.580515
10392,58.580507
10427,58.578493
10536,58.577878
10699,58.577799
10714,58.575742
10813,58.575625
10865,58.573859
11038,58.573439
11080,58.572347
11113,58.571956
11361,58.571885
11529,58.571254
11566,58.571034
11647,58.570972
12000,58.570844
12032,58.570308
12188,58.569972
12272,58.569600
12582,58.569559
12754,58.569462
12811,58.569254
12837,58.569153
13125,58.569051
13155,58.568904
13181,58.568746
13385,58.568643
13468,58.568600
13516,58.568566
13532,58.568552
13621,58.568486
13703,58.568436
13835,58.568342
14019,58.568323
14055,58.568299
14079,58.568268
14126,58.568212
14181,58.568205
14199,58.568168
14233,58.568165
14266,58.568165
14298,58.568164
14299,58.568122
14316,58.568115
14355,58.568111
14374,58.568067
14416,58.568064
14431,58.568063
14432,58.568036
14504,58.568017
14553,58.568013
14595,58.568012
14614,58.568003
14642,58.567998
14670,58.567995
14671,58.567979
14712,58.567978
14716,58.567973
14729,58.567971
14732,58.567970
14733,58.567967
14735,58.567966
14738,58.567966
14746,58.567964
14761,58.567961
14788,58.567960
14795,58.567949
14842,58.567947
14893,58.567946
14908,58.567943
14916,58.567943
14935,58.567941
14941,58.567941
14942,58.567941
14952,58.567940
14971,58.567940
14972,58.567940
14974,58.567940
14983,58.567939
14988,58.567939
